DTTestInstancesSheet,version=2.4:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Test Instances																																																																																																																																																
																																																																																																																																																	
		Test Procedure			DC Specs		AC Specs		Sheet Parameters					Other Parameters																																																																																																																																			
	Test Name	Type	Name	Called As	Category	Selector	Category	Selector	Time Sets	Edge Sets	Pin Levels	Mixed Signal Timing	Overlay	Arg0	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	Arg7	Arg8	Arg9	Arg10	Arg11	Arg12	Arg13	Arg14	Arg15	Arg16	Arg17	Arg18	Arg19	Arg20	Arg21	Arg22	Arg23	Arg24	Arg25	Arg26	Arg27	Arg28	Arg29	Arg30	Arg31	Arg32	Arg33	Arg34	Arg35	Arg36	Arg37	Arg38	Arg39	Arg40	Arg41	Arg42	Arg43	Arg44	Arg45	Arg46	Arg47	Arg48	Arg49	Arg50	Arg51	Arg52	Arg53	Arg54	Arg55	Arg56	Arg57	Arg58	Arg59	Arg60	Arg61	Arg62	Arg63	Arg64	Arg65	Arg66	Arg67	Arg68	Arg69	Arg70	Arg71	Arg72	Arg73	Arg74	Arg75	Arg76	Arg77	Arg78	Arg79	Arg80	Arg81	Arg82	Arg83	Arg84	Arg85	Arg86	Arg87	Arg88	Arg89	Arg90	Arg91	Arg92	Arg93	Arg94	Arg95	Arg96	Arg97	Arg98	Arg99	Arg100	Arg101	Arg102	Arg103	Arg104	Arg105	Arg106	Arg107	Arg108	Arg109	Arg110	Arg111	Arg112	Arg113	Arg114	Arg115	Arg116	Arg117	Arg118	Arg119	Arg120	Arg121	Arg122	Arg123	Arg124	Arg125	Arg126	Arg127	Arg128	Arg129	Comment	
	BS_WLBGA_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_BSSCAN					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\TAPBIST\BS_WLBGA_43014A0_CRC_3928713444.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	BS_WLBGA_HIZ	VBT	Functional_Test				PERIOD_100NS	Typ	ts_BSSCAN					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\BS_WLBGA_HIZ_43014A0_CRC_1544683694.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	LB_OVST_WLAN_TCK	VBT	Functional_Test				PERIOD_100NS	Typ	ts_OVST					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\OVST\LB_OVST_WLAN_TCK_43014A0_CRC_3957465884.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	MB_OVST_BT_TCK	VBT	Functional_Test				PERIOD_100NS	Typ	ts_OVST					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\OVST\MB_OVST_BT_TCK_43014A0_CRC_3757193015.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	MB_OVST_WLAN_TCK	VBT	Functional_Test				PERIOD_100NS	Typ	ts_OVST					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\OVST\MB_OVST_WLAN_TCK_43014A0_CRC_1739340697.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	TK_OVST_BT_TCK	VBT	Functional_Test				PERIOD_100NS	Typ	ts_OVST					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\OVST\TK_OVST_BT_43014A0_CRC_638985071.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_PHY_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_PHY_TCK_43014A0_CRC_1363546485.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_AHB_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_AHB_TCK_43014A0_CRC_2160621380.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_DIG_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_DIG_TCK_43014A0_CRC_3447029780.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_SHB_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_SHB_TCK_43014A0_CRC_2002382886.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_USB_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_USB_TCK_43014A0_CRC_4195941421.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_MMC_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_MMC_TCK_43014A0_CRC_898972818.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	AR_MULTI_BT_TCK_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	ts_StuckAtScan					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\AR_MULTI\AR_MULTI_BT_TCK_43014A0_CRC_1744834149.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	TK_FULL_TOP_SAF_CA0_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	StuckAtScan_3082553491_ts					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\TK\TK_FULL_TOP_SAF_CA0_43014A0_CRC_3082553491.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	TK_FULL_TOP_SAF_CT_NOM	VBT	Functional_Test				PERIOD_100NS	Typ	StuckAtScan_565315891_ts					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\TK\TK_FULL_TOP_SAF_CT_43014A0_CRC_565315891.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	TK_FULL_TOP_TFT_CA1_P7	VBT	Functional_Test				PERIOD_100NS	Typ	ts_ATSpeedScan_Single					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\TK\TK_FULL_TOP_TFT_CA1_43014A0_CRC_3013625501.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
	TK_FULL_TOP_TFT_CA1_M7	VBT	Functional_Test				PERIOD_100NS	Typ	ts_ATSpeedScan_Single					Patterns,DriveLoPins,DriveHiPins,DriveZPins,DisablePins,FloatPins,Util1Pins,Util0Pins,Validating_,ConnectAllPins,RelayMode,ReportResult,ResultMode,PatThreading,PatternTimeout,WaitTimeDomain,ConcurrentMode,supplyPinName,maxSearchRange,minSearchRange,resolution,maxfailcount,outputformat	.\ExportedFiles\DIGITAL\vectors\A0\TK\TK_FULL_TOP_TFT_CA1_43014A0_CRC_3013625501.pat.gz									-1	1				30			VCCMIN_SUPPLY	0.9	0.5	0.002	100	7																																																																																																												
