NHM_UF!GetFlowNumFromBinNum,Modules/WHICHFLOW/; 
OASIS_PcuTherm_tt,Modules/DTSCALC/; 
OASIS_camEcc_tt,Modules/CACHE/; 
OASIS_search_tt,Modules/EDC/; 
OASIS_init_tt,Modules/INIT1/; 
OASIS_PllLockTime_tt,Modules/PLL/; 
NHM_UF!TokenRedirect /I GNS_BD_130W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
OASIS_NHMAVID_tt,Modules/POWER/; 
iCNHMAVIDTest!PowerFlowChecker,Modules/POWERVERIFY/; 
OASIS_ube_tt,Modules/FUSE/; 
OASIS_GEN_PcuTherm_tt!DTSSOTConfig,Modules/DTSCALC/; 
OASIS_siteLoad_tt,Base/gns_bx_class_Base.tpl; 
NHM_UF!DffTokenWriteFLWDAndMQDF,Modules/PWRDWN/; 
NHM_UF!ParseL2MapFile,Modules/INIT1/; 
OASIS_vccContinuity_tt,Modules/CONTINUITY/; 
OASIS_steppingInfo_tt,Modules/XID/; 
CPD_UF.dll!Get_Visual_Id,Modules/STARTUP/; 
NHM_UF!TokenRedirect /I GNS_130W_80W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
OASIS_IOCSIRxJitter_tt,Modules/TX_CM/; 
NHM_UF!TokenRedirect /I GNS_BD_130W_60W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
NHM_UF!RemapFailingDUT,Base/gns_bx_class_Base.tpl; 
OASIS_GEN_IPO_tt!SetIPOAltInstanceName,Modules/FSM_ENG/; 
OASIS_bkgnd_tt,Base/gns_bx_class_Base.tpl; 
NHM_UF.dll!ThermalMeasPerSearchSet,EDC::DATA_POSTEDCTEMP,Modules/EDC/; 
OASIS_idvpro_tt,Modules/IDV/; 
OASIS_switchSignature_tt,Modules/FWFT/; 
CPD_DEBUG!WriteGlobal,Modules/PWRDWN/; 
OASIS_pgt_resistance_tt,Modules/POWER/; 
OASIS_XGdiode_tt,Modules/THERMAL/; 
OASIS_EDM_tt,Modules/DTSTRIM/; 
OASIS_scanFI_tt,Modules/SCAN/; 
OASIS_findULTorVID_tt,Modules/DEMIX/; 
iCNHMAVIDTest!PowerHouse,Modules/POWER/; 
OASIS_IOCSITxCM_tt,Modules/TX_CM/; 
OASIS_EPCS_tt,Modules/DTSCALC/; 
iCNHMAVIDTest!LevelsUpdate,Modules/POWER2/; 
OASIS_leakage_tt,Modules/LEAKAGE/; 
NHM_UF!TokenRedirect /I GNS_COMBINED /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
NHM_UF!TokenRedirect,Modules/POWER/; 
HWI_UF!UtilityBitsControlFunction 0,Modules/THERMAL/; 
HWI_UF!HWIEXTVbumpSetup VCCFUSEPRG VBMPCTRL0 VBMPCTRL1 2 4,Modules/FUSE/; 
NHM_UF!TokenRedirect /I GNS_130W_95W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
NHM_UF!TokenRedirect /I GNS_130W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
OASIS_IOCSIRxCM_tt,Modules/TX_CM/; 
OASIS_GEN_PcuTherm_tt!BinForTherm,Modules/PWRDWN/; 
NHM_UF!TokenRedirect /I GNS_BD_130W_95W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
OASIS_SEDC_tt,Modules/EDC/; 
OASIS_ituff_tt,Base/gns_bx_class_Base.tpl; 
HWI_UF!LCMCheck,Modules/INIT1/; 
OASIS_pgt_continuity_tt,Modules/PGTCONTINUITY/; 
OASIS_GEN_PcuTherm_tt!RTKLCMEMEnable,Modules/FWFT/; 
NHM_UF!TokenRedirect /I GNS_BD_COMBINED /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
NHM_UF!TokenRedirect /I GNS_130W_60W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; 
OASIS_NGfuseBurn_tt,Modules/FUSE/; 
OASIS_xiuCheck_tt,Modules/INIT1/; 
OASIS_VixVox_tt,Modules/VIXVOX/; 
HWI_UF!UtilityBitsControlFunction 4,Modules/THERMAL/; 
OASIS_GEN_PcuTherm_tt!RTKL,Modules/FWFT/; 
OASIS_sampleRate_tt,Modules/EDC/; Modules/FSM_ENG/; Modules/IOCSI_ENG/; Modules/LEAKAGE/; Modules/PLL_ENG/; Modules/POWER/; Modules/THERMAL/; Modules/TX_CM/; Modules/TX_P2P/; Modules/VIXVOX/; 
OASIS_binMatrixFlowControl_tt,Modules/CACHE/; Modules/CSIXSHIP/; Modules/DOWNBINSCREEN/; Modules/FWFT/; Modules/PLL/; Modules/POWERVERIFY/; Modules/PSTATE/; Modules/PWRDWN/; Modules/SBFT/; Modules/STARTUP/; Modules/WHICHFLOW/; Modules/XSHIP/; 
OASIS_SimpleScoreboard_tt,Modules/CACHE/; Modules/CSIXSHIP/; Modules/DTSCALC/; Modules/FAILFLOW/; Modules/FFFUSE/; Modules/FWFT/; Modules/PSTATE/; Modules/RBT/; Modules/RESET/; Modules/SBFT/; Modules/SCAN/; Modules/SCAN_DIAG/; Modules/XSHIP/; 
OASIS_IOCSIEye_tt,Modules/IOCSI_ENG/; Modules/TX_P2P/; 
OASIS_NGfuseRead_tt,Modules/FFFUSE/; Modules/FUSE/; 
CPD_DEBUG!PrintTesterBin,Modules/FAILFLOW/; Modules/PWRDWN/; 
OASIS_shops_tt,Modules/FAILFLOW/; Modules/SHOPS/; 
OASIS_dts_tt,Modules/DTSCALC/; Modules/DTSTRIM/; 
HWI_UF!HWIEXTVbumpSetup VCCP IMEASTRIG0 IMEASTRIG1 1 1,Modules/POWER/; Modules/POWERVERIFY/; 
OASIS_shmoo_tt,Modules/PLL/; Modules/PLL_ENG/; 
OASIS_icc_tt,Modules/POWER/; Modules/POWERVERIFY/; 
OASIS_dcParametric_tt,Modules/BGTRIM/; Modules/RSS/; Modules/VIXVOX/; 
OASIS_powerDown_tt,Modules/DEMIX/; Modules/INIT1/; Modules/PWRDWN/; 
OASIS_NGfuseConfig_tt,Modules/BGRECONFIG/; Modules/BGTRIM/; Modules/FUSE/; 
OASIS_IPO_tt,Modules/FSM/; Modules/FSM_ENG/; Modules/TX_P2P/; 
OASIS_SDRW_tt,Modules/BGTRIM/; Modules/EDC/; Modules/POWER/; Modules/PWRDWN/; 
