TD id = 66, position=314, value = 9, Cnt = 2, gid = 0
Id = 70, position=310, value = 9, Cnt = 4, gid = 1
Id = 74, position=306, value = 9, Cnt = 4, gid = 2
Id = 78, position=302, value = 9, Cnt = 4, gid = 3
Id = 82, position=298, value = 7, Cnt = 4, gid = 4
Id = 86, position=294, value = J, Cnt = 4, gid = 5
Id = 90, position=290, value = L, Cnt = 4, gid = 6
Id = 94, position=286, value = 1, Cnt = 4, gid = 7
Id = 98, position=282, value = 1, Cnt = 4, gid = 8
Id = 102, position=278, value = 1, Cnt = 4, gid = 9
Id = 106, position=274, value = 1, Cnt = 4, gid = 10
Id = 110, position=270, value = 1, Cnt = 4, gid = 11
Id = 114, position=266, value = 1, Cnt = 4, gid = 12
Id = 118, position=262, value = 1, Cnt = 4, gid = 13
Id = 122, position=258, value = 1, Cnt = 4, gid = 14
Id = 126, position=254, value = 1, Cnt = 4, gid = 15
Id = 130, position=250, value = 1, Cnt = 4, gid = 16
Id = 134, position=246, value = 1, Cnt = 4, gid = 17
Id = 138, position=242, value = 1, Cnt = 4, gid = 18
Id = 142, position=238, value = 1, Cnt = 4, gid = 19
Id = 146, position=234, value = 1, Cnt = 4, gid = 20
Id = 150, position=230, value = 1, Cnt = 4, gid = 21
Id = 154, position=226, value = 1, Cnt = 4, gid = 22
Id = 158, position=222, value = 1, Cnt = 4, gid = 23
Id = 162, position=218, value = 1, Cnt = 4, gid = 24
Id = 166, position=214, value = 1, Cnt = 4, gid = 25
Id = 170, position=210, value = 1, Cnt = 4, gid = 26
Id = 174, position=206, value = 1, Cnt = 4, gid = 27
Id = 178, position=202, value = 1, Cnt = 4, gid = 28
Id = 182, position=198, value = 1, Cnt = 4, gid = 29
Id = 186, position=194, value = 1, Cnt = 4, gid = 30
Id = 190, position=190, value = 1, Cnt = 4, gid = 31
Id = 194, position=186, value = 1, Cnt = 4, gid = 32
Id = 198, position=182, value = 1, Cnt = 4, gid = 33
Id = 202, position=178, value = 1, Cnt = 4, gid = 34
Id = 206, position=174, value = 1, Cnt = 4, gid = 35
Id = 210, position=170, value = 1, Cnt = 4, gid = 36
Id = 214, position=166, value = 1, Cnt = 4, gid = 37
Id = 218, position=162, value = 1, Cnt = 4, gid = 38
Id = 222, position=158, value = 1, Cnt = 4, gid = 39
Id = 226, position=154, value = 1, Cnt = 4, gid = 40
Id = 230, position=150, value = 1, Cnt = 4, gid = 41
Id = 234, position=146, value = 1, Cnt = 4, gid = 42
Id = 238, position=142, value = 1, Cnt = 4, gid = 43
Id = 242, position=138, value = 1, Cnt = 4, gid = 44
Id = 246, position=134, value = 1, Cnt = 4, gid = 45
Id = 250, position=130, value = 1, Cnt = 4, gid = 46
Id = 254, position=126, value = 1, Cnt = 4, gid = 47
Id = 258, position=122, value = 1, Cnt = 4, gid = 48
Id = 262, position=118, value = 1, Cnt = 4, gid = 49
Id = 266, position=114, value = 1, Cnt = 4, gid = 50
Id = 270, position=110, value = 1, Cnt = 4, gid = 51
Id = 274, position=106, value = 1, Cnt = 4, gid = 52
Id = 278, position=102, value = 1, Cnt = 4, gid = 53
Id = 282, position=98, value = 1, Cnt = 4, gid = 54
Id = 286, position=94, value = 1, Cnt = 4, gid = 55
Id = 290, position=90, value = 1, Cnt = 4, gid = 56
Id = 294, position=86, value = 1, Cnt = 4, gid = 57
Id = 298, position=82, value = 1, Cnt = 4, gid = 58
TD id = 300, position=80, value = 9, Cnt = 2, gid = 59
Id = 304, position=76, value = 9, Cnt = 4, gid = 60
Id = 308, position=72, value = 9, Cnt = 4, gid = 61
Id = 312, position=68, value = 9, Cnt = 4, gid = 62
Id = 316, position=64, value = 5, Cnt = 4, gid = 63
64,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,146,150,154,158,162,166,170,174,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,242,246,250,254,258,262,266,270,274,278,282,286,290,294,298,300,304,308,312,316
65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,299,303,307,311,315
