TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
219.2556,7721,21,8GLAAVL,1,10.440742857142857142857143,PSCDTJML0MCA60D0,
282.2869,7721,22,8GLAAVL,1,12.831222727272727272727273,PSCDTJML0MCA60D0,
176.7596,7721,15,8GLABVL,1,11.783973333333333333333333,PSCDTJML0MCA60D0,
228.6591,7721,20,8GTAAVL,1,11.432955,PSCDTJML0MCA60D0,
227.9375,7721,18,8GTABVL,1,12.663194444444444444444444,PSCDTJML0MCA60D0,
169.1544,7721,15,8GTABVL,1,11.27696,PSCDTJML0MCA60D0,
591.3802,7721,48,8GTAAVL,2,12.320420833333333333333333,PSCDTJML0MCA60D0,
707.4273,7721,58,8GTABVL,2,12.197022413793103448275862,PSCDTJML0MCA60D0,
639.1377,7721,56,8GTABVL,2,11.413173214285714285714286,PSCDTJML0MCA60D0,
335.3631,7721,26,8GLAAVL,3,12.898580769230769230769231,PSCDTJML0MCA60D0,
325.1011,7721,29,8GLAAVL,3,11.210382758620689655172414,PSCDTJML0MCA60D0,
891.2758,7721,71,8GLABVL,3,12.553180281690140845070423,PSCDTJML0MCA60D0,
154.6512,7721,13,8GTABVL,3,11.896246153846153846153846,PSCDTJML0MCA60D0,
160.2188,7721,11,8GTABVL,3,14.565345454545454545454545,PSCDTJML0MCA60D0,
446.8362,7721,34,8GUAAVL,3,13.142241176470588235294118,PSCDTJML0MCA60D0,
1002.73,7721,80,8GUABVL,3,12.534125,PSCDTJML0MCA60D0,
1006.6599,7721,81,8GUABVL,3,12.4279,PSCDTJML0MCA60D0,
571.2389,7721,42,8GLAAVL,4,13.600926190476190476190476,PSCDTJML0MCA60D0,
594.847,7721,39,8GLAAVL,4,15.252487179487179487179487,PSCDTJML0MCA60D0,
142.8245,7721,10,8GLABVL,4,14.28245,PSCDTJML0MCA60D0,
288.5701,7721,22,8GTAAVL,4,13.116822727272727272727273,PSCDTJML0MCA60D0,
124.8222,7721,10,8GTABVL,4,12.48222,PSCDTJML0MCA60D0,
152.8018,7721,11,8GTABVL,4,13.891072727272727272727273,PSCDTJML0MCA60D0,
615.4437,7721,49,8GUAAVL,4,12.560075510204081632653061,PSCDTJML0MCA60D0,
228.6513,7721,15,8GUABVL,4,15.24342,PSCDTJML0MCA60D0,
203.1817,7721,14,8GUABVL,4,14.512978571428571428571429,PSCDTJML0MCA60D0,
112.4951,7721,7,8GLAAVL,5,16.070728571428571428571429,PSCDTJML0MCA60D0,
93.6296,7721,8,8GLAAVL,5,11.7037,PSCDTJML0MCA60D0,
33.0544,7721,3,8GLABVL,5,11.018133333333333333333333,PSCDTJML0MCA60D0,
72.4961,7721,6,8GTAAVL,5,12.082683333333333333333333,PSCDTJML0MCA60D0,
165.7553,7721,14,8GUAAVL,5,11.839664285714285714285714,PSCDTJML0MCA60D0,
32.4957,7721,3,8GUABVL,5,10.8319,PSCDTJML0MCA60D0,
43.2962,7721,4,8GUABVL,5,10.82405,PSCDTJML0MCA60D0,
10.2503,7721,1,8GUAAVL,6,10.2503,PSCDTJML0MCA60D0,
10.5924,7721,1,8GUABVL,6,10.5924,PSCDTJML0MCA60D0,
