
!**TABLE** ID 3:1 Rows:951 Cols:228 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,
,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,,,
,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,,,
,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,,,
,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,,,
,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_642800_0425,BF_014444_MAXMAX_642800_0425,BF_014444_MAXMAX_642800_0425,BF_014444_MAXMAX_642800_0425,BF_014444_MAXMAX_642800_0425,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0427,BF_014444_MINMIN_642800_0427,BF_014444_MINMIN_642800_0427,BF_014444_MINMIN_642800_0427,BF_014444_MINMIN_642800_0427,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0229,BF_014444_NOMNOM_452000_0229,BF_014444_NOMNOM_452000_0229,BF_014444_NOMNOM_452000_0229,BF_014444_NOMNOM_452000_0229,BF_SIGEN1000_014444_NOMNOM_231000_0429,BF_SIGEN1000_014444_NOMNOM_231000_0429,BF_SIGEN1000_014444_NOMNOM_231000_0429,BF_SIGEN1000_014444_NOMNOM_231000_0429,BF_SIGEN1000_014444_NOMNOM_231000_0429,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_VID_014444_NOMNOM_231000_0433,BF_SIGEN1000_VID_014444_NOMNOM_231000_0433,BF_SIGEN1000_VID_014444_NOMNOM_231000_0433,BF_SIGEN1000_VID_014444_NOMNOM_231000_0433,BF_SIGEN1000_VID_014444_NOMNOM_231000_0433,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1500_014444_NOMNOM_341500_0329,BF_SIGEN1500_014444_NOMNOM_341500_0329,BF_SIGEN1500_014444_NOMNOM_341500_0329,BF_SIGEN1500_014444_NOMNOM_341500_0329,BF_SIGEN1500_014444_NOMNOM_341500_0329,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_VID_014444_NOMNOM_341500_0335,BF_SIGEN1500_VID_014444_NOMNOM_341500_0335,BF_SIGEN1500_VID_014444_NOMNOM_341500_0335,BF_SIGEN1500_VID_014444_NOMNOM_341500_0335,BF_SIGEN1500_VID_014444_NOMNOM_341500_0335,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN2000_VID_014444_NOMNOM_452000_0234,BF_SIGEN2000_VID_014444_NOMNOM_452000_0234,BF_SIGEN2000_VID_014444_NOMNOM_452000_0234,BF_SIGEN2000_VID_014444_NOMNOM_452000_0234,BF_SIGEN2000_VID_014444_NOMNOM_452000_0234,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,SBFT_FULL_0140_MAXMAX_702800_0704,SBFT_FULL_0140_MAXMAX_702800_0704,SBFT_FULL_0140_MAXMAX_702800_0704,SBFT_FULL_0140_MAXMAX_702800_0704,SBFT_FULL_0140_MAXMAX_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,,,
,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROUP,,
W5083769    189     2 -10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,11387,"3811,4501,4504,4530,4507,4509,4532,4132,4130,4318,4128,4119,4002,4004,4126,4111,3823,3808,3826,3821,4109,4108,3819",G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825,14377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083769    189     0 -10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,11387,"3811,4501,4504,4530,4507,4509,4532,4132,4130,4318,4128,4119,4002,4004,4126,4111,3823,3808,3826,3821,4109,4108,3819",G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825,14377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083769    218     0   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,9096,"3811,4501,4504,4530,4507,4509,4532,4132,4130,4318,4128,4119,4002,4004,4126,4111,3823,3808,3826,3821,4108,3819",G1709879P2463754_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_984397015,12083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
