
!**TABLE** ID 3:1 Rows:531 Cols:98 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,
,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,,,
,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,7722,,,
,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,,,
,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,CV,,,
,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_683000_0320,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_733200_0212,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MAXMAX_773400_0104,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_683000_0319,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_733200_0211,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_MINMIN_773400_0103,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0213,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,BF_014444_NOMNOM_452000_0221,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_853400_0101,SBFT_FULL_0140_MAXMAX_853400_0101,SBFT_FULL_0140_MAXMAX_853400_0101,SBFT_FULL_0140_MAXMAX_853400_0101,SBFT_FULL_0140_MAXMAX_853400_0101,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_853400_0101,SBFT_FULL_0140_MINMIN_853400_0101,SBFT_FULL_0140_MINMIN_853400_0101,SBFT_FULL_0140_MINMIN_853400_0101,SBFT_FULL_0140_MINMIN_853400_0101,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,XSHIP_BF200_011717_MINMIN_2003400_0103,XSHIP_BF200_011717_MINMIN_2003400_0103,XSHIP_BF200_011717_MINMIN_2003400_0103,XSHIP_BF200_011717_MINMIN_2003400_0103,XSHIP_BF200_011717_MINMIN_2003400_0103,,,
,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROUP,,
W5083688    752    -4   5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4010,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    778   -11   5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2055,4103,G1404865P2235378_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T0,13587,,,,,,,,,,,Default,,
W5083688    752    -1 -12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4010,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    752     6   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,5308,4103,G1615710P2375990_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_HE_ALUOPS_RANDOM_11_PORT2_DPDAT,11763,,,,,,,,,,,8,4034,4010,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    752     2   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4010,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    778    -8  -9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,7822,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    752    -3   5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2240,7816,G1615008P2773232_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_SHORT_TEST_REPEAT_DPDAT,7013,,,,,,,,,,,8,4034,7822,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    783     4  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,7822,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    755    -5   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,7822,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
