
!**TABLE** ID 3:1 Rows:5225 Cols:198 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,
,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,,,
,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,,,
,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,,,
,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,,,
,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_582533_0639,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_612667_0532,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_703067_0318,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_733200_0211,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MAXMAX_763333_0104,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_582533_0638,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_612667_0531,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_642800_0424,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_703067_0317,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_733200_0210,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0205,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0212,BF_014444_NOMNOM_452000_0219,BF_014444_NOMNOM_452000_0219,BF_014444_NOMNOM_452000_0219,BF_014444_NOMNOM_452000_0219,BF_014444_NOMNOM_452000_0219,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0226,BF_014444_NOMNOM_452000_0233,BF_014444_NOMNOM_452000_0233,BF_014444_NOMNOM_452000_0233,BF_014444_NOMNOM_452000_0233,BF_014444_NOMNOM_452000_0233,BF_014444_NOMNOM_452000_0240,BF_014444_NOMNOM_452000_0240,BF_014444_NOMNOM_452000_0240,BF_014444_NOMNOM_452000_0240,BF_014444_NOMNOM_452000_0240,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_014444_NOMNOM_231000_0440,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1000_VID_014444_NOMNOM_231000_0443,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_014444_NOMNOM_341500_0340,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN1500_VID_014444_NOMNOM_341500_0345,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,BF_SIGEN2000_VID_014444_NOMNOM_452000_0244,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_803200_0302,SBFT_FULL_0140_MAXMAX_833333_0101,SBFT_FULL_0140_MAXMAX_833333_0101,SBFT_FULL_0140_MAXMAX_833333_0101,SBFT_FULL_0140_MAXMAX_833333_0101,SBFT_FULL_0140_MAXMAX_833333_0101,SBFT_FULL_0140_MINMIN_672667_0905,SBFT_FULL_0140_MINMIN_672667_0905,SBFT_FULL_0140_MINMIN_672667_0905,SBFT_FULL_0140_MINMIN_672667_0905,SBFT_FULL_0140_MINMIN_672667_0905,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_702800_0704,SBFT_FULL_0140_MINMIN_773067_0503,SBFT_FULL_0140_MINMIN_773067_0503,SBFT_FULL_0140_MINMIN_773067_0503,SBFT_FULL_0140_MINMIN_773067_0503,SBFT_FULL_0140_MINMIN_773067_0503,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_803200_0302,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_0140_MINMIN_833333_0101,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_FULL_FMAX_SEARCH_120MV,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,XSHIP_BF133_012020_MINMIN_1332667_0131,XSHIP_BF133_012020_MINMIN_1332667_0131,XSHIP_BF133_012020_MINMIN_1332667_0131,XSHIP_BF133_012020_MINMIN_1332667_0131,XSHIP_BF133_012020_MINMIN_1332667_0131,XSHIP_BF133_012424_MINMIN_1333200_0110,XSHIP_BF133_012424_MINMIN_1333200_0110,XSHIP_BF133_012424_MINMIN_1333200_0110,XSHIP_BF133_012424_MINMIN_1333200_0110,XSHIP_BF133_012424_MINMIN_1333200_0110,,,
,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROUP,,
W5083638    344    13  -2,,,,,,,,,,,,,,,,-1,1645,7809,G1650256P2222848_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_ARB_PRI_AGENT,4555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083638    348    -3   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4010,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083638    344   -12   4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2054,8001,G1404085P2235398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T0,13640,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
