
!**TABLE** ID 3:1 Rows:70 Cols:108 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,
,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,,,
,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,,,
,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,,,
,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,KM,,,
,BF_014444_MINMIN_582533_0653,BF_014444_MINMIN_582533_0653,BF_014444_MINMIN_582533_0653,BF_014444_MINMIN_582533_0653,BF_014444_MINMIN_582533_0653,BF_014444_MINMIN_612667_0543,BF_014444_MINMIN_612667_0543,BF_014444_MINMIN_612667_0543,BF_014444_MINMIN_612667_0543,BF_014444_MINMIN_612667_0543,BF_014444_MINMIN_642800_0433,BF_014444_MINMIN_642800_0433,BF_014444_MINMIN_642800_0433,BF_014444_MINMIN_642800_0433,BF_014444_MINMIN_642800_0433,BF_014444_MINMIN_703067_0323,BF_014444_MINMIN_703067_0323,BF_014444_MINMIN_703067_0323,BF_014444_MINMIN_703067_0323,BF_014444_MINMIN_703067_0323,BF_014444_MINMIN_733200_0213,BF_014444_MINMIN_733200_0213,BF_014444_MINMIN_733200_0213,BF_014444_MINMIN_733200_0213,BF_014444_MINMIN_733200_0213,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_MINMIN_763333_0103,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,,,
,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROUP,,
W5091036    910    -6   9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,,,,,,,,,,,,,,,,,,,,,,,,,,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,,,,,,,,,,,,,,,,,,,,,Default,,
W5091036    910    -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,,,,,,,,,,,,,,,,,,,,,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,20,2073,4003,G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,5458,,,,,,,,,,,,,,,,,,,,,Default,,
W5091036    456   -10  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,,,,,,,,,,,,,,,,,,,,,,,,,,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,0,2612,3816,G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1,10359,,,,,,,,,,,,,,,,,,,,,Default,,
