
!**TABLE** ID 3:1 Rows:954 Cols:211 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,,,,
,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,CLASS,,,,,,
,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,7711,,,,,,
,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,ARIES,,,,,,
,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,,,,,,
,BF_014444_MAXMAX_683000_0544,BF_014444_MAXMAX_683000_0544,BF_014444_MAXMAX_683000_0544,BF_014444_MAXMAX_683000_0544,BF_014444_MAXMAX_683000_0544,BF_014444_MINMIN_642800_0653,BF_014444_MINMIN_642800_0653,BF_014444_MINMIN_642800_0653,BF_014444_MINMIN_642800_0653,BF_014444_MINMIN_642800_0653,BF_014444_MINMIN_683000_0543,BF_014444_MINMIN_683000_0543,BF_014444_MINMIN_683000_0543,BF_014444_MINMIN_683000_0543,BF_014444_MINMIN_683000_0543,BF_014444_MINMIN_733200_0433,BF_014444_MINMIN_733200_0433,BF_014444_MINMIN_733200_0433,BF_014444_MINMIN_733200_0433,BF_014444_MINMIN_733200_0433,BF_014444_MINMIN_773400_0323,BF_014444_MINMIN_773400_0323,BF_014444_MINMIN_773400_0323,BF_014444_MINMIN_773400_0323,BF_014444_MINMIN_773400_0323,BF_014444_MINMIN_823600_0213,BF_014444_MINMIN_823600_0213,BF_014444_MINMIN_823600_0213,BF_014444_MINMIN_823600_0213,BF_014444_MINMIN_823600_0213,BF_014444_MINMIN_863800_0103,BF_014444_MINMIN_863800_0103,BF_014444_MINMIN_863800_0103,BF_014444_MINMIN_863800_0103,BF_014444_MINMIN_863800_0103,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0207,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0217,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0227,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0237,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0247,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_014444_NOMNOM_452000_0257,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_014444_NOMNOM_231000_0457,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1000_VID_014444_NOMNOM_231000_0461,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_014444_NOMNOM_341500_0357,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN1500_VID_014444_NOMNOM_341500_0363,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,BF_SIGEN2000_VID_014444_NOMNOM_452000_0262,GV_HOT_DT_014444_VCCMIN_642800_0116,GV_HOT_DT_014444_VCCMIN_642800_0116,GV_HOT_DT_014444_VCCMIN_642800_0116,GV_HOT_DT_014444_VCCMIN_642800_0116,GV_HOT_DT_014444_VCCMIN_642800_0116,GV_HOT_DT_014444_VCCMIN_642800_0126,GV_HOT_DT_014444_VCCMIN_642800_0126,GV_HOT_DT_014444_VCCMIN_642800_0126,GV_HOT_DT_014444_VCCMIN_642800_0126,GV_HOT_DT_014444_VCCMIN_642800_0126,GV_HOT_DT_014444_VCCMIN_642800_0136,GV_HOT_DT_014444_VCCMIN_642800_0136,GV_HOT_DT_014444_VCCMIN_642800_0136,GV_HOT_DT_014444_VCCMIN_642800_0136,GV_HOT_DT_014444_VCCMIN_642800_0136,SBFT_FAFI_0140_MINMIN_702800_0324,SBFT_FAFI_0140_MINMIN_702800_0324,SBFT_FAFI_0140_MINMIN_702800_0324,SBFT_FAFI_0140_MINMIN_702800_0324,SBFT_FAFI_0140_MINMIN_702800_0324,SBFT_FULL_0140_MAXMAX_853400_0903,SBFT_FULL_0140_MAXMAX_853400_0903,SBFT_FULL_0140_MAXMAX_853400_0903,SBFT_FULL_0140_MAXMAX_853400_0903,SBFT_FULL_0140_MAXMAX_853400_0903,SBFT_FULL_0140_MINMIN_702800_0324,SBFT_FULL_0140_MINMIN_702800_0324,SBFT_FULL_0140_MINMIN_702800_0324,SBFT_FULL_0140_MINMIN_702800_0324,SBFT_FULL_0140_MINMIN_702800_0324,SBFT_FULL_0140_MINMIN_753000_1121,SBFT_FULL_0140_MINMIN_753000_1121,SBFT_FULL_0140_MINMIN_753000_1121,SBFT_FULL_0140_MINMIN_753000_1121,SBFT_FULL_0140_MINMIN_753000_1121,SBFT_FULL_0140_MINMIN_803200_0916,SBFT_FULL_0140_MINMIN_803200_0916,SBFT_FULL_0140_MINMIN_803200_0916,SBFT_FULL_0140_MINMIN_803200_0916,SBFT_FULL_0140_MINMIN_803200_0916,SBFT_FULL_0140_MINMIN_853400_0711,SBFT_FULL_0140_MINMIN_853400_0711,SBFT_FULL_0140_MINMIN_853400_0711,SBFT_FULL_0140_MINMIN_853400_0711,SBFT_FULL_0140_MINMIN_853400_0711,SBFT_FULL_0140_MINMIN_903600_0506,SBFT_FULL_0140_MINMIN_903600_0506,SBFT_FULL_0140_MINMIN_903600_0506,SBFT_FULL_0140_MINMIN_903600_0506,SBFT_FULL_0140_MINMIN_903600_0506,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318,SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1000_NOM_FF,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1500_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_1800_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SBFT_SIGON_2000_NOM,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1000,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_0120_NOM_1200,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,SCANATPG_SCOREBOARD_0120_NOM_1000,XSHIP_GV133_012121_MINMIN_1332800_0253,XSHIP_GV133_012121_MINMIN_1332800_0253,XSHIP_GV133_012121_MINMIN_1332800_0253,XSHIP_GV133_012121_MINMIN_1332800_0253,XSHIP_GV133_012121_MINMIN_1332800_0253,XSHIP_GV200_011515_MINMIN_2003000_0143,XSHIP_GV200_011515_MINMIN_2003000_0143,XSHIP_GV200_011515_MINMIN_2003000_0143,XSHIP_GV200_011515_MINMIN_2003000_0143,XSHIP_GV200_011515_MINMIN_2003000_0143,XSHIP_GV200_011717_MINMIN_2003400_0123,XSHIP_GV200_011717_MINMIN_2003400_0123,XSHIP_GV200_011717_MINMIN_2003400_0123,XSHIP_GV200_011717_MINMIN_2003400_0123,XSHIP_GV200_011717_MINMIN_2003400_0123,,,,,,
,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,FADDR1,FADDR2,FAILDATA,PATTERN,VCOUNT,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOWNER,FPART,FULLPART,GROUP,,
W5083668    293     9   6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,22772,3807,D1499452P2466444_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_STATPG,261157,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083678    172     7  -9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4003,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083648    479    -5  -9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,4003,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
