"SBFT_FULL_0140_MINMIN_833333_0101","BF_014444_MINMIN_642800_0433","XSHIP_GV133_012525_MINMIN_1333333_0103","BF_014444_NOMNOM_452000_0247","SBFT_SIGON_1500_NOM","XSHIP_GV133_012323_MINMIN_1333067_0123","SBFT_SIGON_1800_NOM","BF_014444_MINMIN_733200_0213","SBFT_SIGON_2000_NOM","BF_014444_MINMIN_763333_0103","BF_014444_MAXMAX_763333_0104","SBFT_SIGON_1000_NOM_FF","SBFT_FULL_FMAX_SEARCH_120MV","BF_SIGEN1500_VID_014444_NOMNOM_341500_0363","BF_014444_MINMIN_612667_0543","SCANATPG_0120_NOM_1200","BF_014444_NOMNOM_452000_0217","BF_014444_NOMNOM_452000_0257","BF_SIGEN2000_VID_014444_NOMNOM_452000_0262","BF_014444_NOMNOM_452000_0237","BF_SIGEN1000_014444_NOMNOM_231000_0457","SCANATPG_SCOREBOARD_0120_NOM_1000","BF_SIGEN1500_014444_NOMNOM_341500_0357","BF_014444_NOMNOM_452000_0227","BF_SIGEN1000_VID_014444_NOMNOM_231000_0461","SCANATPG_0120_NOM_1000","SBFT_FULL_0140_MINMIN_632533_1826","BF_014444_MINMIN_703067_0323","SBFT_FULL_0140_MINMIN_702800_1216","BF_014444_NOMNOM_452000_0207","SBFT_FAFI_0140_MINMIN_632533_2026","SBFT_FF_2G_0140_MINMIN_502000_2126","BF_014444_MINMIN_582533_0653","SBFT_FULL_0140_MINMIN_672667_1521",
,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,,"W5083638    348    -3   2"
,,,,,,,,"G1404085P2235398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T0",,,,,,,,,,,,,,,,,,,,,,,,,,"W5083638    344   -12   4"
,,,,,,,,"G1403468P2235388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T1",,,,,,,,,,,,,,,,,,,,,,,,,,"W5083638    755    -7  10"
,,,,,,,,,,,,"G1405992P2474848_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMXTAG_FSTEXPUND_DEBUG_ORP_000",,,,,,,,,,,,,,,,,,,,,,"W5083638    348    -5  10"
,,,,,,,,,,,,"G1411232P2528768_014040_PK03DC_LBXXX_US1XM1X1XXXIXXXXX_FRITS_CACHE_LINE_SPLIT",,,,,,,,,,,,,,,,,,,,,,"W5083638    348    -2  -8"
,,,,,,,,,,,,"G1411236P2527218_014040_PK03DC_LBXXX_US1XM1X0XXXIXXXXX_FRITS_FLAME_FSFB_STLD",,,,,,,,,,,,,,,,,,,,,,"W5083638    338    -6   9"
,,,,,,,,,,,,"G1404681P2389268_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_ALL_MON2_T1_EFLAG_FRITS_ORPHAN_1",,,,,,,,,,,,,,,,,,,,,,"W5083638    344     0  10"
,,,,,,,,,,,,"G1411232P2528768_014040_PK03DC_LBXXX_US1XM1X1XXXIXXXXX_FRITS_CACHE_LINE_SPLIT",,,,,,,,,,,,,,,,,,,,,,"W5083638    344    -7   4"
,,,,,,,,,,,,"G1407425P2266598_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_PRELOAD_LM3_ORP_000",,,,,,,,,,,,,,,,,,,,,,"W5083638    755   -10   6"
,,,,,,,,,,,,"G1404763P2241268_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RRRRSHARKY_007_SBFT",,,,,,,,,,,,,,,,,,,,,,"W5083638    338     7 -10"
,,,,,,,,,,,,"G1407425P2266598_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_PRELOAD_LM3_ORP_000",,,,,,,,,,,,,,,,,,,,,,"W5083638    338     0  11"
,,,,,,,,,,,,"G1411232P2528768_014040_PK03DC_LBXXX_US1XM1X1XXXIXXXXX_FRITS_CACHE_LINE_SPLIT",,,,,,,,,,,,,,,,,,,,,,"W5083638    348     4   1"
,,,,,,,,,,,,"G1615008P2773232_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_SHORT_TEST_REPEAT_DPDAT",,,,,,,,,,,,,,,,,,,,,,"W5083638    334     3 -13"
,,,,,,,,,,,,"G1411232P2528768_014040_PK03DC_LBXXX_US1XM1X1XXXIXXXXX_FRITS_CACHE_LINE_SPLIT",,,,,,,,,,,,,,,,,,,,,,"W5083638    348     8  -8"
,,,,,,,,,,,,"G1414422P2364650_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_EMON_GBP",,,,,,,,,,,,,,,,,,,,,,"W5083638    755    -7   9"
