"BF_SIGEN1500_014444_NOMNOM_341500_0357","BF_014444_NOMNOM_452000_0237","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0308","XSHIP_GV133_012121_MINMIN_1332800_0253","BF_014444_NOMNOM_452000_0247","XSHIP_GV200_011717_MINMIN_2003400_0123","XSHIP_GV200_011515_MINMIN_2003000_0143","SBFT_SIGON_1000_NOM_FF","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0318","SBFT_SIGON_1500_NOM","BF_014444_NOMNOM_452000_0207","BF_014444_NOMNOM_452000_0217","BF_014444_MAXMAX_683000_0544","SBFT_FULL_GV_HOT_0140_VCCMIN_702800_0313","BF_014444_MINMIN_823600_0213","BF_014444_NOMNOM_452000_0227","SBFT_SIGON_2000_NOM","BF_SIGEN2000_VID_014444_NOMNOM_452000_0262","SBFT_FULL_0140_MAXMAX_853400_0903","BF_014444_MINMIN_733200_0433","SCANATPG_SCOREBOARD_0120_NOM_1000","SBFT_FULL_0140_MINMIN_702800_0324","BF_SIGEN1500_VID_014444_NOMNOM_341500_0363","GV_HOT_DT_014444_VCCMIN_642800_0126","SCANATPG_0120_NOM_1200","GV_HOT_DT_014444_VCCMIN_642800_0136","BF_014444_MINMIN_683000_0543","GV_HOT_DT_014444_VCCMIN_642800_0116","SBFT_FULL_0140_MINMIN_903600_0506","SBFT_FULL_0140_MINMIN_853400_0711","BF_014444_MINMIN_773400_0323","BF_014444_MINMIN_642800_0653","BF_014444_NOMNOM_452000_0257","BF_014444_MINMIN_863800_0103","BF_SIGEN1000_VID_014444_NOMNOM_231000_0461","SBFT_SIGON_1800_NOM","SBFT_FULL_0140_MINMIN_753000_1121","BF_SIGEN1000_014444_NOMNOM_231000_0457","SCANATPG_0120_NOM_1000","SBFT_FAFI_0140_MINMIN_702800_0324","SBFT_FULL_0140_MINMIN_803200_0916",
,,,,,,,,,,,,,,,,,,,,,,,,"D1499452P2466444_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_STATPG",,,,,,,,,,,,,,,,,"W5083668    293     9   6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,"W5083668    235    -4   5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,"W5083638    345    -7  -6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,"W5083668    293    -2  -7"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083678    172     7  -9"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083648    479    -5  -9"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083638    338    -1 -11"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083638    338   -11  -2"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5083668    273     4   4"
,,,,,,,,,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,"W5091068    47     -2  -6"
