TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
26.145,7721,2,8PLADVHH,2,13.0725,PSCDTJMH8MC830G1,
39.239,7721,3,8PLADVHH,2,13.079666666666666666666667,PSCDTJMH8MC830G1,
77.7492,7721,6,8PLADVHH,2,12.9582,PSCDTJMH8MC830G1,
129.1168,7721,10,8PLADVHH,2,12.91168,PSCDTJMH8MC830G1,
104.0028,7721,8,8PLADVHH,2,13.00035,PSCDTJMH8MC830G1,
39.108,7721,3,8PLADVHH,2,13.036,PSCDTJMH8MC830G1,
273.5498,7721,20,8PLADVHH,2,13.67749,PSCDTJMH8MC830G1,
39.1571,7721,3,8PLADVHH,2,13.052366666666666666666667,PSCDTJMH8MC830G1,
77.8205,7721,6,8PLADVHH,2,12.970083333333333333333333,PSCDTJMH8MC830G1,
286.2882,7721,21,8PLADVHH,2,13.632771428571428571428571,PSCDTJMH8MC830G1,
52.4859,7721,4,8PLADVHH,2,13.121475,PSCDTJMH8MC830G1,
130.6014,7721,9,8PLADVHH,2,14.511266666666666666666667,PSCDTJMH8MC830G1,
155.315,7721,11,8PLADVHH,2,14.119545454545454545454545,PSCDTJMH8MC830G1,
13.0797,7721,1,8PLADVHH,2,13.0797,PSCDTJMH8MC830G1,
51.9375,7721,4,8PLADVHH,2,12.984375,PSCDTJMH8MC830G1,
25.6851,7721,2,8PLADVHH,2,12.84255,PSCDTJMH8MC830G1,
25.9745,7721,2,8PLADVHH,2,12.98725,PSCDTJMH8MC830G1,
116.5979,7721,9,8PLADVHH,2,12.955322222222222222222222,PSCDTJMH8MC830G1,
13.0113,7721,1,8PLADVHH,2,13.0113,PSCDTJMH8MC830G1,
4937.3,7721,371,8PLADVHH,3,13.308086253369272237196765,PSCDTJMH8MC830G1,
9176.4889,7721,695,8PLADVHH,3,13.203581151079136690647482,PSCDTJMH8MC830G1,
10969.0573,7721,828,8PLADVHH,3,13.247653743961352657004831,PSCDTJMH8MC830G1,
11380.3503,7721,862,8PLADVHH,3,13.202262529002320185614849,PSCDTJMH8MC830G1,
7739.6798,7721,581,8PLADVHH,3,13.321307745266781411359725,PSCDTJMH8MC830G1,
7309.4193,7721,552,8PLADVHH,3,13.241701630434782608695652,PSCDTJMH8MC830G1,
7169.5967,7721,532,8PLADVHH,3,13.476685526315789473684211,PSCDTJMH8MC830G1,
1347.6937,7721,101,8PLADVHH,3,13.343501980198019801980198,PSCDTJMH8MC830G1,
7859.3397,7721,590,8PLADVHH,3,13.32091474576271186440678,PSCDTJMH8MC830G1,
7649.4489,7721,573,8PLADVHH,3,13.349823560209424083769634,PSCDTJMH8MC830G1,
8055.5708,7721,604,8PLADVHH,3,13.337037748344370860927152,PSCDTJMH8MC830G1,
13248.5006,7721,995,8PLADVHH,3,13.315075979899497487437186,PSCDTJMH8MC830G1,
7292.5474,7721,544,8PLADVHH,3,13.405418014705882352941176,PSCDTJMH8MC830G1,
13790.3388,7721,1033,8PLADVHH,3,13.349795546950629235237173,PSCDTJMH8MC830G1,
9690.3424,7721,726,8PLADVHH,3,13.347579063360881542699725,PSCDTJMH8MC830G1,
6878.3634,7721,515,8PLADVHH,3,13.356045436893203883495146,PSCDTJMH8MC830G1,
3723.0455,7721,278,8PLADVHH,3,13.39225,PSCDTJMH8MC830G1,
10137.98,7721,760,8PLADVHH,3,13.339447368421052631578947,PSCDTJMH8MC830G1,
13659.2445,7721,1028,8PLADVHH,3,13.287202821011673151750973,PSCDTJMH8MC830G1,
15295.3125,7721,1142,8PLADVHH,3,13.393443520140105078809107,PSCDTJMH8MC830G1,
10599.4278,7721,793,8PLADVHH,3,13.366239344262295081967213,PSCDTJMH8MC830G1,
11438.5021,7721,863,8PLADVHH,3,13.254347740440324449594438,PSCDTJMH8MC830G1,
5509.4426,7721,412,8PLADVHH,3,13.372433495145631067961165,PSCDTJMH8MC830G1,
10579.474,7721,797,8PLADVHH,3,13.274120451693851944792974,PSCDTJMH8MC830G1,
10768.7179,7721,812,8PLADVHH,3,13.261967857142857142857143,PSCDTJMH8MC830G1,
10094.6251,7721,764,8PLADVHH,3,13.212860078534031413612565,PSCDTJMH8MC830G1,
6951.0305,7721,523,8PLADVHH,3,13.29068929254302103250478,PSCDTJMH8MC830G1,
5742.8228,7721,438,8PLADVHH,3,13.111467579908675799086758,PSCDTJMH8MC830G1,
13709.3372,7721,1037,8PLADVHH,3,13.220190163934426229508197,PSCDTJMH8MC830G1,
1390.195,7721,105,8PLADVHH,3,13.239952380952380952380952,PSCDTJMH8MC830G1,
6811.0515,7721,514,8PLADVHH,3,13.251072957198443579766537,PSCDTJMH8MC830G1,
11921.4273,7721,906,8PLADVHH,3,13.158308278145695364238411,PSCDTJMH8MC830G1,
4145.6974,7721,311,8PLADVHH,3,13.330216720257234726688103,PSCDTJMH8MC830G1,
6123.5729,7721,457,8PLADVHH,3,13.399503063457330415754923,PSCDTJMH8MC830G1,
11267.9963,7721,851,8PLADVHH,3,13.240888719153936545240893,PSCDTJMH8MC830G1,
8429.2017,7721,633,8PLADVHH,3,13.316274407582938388625592,PSCDTJMH8MC830G1,
3589.9184,7721,274,8PLADVHH,3,13.101891970802919708029197,PSCDTJMH8MC830G1,
11607.9583,7721,876,8PLADVHH,3,13.251093949771689497716895,PSCDTJMH8MC830G1,
7174.7737,7721,542,8PLADVHH,3,13.237589852398523985239852,PSCDTJMH8MC830G1,
5076.9351,7721,382,8PLADVHH,3,13.290406020942408376963351,PSCDTJMH8MC830G1,
7622.8463,7721,575,8PLADVHH,3,13.257124,PSCDTJMH8MC830G1,
6984.0736,7721,526,8PLADVHH,3,13.277706463878326996197719,PSCDTJMH8MC830G1,
8573.8273,7721,650,8PLADVHH,3,13.190503538461538461538462,PSCDTJMH8MC830G1,
6665.9076,7721,504,8PLADVHH,3,13.226007142857142857142857,PSCDTJMH8MC830G1,
6507.136,7721,490,8PLADVHH,3,13.279869387755102040816327,PSCDTJMH8MC830G1,
11239.2593,7721,846,8PLADVHH,3,13.285176477541371158392435,PSCDTJMH8MC830G1,
2822.2271,7721,211,8PLADVHH,3,13.375483886255924170616114,PSCDTJMH8MC830G1,
4431.3379,7721,335,8PLADVHH,3,13.227874328358208955223881,PSCDTJMH8MC830G1,
11255.5185,7721,853,8PLADVHH,3,13.195215123094958968347011,PSCDTJMH8MC830G1,
7439.9001,7721,562,8PLADVHH,3,13.238256405693950177935943,PSCDTJMH8MC830G1,
7558.7528,7721,570,8PLADVHH,3,13.26096982456140350877193,PSCDTJMH8MC830G1,
2703.9775,7721,206,8PLADVHH,3,13.126104368932038834951456,PSCDTJMH8MC830G1,
6494.5065,7721,488,8PLADVHH,3,13.308414959016393442622951,PSCDTJMH8MC830G1,
7281.5074,7721,550,8PLADVHH,3,13.239104363636363636363636,PSCDTJMH8MC830G1,
1607.9527,7721,117,8PLADVHH,4,13.743185470085470085470085,PSCDTJMH8MC830G1,
4258.2408,7721,312,8PLADVHH,4,13.648207692307692307692308,PSCDTJMH8MC830G1,
4254.8955,7721,314,8PLADVHH,4,13.550622611464968152866242,PSCDTJMH8MC830G1,
3963.5009,7721,292,8PLADVHH,4,13.573633219178082191780822,PSCDTJMH8MC830G1,
2797.1582,7721,203,8PLADVHH,4,13.779104433497536945812808,PSCDTJMH8MC830G1,
2789.9671,7721,204,8PLADVHH,4,13.676309313725490196078431,PSCDTJMH8MC830G1,
3299.8547,7721,240,8PLADVHH,4,13.749394583333333333333333,PSCDTJMH8MC830G1,
3641.1738,7721,265,8PLADVHH,4,13.740278490566037735849057,PSCDTJMH8MC830G1,
2412.3234,7721,179,8PLADVHH,4,13.476667039106145251396648,PSCDTJMH8MC830G1,
2540.6305,7721,187,8PLADVHH,4,13.586259358288770053475936,PSCDTJMH8MC830G1,
2004.9177,7721,145,8PLADVHH,4,13.827018620689655172413793,PSCDTJMH8MC830G1,
6790.0495,7721,498,8PLADVHH,4,13.634637550200803212851406,PSCDTJMH8MC830G1,
2777.7472,7721,204,8PLADVHH,4,13.616407843137254901960784,PSCDTJMH8MC830G1,
5807.3662,7721,425,8PLADVHH,4,13.664391058823529411764706,PSCDTJMH8MC830G1,
5752.7791,7721,421,8PLADVHH,4,13.664558432304038004750594,PSCDTJMH8MC830G1,
3182.4826,7721,235,8PLADVHH,4,13.542479148936170212765957,PSCDTJMH8MC830G1,
6163.1256,7721,454,8PLADVHH,4,13.575166519823788546255507,PSCDTJMH8MC830G1,
5433.5162,7721,396,8PLADVHH,4,13.721000505050505050505051,PSCDTJMH8MC830G1,
6982.823,7721,514,8PLADVHH,4,13.585258754863813229571984,PSCDTJMH8MC830G1,
3946.4608,7721,287,8PLADVHH,4,13.750734494773519163763066,PSCDTJMH8MC830G1,
4547.2768,7721,334,8PLADVHH,4,13.614601197604790419161677,PSCDTJMH8MC830G1,
3460.8759,7721,255,8PLADVHH,4,13.572062352941176470588235,PSCDTJMH8MC830G1,
8857.7856,7721,651,8PLADVHH,4,13.606429493087557603686636,PSCDTJMH8MC830G1,
4068.3824,7721,301,8PLADVHH,4,13.516220598006644518272425,PSCDTJMH8MC830G1,
9017.2781,7721,664,8PLADVHH,4,13.580238102409638554216867,PSCDTJMH8MC830G1,
