TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
1043.2567,7721,100,8PARDVHH,1,10.432567,PSCDTJMH8MC830G0,
263.5303,7721,26,8PARDVHH,1,10.135780769230769230769231,PSCDTJMH8MC830G0,
10.1995,7721,1,8PAREVHH,1,10.1995,PSCDTJMH8MC830G0,
10.3036,7721,1,8PAREVHH,1,10.3036,PSCDTJMH8MC830G0,
20.2853,7721,2,8PAREVHH,1,10.14265,PSCDTJMH8MC830G0,
10.1533,7721,1,8PAREVHH,1,10.1533,PSCDTJMH8MC830G0,
171.6517,7721,17,8PAREVHH,1,10.097158823529411764705882,PSCDTJMH8MC830G0,
80.6535,7721,8,8PAREVHH,1,10.0816875,PSCDTJMH8MC830G0,
40.7385,7721,4,8PAREVHH,1,10.184625,PSCDTJMH8MC830G0,
41.1636,7721,4,8PAREVHH,1,10.2909,PSCDTJMH8MC830G0,
80.7887,7721,8,8PAREVHH,1,10.0985875,PSCDTJMH8MC830G0,
30.6103,7721,3,8PAREVHH,1,10.203433333333333333333333,PSCDTJMH8MC830G0,
10.3258,7721,1,8PAREVHH,1,10.3258,PSCDTJMH8MC830G0,
79.5205,7721,7,8PAREVHH,1,11.360071428571428571428571,PSCDTJMH8MC830G0,
61.3399,7721,6,8PAREVHH,1,10.223316666666666666666667,PSCDTJMH8MC830G0,
10.2214,7721,1,8PAREVHH,1,10.2214,PSCDTJMH8MC830G0,
10.2505,7721,1,8PAREVHH,1,10.2505,PSCDTJMH8MC830G0,
466.2017,7721,32,8PAREVHH,1,14.568803125,PSCDTJMH8MC830G0,
288.988,7721,27,8PAREVHH,1,10.703259259259259259259259,PSCDTJMH8MC830G0,
580.331,7721,58,8PAREVHH,1,10.005706896551724137931034,PSCDTJMH8MC830G0,
285.116,7721,28,8PAREVHH,1,10.182714285714285714285714,PSCDTJMH8MC830G0,
341.2623,7721,30,8PAREVHH,1,11.37541,PSCDTJMH8MC830G0,
221.2301,7721,19,8PAREVHH,1,11.643689473684210526315789,PSCDTJMH8MC830G0,
234.3037,7721,23,8PAREVHH,1,10.187117391304347826086957,PSCDTJMH8MC830G0,
196.1409,7721,17,8PAREVHH,1,11.5377,PSCDTJMH8MC830G0,
530.2757,7721,51,8PAREVHH,1,10.397562745098039215686275,PSCDTJMH8MC830G0,
20.4116,7721,2,8PAREVHH,1,10.2058,PSCDTJMH8MC830G0,
1024.3383,7721,98,8PAREVHH,1,10.452431632653061224489796,PSCDTJMH8MC830G0,
404.6616,7721,39,8PAREVHH,1,10.375938461538461538461538,PSCDTJMH8MC830G0,
10.253,7721,1,8PAREVHH,1,10.253,PSCDTJMH8MC830G0,
20.5017,7721,2,8PAREVHH,1,10.25085,PSCDTJMH8MC830G0,
65.7381,7721,6,8PAREVHH,1,10.95635,PSCDTJMH8MC830G0,
107.049,7721,9,8PAREVHH,1,11.894333333333333333333333,PSCDTJMH8MC830G0,
141.3193,7721,14,8PAREVHH,1,10.094235714285714285714286,PSCDTJMH8MC830G0,
40.9133,7721,4,8PAREVHH,1,10.228325,PSCDTJMH8MC830G0,
70.7712,7721,7,8PAREVHH,1,10.110171428571428571428571,PSCDTJMH8MC830G0,
483.2595,7721,47,8PAREVHH,1,10.282117021276595744680851,PSCDTJMH8MC830G0,
262.803,7721,24,8PAREVHH,1,10.950125,PSCDTJMH8MC830G0,
331.0763,7721,33,8PAREVHH,1,10.032615151515151515151515,PSCDTJMH8MC830G0,
24.7893,7721,2,8PAREVHH,1,12.39465,PSCDTJMH8MC830G0,
20.4226,7721,2,8PAREVHH,1,10.2113,PSCDTJMH8MC830G0,
118.4584,7721,11,8PAREVHH,1,10.768945454545454545454545,PSCDTJMH8MC830G0,
490.6596,7721,49,8PAREVHH,1,10.013461224489795918367347,PSCDTJMH8MC830G0,
612.5235,7721,57,8PAREVHH,1,10.746026315789473684210526,PSCDTJMH8MC830G0,
610.9945,7721,57,8PAREVHH,1,10.719201754385964912280702,PSCDTJMH8MC830G0,
674.931,7721,66,8PAREVHH,1,10.226227272727272727272727,PSCDTJMH8MC830G0,
773.902,7721,74,8PAREVHH,1,10.458135135135135135135135,PSCDTJMH8MC830G0,
80.6254,7721,8,8PAREVHH,1,10.078175,PSCDTJMH8MC830G0,
585.2726,7721,58,8PAREVHH,1,10.090906896551724137931034,PSCDTJMH8MC830G0,
430.2893,7721,43,8PAREVHH,1,10.006727906976744186046512,PSCDTJMH8MC830G0,
211.1359,7721,21,8PAREVHH,1,10.05409047619047619047619,PSCDTJMH8MC830G0,
274.2171,7721,27,8PAREVHH,1,10.156188888888888888888889,PSCDTJMH8MC830G0,
139.6775,7721,14,8PAREVHH,1,9.976964285714285714285714,PSCDTJMH8MC830G0,
90.7053,7721,9,8PAREVHH,1,10.078366666666666666666667,PSCDTJMH8MC830G0,
10.133,7721,1,8PAREVHH,1,10.133,PSCDTJMH8MC830G0,
40.7033,7721,4,8PAREVHH,1,10.175825,PSCDTJMH8MC830G0,
20.4344,7721,2,8PAREVHH,1,10.2172,PSCDTJMH8MC830G0,
10.221,7721,1,8PAREVHH,1,10.221,PSCDTJMH8MC830G0,
70.8106,7721,7,8PAREVHH,1,10.1158,PSCDTJMH8MC830G0,
60.9164,7721,6,8PAREVHH,1,10.152733333333333333333333,PSCDTJMH8MC830G0,
20.452,7721,2,8PAREVHH,1,10.226,PSCDTJMH8MC830G0,
70.9403,7721,7,8PAREVHH,1,10.134328571428571428571429,PSCDTJMH8MC830G0,
51.1079,7721,5,8PAREVHH,1,10.22158,PSCDTJMH8MC830G0,
705.6084,7721,66,8PAREVHH,1,10.691036363636363636363636,PSCDTJMH8MC830G0,
262.8761,7721,26,8PAREVHH,1,10.110619230769230769230769,PSCDTJMH8MC830G0,
34.3772,7721,3,8PAREVHH,1,11.459066666666666666666667,PSCDTJMH8MC830G0,
581.4463,7721,58,8PAREVHH,1,10.024936206896551724137931,PSCDTJMH8MC830G0,
295.5338,7721,26,8PAREVHH,1,11.366684615384615384615385,PSCDTJMH8MC830G0,
231.5733,7721,22,8PAREVHH,1,10.526059090909090909090909,PSCDTJMH8MC830G0,
40.974,7721,4,8PAREVHH,1,10.2435,PSCDTJMH8MC830G0,
40.4018,7721,4,8PAREVHH,1,10.10045,PSCDTJMH8MC830G0,
255.1761,7721,24,8PAREVHH,1,10.6323375,PSCDTJMH8MC830G0,
30.6479,7721,3,8PAREVHH,1,10.215966666666666666666667,PSCDTJMH8MC830G0,
44.809,7721,4,8PAREVHH,1,11.20225,PSCDTJMH8MC830G0,
125.0857,7721,11,8PAREVHH,1,11.371427272727272727272727,PSCDTJMH8MC830G0,
362.3024,7721,30,8PAREVHH,1,12.076746666666666666666667,PSCDTJMH8MC830G0,
110.4393,7721,11,8PAREVHH,1,10.039936363636363636363636,PSCDTJMH8MC830G0,
154.368,7721,14,8PAREVHH,1,11.026285714285714285714286,PSCDTJMH8MC830G0,
30.7873,7721,3,8PAREVHH,1,10.262433333333333333333333,PSCDTJMH8MC830G0,
60.7476,7721,6,8PAREVHH,1,10.1246,PSCDTJMH8MC830G0,
50.8439,7721,5,8PAREVHH,1,10.16878,PSCDTJMH8MC830G0,
10.1718,7721,1,8PAREVHH,1,10.1718,PSCDTJMH8MC830G0,
131.3411,7721,13,8PAREVHH,1,10.103161538461538461538462,PSCDTJMH8MC830G0,
50.2727,7721,5,8PAREVHH,1,10.05454,PSCDTJMH8MC830G0,
171.6604,7721,17,8PAREVHH,1,10.097670588235294117647059,PSCDTJMH8MC830G0,
170.1894,7721,15,8PAREVHH,1,11.34596,PSCDTJMH8MC830G0,
31.1421,7721,3,8PAREVHH,1,10.3807,PSCDTJMH8MC830G0,
60.9229,7721,6,8PAREVHH,1,10.153816666666666666666667,PSCDTJMH8MC830G0,
20.3879,7721,2,8PAREVHH,1,10.19395,PSCDTJMH8MC830G0,
20.4063,7721,2,8PAREVHH,1,10.20315,PSCDTJMH8MC830G0,
10.2437,7721,1,8PAREVHH,1,10.2437,PSCDTJMH8MC830G0,
106.981,7721,10,8PAREVHH,1,10.6981,PSCDTJMH8MC830G0,
131.3161,7721,13,8PAREVHH,1,10.101238461538461538461538,PSCDTJMH8MC830G0,
167.9049,7721,16,8GARFVHH,2,10.49405625,PSCDTJMH8MC830G0,
125.0014,7721,12,8GARFVHH,2,10.416783333333333333333333,PSCDTJMH8MC830G0,
94.5401,7721,9,8GARFVHH,2,10.504455555555555555555556,PSCDTJMH8MC830G0,
136.4259,7721,13,8GARFVHH,2,10.4943,PSCDTJMH8MC830G0,
2431.0052,7721,229,8PARDVHH,2,10.615743231441048034934498,PSCDTJMH8MC830G0,
9863.5918,7721,926,8PARDVHH,2,10.651826997840172786177106,PSCDTJMH8MC830G0,
12103.2874,7721,1139,8PARDVHH,2,10.626240035118525021949078,PSCDTJMH8MC830G0,
3484.166,7721,332,8PAREVHH,2,10.494475903614457831325301,PSCDTJMH8MC830G0,
4313.3555,7721,405,8PAREVHH,2,10.65026049382716049382716,PSCDTJMH8MC830G0,
8516.5529,7721,805,8PAREVHH,2,10.579568819875776397515528,PSCDTJMH8MC830G0,
7838.9967,7721,746,8PAREVHH,2,10.508038471849865951742627,PSCDTJMH8MC830G0,
5898.5362,7721,532,8PAREVHH,2,11.087474060150375939849624,PSCDTJMH8MC830G0,
7602.7517,7721,720,8PAREVHH,2,10.559377361111111111111111,PSCDTJMH8MC830G0,
5787.8825,7721,547,8PAREVHH,2,10.581138025594149908592322,PSCDTJMH8MC830G0,
7836.1949,7721,747,8PAREVHH,2,10.490220749665327978580991,PSCDTJMH8MC830G0,
7634.9267,7721,724,8PAREVHH,2,10.545478867403314917127072,PSCDTJMH8MC830G0,
7487.027,7721,713,8PAREVHH,2,10.500739130434782608695652,PSCDTJMH8MC830G0,
7027.0387,7721,669,8PAREVHH,2,10.503794768310911808669656,PSCDTJMH8MC830G0,
7796.4374,7721,716,8PAREVHH,2,10.888879050279329608938547,PSCDTJMH8MC830G0,
10652.9464,7721,1005,8PAREVHH,2,10.599946666666666666666667,PSCDTJMH8MC830G0,
10429.1103,7721,986,8PAREVHH,2,10.577190973630831643002028,PSCDTJMH8MC830G0,
8236.1604,7721,778,8PAREVHH,2,10.586324421593830334190231,PSCDTJMH8MC830G0,
8644.3864,7721,817,8PAREVHH,2,10.580644308445532435740514,PSCDTJMH8MC830G0,
7054.2373,7721,668,8PAREVHH,2,10.560235479041916167664671,PSCDTJMH8MC830G0,
7935.2126,7721,755,8PAREVHH,2,10.51021536423841059602649,PSCDTJMH8MC830G0,
6785.112,7721,643,8PAREVHH,2,10.552273716951788491446345,PSCDTJMH8MC830G0,
3552.4612,7721,335,8PAREVHH,2,10.604361791044776119402985,PSCDTJMH8MC830G0,
12535.6888,7721,1123,8PAREVHH,2,11.162679252003561887800534,PSCDTJMH8MC830G0,
10796.1361,7721,1022,8PAREVHH,2,10.563733953033268101761252,PSCDTJMH8MC830G0,
11945.8114,7721,1131,8PAREVHH,2,10.56216746242263483642794,PSCDTJMH8MC830G0,
10010.5472,7721,930,8PAREVHH,2,10.764029247311827956989247,PSCDTJMH8MC830G0,
7067.864,7721,619,8PAREVHH,2,11.418197092084006462035541,PSCDTJMH8MC830G0,
10286.0881,7721,974,8PAREVHH,2,10.560665400410677618069815,PSCDTJMH8MC830G0,
11597.0762,7721,866,8PAREVHH,2,13.391542956120092378752887,PSCDTJMH8MC830G0,
12561.2728,7721,1172,8PAREVHH,2,10.717809556313993174061433,PSCDTJMH8MC830G0,
12644.7184,7721,1194,8PAREVHH,2,10.590216415410385259631491,PSCDTJMH8MC830G0,
7496.9307,7721,702,8PAREVHH,2,10.679388461538461538461538,PSCDTJMH8MC830G0,
8124.7458,7721,680,8PAREVHH,2,11.948155588235294117647059,PSCDTJMH8MC830G0,
7471.358,7721,671,8PAREVHH,2,11.134661698956780923994039,PSCDTJMH8MC830G0,
7422.9894,7721,694,8PAREVHH,2,10.695950144092219020172911,PSCDTJMH8MC830G0,
5737.0221,7721,541,8PAREVHH,2,10.604477079482439926062847,PSCDTJMH8MC830G0,
12204.2309,7721,1014,8PAREVHH,2,12.035730670611439842209073,PSCDTJMH8MC830G0,
13874.1607,7721,1311,8PAREVHH,2,10.582883829138062547673532,PSCDTJMH8MC830G0,
