TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
692.325,7721,54,8GLABVHH,1,12.82083333,PSCDTJMH8MC830G0
7779.8709,7721,583,8GLABVHH,1,13.344547,PSCDTJMH8MC830G0
9088.1057,7721,628,8GLABVHH,1,14.47150589,PSCDTJMH8MC830G0
3080.1111,7721,240,8GLABVHH,1,12.83379625,PSCDTJMH8MC830G0
1653.681,7721,127,8GLABVHH,1,13.02111024,PSCDTJMH8MC830G0
5255.1412,7721,373,8GLABVHH,1,14.0888504,PSCDTJMH8MC830G0
1416.4152,7721,110,8GLABVHH,1,12.87650182,PSCDTJMH8MC830G0
4552.6555,7721,357,8GLABVHH,1,12.75253641,PSCDTJMH8MC830G0
5227.5506,7721,408,8GLABVHH,1,12.81262402,PSCDTJMH8MC830G0
5104.2496,7721,398,8GLABVHH,1,12.82474774,PSCDTJMH8MC830G0
3775.7237,7721,281,8GLABVHH,1,13.43673915,PSCDTJMH8MC830G0
1495.6686,7721,117,8GLABVHH,1,12.78349231,PSCDTJMH8MC830G0
2646.7532,7721,207,8GLABVHH,1,12.78624734,PSCDTJMH8MC830G0
4755.8296,7721,333,8GLABVHH,1,14.28177057,PSCDTJMH8MC830G0
3834.1216,7721,297,8GLABVHH,1,12.90950034,PSCDTJMH8MC830G0
7363.4403,7721,583,8GLABVHH,1,12.6302578,PSCDTJMH8MC830G0
1054.8319,7721,82,8GLABVHH,1,12.86380366,PSCDTJMH8MC830G0
6969.7978,7721,528,8GLABVHH,1,13.20037462,PSCDTJMH8MC830G0
8970.4316,7721,518,8GLABVHH,1,17.31743552,PSCDTJMH8MC830G0
4531.5358,7721,353,8GLABVHH,1,12.8372119,PSCDTJMH8MC830G0
2999.3488,7721,233,8GLABVHH,1,12.87274163,PSCDTJMH8MC830G0
4412.5733,7721,338,8GLABVHH,1,13.05495059,PSCDTJMH8MC830G0
25.6569,7721,2,8GLADVHH,1,12.82845,PSCDTJMH8MC830G0
38.5679,7721,3,8GLADVHH,1,12.85596667,PSCDTJMH8MC830G0
12.9669,7721,1,8GLADVHH,1,12.9669,PSCDTJMH8MC830G0
113.8167,7721,9,8GLADVHH,1,12.6463,PSCDTJMH8MC830G0
42.1386,7721,2,8GLADVHH,1,21.0693,PSCDTJMH8MC830G0
13.2557,7721,1,8GLADVHH,1,13.2557,PSCDTJMH8MC830G0
56.0383,7721,4,8GLADVHH,1,14.009575,PSCDTJMH8MC830G0
26.002,7721,2,8GLADVHH,1,13.001,PSCDTJMH8MC830G0
154.3265,7721,10,8GLADVHH,1,15.43265,PSCDTJMH8MC830G0
12.87,7721,1,8GLADVHH,1,12.87,PSCDTJMH8MC830G0
14.4813,7721,1,8GLADVHH,1,14.4813,PSCDTJMH8MC830G0
12.8812,7721,1,8GLADVHH,1,12.8812,PSCDTJMH8MC830G0
25.3999,7721,2,8GLADVHH,1,12.69995,PSCDTJMH8MC830G0
