PATTERN,COUNT
D1445912P2483278_014444_PH03DF_FTXXX_US1XB1X2XXXHXXXXX_FC_RANDOM_MT_882975232,4
D1510411P2259848_014444_PH07DF_FTXXX_UX1XM1X0XXXHXXXXX_FP_FCMOVB_NB,1
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,21
D1510417P2326228_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_RSQRTPS,5
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,15
D1510471P2756272_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_MIN_PIPEBOMB_FP_SSE2,4
D1510475P2324978_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_ENABLE_E45_ORP_000,2
D1510476P2251748_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT27,1
D1510497P2252798_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_STHITST_BITS15_6,3
D1510506P2495178_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_12_MT0,4
D1510523P2501218_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_TC_ALL_WAYS,3
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,3
D1510549P2249778_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_DFP_WOX_MMX,3
D1510567P2380440_014444_PH07DF_FTXXX_US1XM1X0XXXGXXXXX_CREG_READ_WRITE_READ_SELFCHECK,2
D1510578P2467274_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,3
D1510580P2246448_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_IO_READ_PIPE_5,1
D1510603P2788532_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64,8
D1510671P2254998_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_PROT_PF_CPL1_CPL2_CR0WP_PDESR,14
D1510680P2324628_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_ENABLE_E12_ORP_000,6
D1510716P2445100_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,5
D1510727P2498248_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_STRB_BITS13_16,5
D1510732P2244118_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH1,2
