PATTERN,COUNT
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,5
D1510417P2326228_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_RSQRTPS,3
D1510429P2463334_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_MITE_CREG_PATCH3_13,12
D1510444P2430824_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_URDR_UWDR_CONFLICTS_JMP,1
D1510447P2470576_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_FG_MSIMMD_STAR_CS_SS,4
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,19
D1510457P2471018_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FIX_MTRR_LOOKUP,1
D1510458P2494708_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_04_MT1,1
D1510470P2477278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MSIMMD_FMASK_ESP_EIP_UOP1,10
D1510476P2251748_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT27,3
D1510495P2429514_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_SAMELINE_FC_MT_784878519,1
D1510504P2251718_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT26,2
D1510507P2467254_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_DATAGM_24_31_1,7
D1510509P2496428_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_26_MT0,3
D1510515P2477238_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MSIMMD_CREG_CSTAR_CS_UOP1,9
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,1
