PATTERN,COUNT
D1510529P2431834_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_FG_SYSCALL_SYSRET,4
D1510542P2495448_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_18_MT0,1
D1510597P2430504_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1510659P2244308_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_SNOOP,1
D1510754P2251758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MAXSD_F20F5F_REAL_OPCOV,1
D1510769P2490358_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_LD_LDRB_BITS21_24,3
D1510805P2255338_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_STACK_LIMIT__G1D1E1_DWORD__0002,1
D1510824P2242618_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_T3_0048,1
D1510854P2431824_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_SYSCALL_SYSRET,6
D1510883P2741662_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE_010_MODCHOW_CSE,2
D1510903P2481428_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_GATE_MT,1
D1511028P2756302_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_017,3
D1511126P2496278_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_22_MT1,1
D1511273P2244928_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CRRPTRCHANGEM986H_SPEEDPATH,3
D1511379P2448820_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_SQRT_ORP_000,1
D1511389P2443028_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MITE_CREG,3
D1511403P2242978_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_TIME_STAMP_CTR,4
D1511431P2242828_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_TRAVEL1,2
D1511570P2242438_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_EMON,25
D1511682P2756222_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_010,5
D1511761P2445180_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_RAND_STORE_DATA_8,1
D1511974P2254248_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IRET_CF_ISA_FN_P_FLAGS,1
D1512009P2436916_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_TSC3,1
D1512247P2299578_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_VEGA_SHREMP_332506615,1
D1512279P2442898_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_ISMATCHN_PATTERN_MASK_2_5,1
D1512373P2404680_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_FIXED_EXTERN,2
D1512375P2471128_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MS_LOOP_COUNT,4
D1512523P2245458_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_USWC_RANDWB,1
D1512606P2255018_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FYL2XP1,1
D1512650P2418572_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_SIMPLE_FSB_DATA_PARITY_ERROR,2
D1512652P2437586_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT2,1
D1512773P2496918_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_37_MT0,1
D1512852P2242738_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_KNICVT,2
D1512924P2501588_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_07_MT0,1
D1512929P2243648_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_T3C_010_FPUSTATEIMAGE_MISMATCH,1
