LOT,OPER,DEVREVSTEP,TTEST
6512Y011,7721,8PARFVHH,100
6512Z011,7721,8PARFVHH,102
6517C893,7721,8PLABVHH,555
6517C894,7721,8PLABVHH,41
6518B13K,7721,8PWREVHH,173
6522A72K,7721,8PKABVHH,188
6522A73K,7721,8PWADVHH,82
6522B393,7721,8PWAEVHH,837
6522B477,7721,8PWADVHH,1154
6522B480,7721,8PWAEVHH,420
6523A113,7721,8PWABVHH,837
6523A530,7721,8PAREVHH,1130
6523B550,7721,8PWAEVHH,1259
6524A75K,7721,8PLADVHH,294
6524A76K,7721,8PKAEVHH,229
6524A77K,7721,8PWAEVHH,155
6525C323,7721,8PLABVHH,139
6526A37K,7721,8PKADVHH,89
6526A38K,7721,8PKAEVHH,155
6528A52K,7721,8PKAEVHH,258
6528A53K,7721,8PUADVHH,113
6528A540D,7721,8PKAEVHH,76
6528A57K,7721,8PKAEVHH,365
6528B363,7721,8PKADVHH,210
6529A12K,7721,8PKADVHH,247
6529A20K,7721,8PKADVHH,325
6529B073,7721,8PKADVHH,1202
6529B585,7721,8PLADVHH,840
6530A33K,7721,8PUADVHH,221
6530A573,7721,8PWREVHH,411
6530A577BI,7721,8PKAEVHH,54
6530A578BI,7721,8PKAEVHH,78
6530A734,7721,8PKAEVHH,839
6530B334,7721,8PKADVHH,408
6530B594,7721,8PWREVHH,834
6530B664,7721,8PUADVHH,354
6530C116,7721,8PKAEVHH,404
6530C298,7721,8PKAEVHH,418
6530C396,7721,8PKAEVHH,420
6530C457,7721,8PKAEVHH,419
6531A02K,7721,8PLAYVHH,313
6531A03K,7721,8PKADVHH,1511
6531A04K,7721,8PUADVHH,431
6531A07K,7721,8PKADVHH,595
6531A108,7721,8PWAEVHH,420
6531A11K,7721,8PLADVHH,326
6531A139,7721,8PWREVHH,416
6531A140,7721,8PWREVHH,418
6531A268,7721,8PKADVHH,418
6531A392,7721,8PWRFVHH,401
6531A446,7721,8PAREVHH,1125
6531A447,7721,8PAREVHH,1089
6531A548,7721,8PWREVHH,419
6531A621,7721,8PKADVHH,417
6531A662,7721,8PWRFVHH,1251
6531A665,7721,8PKAEVHH,1679
6531A667,7721,8PKADVHH,836
6531A687,7721,8PKAEVHH,836
6531A690,7721,8PKAEVHH,823
6531A691,7721,8PKADVHH,791
6531A700,7721,8PKAEVHH,1259
6531A704,7721,8PKAEVHH,840
6531A725,7721,8PLAEVHH,420
6531A735,7721,8PKAEVHH,1256
6531A736,7721,8PKAEVHH,1680
6531A737,7721,8PKADVHH,1179
6531A742,7721,8PKAEVHH,840
6531A752,7721,8PKAEVHH,1259
6531A753,7721,8PKAEVHH,840
6531A756,7721,8PKAEVHH,837
