PATTERN,COUNT
D1519833P2473758_014040_PH07DB_FBXXX_US1XM1X1XXXIXXXXX_MTSTALL_FIX0,1
G1273553P2475688_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_4_FIX0,1
G1273566P2475508_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_14_FIX0,1
G1275165P2475618_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_7_FIX0,1
G1276810P2468524_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_1_ORIG,1
G1321431P2364730_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_FACTLS_EMON_VI,1
G1321487P2452300_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_BIT_FLIP_VX_DBL_ORP_000,84
G1346640P2437306_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_REAL_PRED0PRED1_1,1
G1346730P2231698_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_KNI6_SBFT,1
G1346741P2241608_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FA_RND_FP_ADD_SUB_EXT_ITL_ALG_64_RC_S,1
G1346825P2472298_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_5AJUMPPTC12,1
G1346865P2339116_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_INT_MON2_EFLAG_T1_FRITS_ORPHAN_5,103
G1346874P2338676_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TCFBCNTRLSQUEUE,2
G1346942P2388888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_3,1
G1347038P2384440_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS3_3_SHORT,1
G1347079P2238228_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXPLA0TEST1,1
G1347102P2266148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CALLRET_NOPRELOAD_LM0_ORP_002,1
G1347107P2416908_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IS_MASK_BIT_2_P213,1
G1347113P2235548_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_FIXED_MTRR_MISS_9,1
G1347182P2229968_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_000,1
