PATTERN,COUNT
G1271399P2223138_011414_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT1_POC_IOQ1D,1
G1271610P2223198_012323_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT6_POC_IOQ1D,1
G1272257P2247078_011717_PH00DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_WRITE_RESV3,1
G1272310P2223128_011919_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_POC_ARB_DEFER1_1D,2
G1272576P2223138_012020_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT1_POC_IOQ1D,1
G1277103P2223208_011515_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,2
G1277113P2251248_012424_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_APIC_MP_INIT_POC_1,1
G1277114P2223178_011717_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT2_POC_IOQ1D,1
G1277121P2223208_012424_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,1
G1277645P2251108_011717_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,1
G1277645P2251108_011717_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,4
G1277683P2251108_011919_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,3
G1277683P2251108_011919_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,2
G1308900P2222938_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_RETRY_READ_TRANS,1
G1308902P2222728_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_CLOCK_BUG,1
G1308903P2222748_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WRONG_RESP,2
G1308903P2222748_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_WRONG_RESP,1
G1308904P2222638_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_PW_CHECK_ALL_BE,3
G1308907P2223088_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1308907P2223088_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1308909P2222598_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_CRIT_ORDER_READ6,10
G1308909P2222598_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_CRIT_ORDER_READ6,3
G1308910P2222768_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER,1
G1308914P2223068_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_STALL_HITM3,1
G1308915P2223158_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT3_POC_IOQ1D,1
G1308915P2223158_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT3_POC_IOQ1D,1
G1308919P2222588_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_STREAM_EXEC_BUG,13
G1308921P2222918_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOPED_HITM,1
G1308922P2222778_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER2,1
G1308922P2222778_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER2,1
G1308923P2222628_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_REQ_BNR_WS6,7
G1308926P2222718_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_INVALID2,3
G1308927P2223088_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1308927P2223088_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1308928P2222608_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_SNOOP_HITM2,9
G1308929P2222928_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOPED_HITM_DEFER,1
G1308932P2222868_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_CACHE_LOCK,3
G1308933P2222998_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_RETRY_FEW_SPLIT_READ_TRANS,1
G1308936P2222648_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,3
G1308936P2222648_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,1
G1308937P2222868_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_CACHE_LOCK,2
G1308938P2222698_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_WS_UC,2
G1308940P2222668_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_PARTIAL_WRITE,1
G1308940P2222668_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_PARTIAL_WRITE,1
G1308941P2222618_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_INVD_S,1
G1308944P2222608_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_SNOOP_HITM2,3
G1308945P2222908_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HITM_DEFER,1
G1308948P2222678_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_WR,1
G1308948P2222678_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_WMT_WR,1
G1308950P2222788_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER3,2
G1308952P2222718_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_INVALID2,1
G1308953P2223048_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT6,2
G1308955P2222598_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_CRIT_ORDER_READ6,5
G1308956P2222648_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,5
G1308956P2222648_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,1
G1308958P2222848_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_PRI_AGENT,1
G1308959P2222798_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_LCK_RMW_X1,1
G1308960P2222828_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PARTIAL_WRITE_1,1
