PATTERN,COUNT
D1445912P2483278_014444_PH03DF_FTXXX_US1XB1X2XXXHXXXXX_FC_RANDOM_MT_882975232,2
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,5
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,10
D1510475P2324978_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_ENABLE_E45_ORP_000,1
D1510523P2501218_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_TC_ALL_WAYS,1
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,1
D1510549P2249778_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_DFP_WOX_MMX,3
D1510567P2380440_014444_PH07DF_FTXXX_US1XM1X0XXXGXXXXX_CREG_READ_WRITE_READ_SELFCHECK,4
D1510676P2252708_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_STHITLD_BITS15_6,3
D1510680P2324628_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_ENABLE_E12_ORP_000,1
D1510684P2443048_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_SINGLE_FIXED,3
D1510716P2445100_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,2
D1510727P2498248_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_STRB_BITS13_16,1
D1510732P2244118_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH1,7
D1510765P2442818_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_RAND_BSU_CYCLES,1
D1510847P2314818_014444_PH07DF_FTXXX_UX1XM1X2XXXHXXXXX_PM_SEGREG_WR_CS_SS,1
D1510858P2502688_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_25_MT1,1
D1510867P2430584_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1510911P2243098_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_TRAVEL14,1
D1510925P2244748_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX5,3
D1510942P2474738_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGE_MEMORY_TYPE,7
D1510969P2246278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM1_E_1,5
D1510988P2446400_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_RIPREL_LOADS_STORES,1
D1511027P2246498_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_LDS_C5_ISA_DS_P_01,2
D1511028P2756302_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_017,15
D1511052P2431184_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,3
D1511056P2463294_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_MITE_CREG_PATCH3_09,2
D1511097P2251598_014444_PH07DV_FTXXX_US1XM1X1XXXQXXXXX_BAV_APIC_PRI4_FIXED,2
D1511103P2222968_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_DEFERED_READ_TRANS1,2
D1511106P2429494_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_SV_ST0_731660486,1
D1511137P2248398_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_XCHG_LOCK_86_MODRM_00_P,1
D1511149P2245388_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_LDHITLD_BITS15_6,1
D1511154P2509408_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_TC_FLUSH_ALL_WAYS_SETS192_223,2
D1511182P2463434_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BUS_BAV_NO_APIC_INTR_RW_IRR0,3
D1511185P2430814_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1511221P2404740_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_REG_PPR,1
D1511248P2401210_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_RND_TMPL_INIT,3
D1511285P2222748_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_WRONG_RESP,1
D1511295P2222698_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_WMT_WS_UC,1
D1511298P2222958_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_SSNOOP_BUG,1
D1511308P2571102_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2_12,2
D1511311P2247218_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTC_0FBB_MODRM_00_P,3
D1511346P2756262_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_IPD_GENERIC,1
D1511367P2254918_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_NONLINEAR_PTE_D_ASSIST_SPLIT,1
D1511384P2387540_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_ADDSS_F30F58_PROT_OPCOV,7
D1511403P2242978_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_TIME_STAMP_CTR,1
D1511450P2214978_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BF_M4_LDDQU_BP,8
D1511481P2248088_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_LDS_C5_MODRM_01_P,4
D1511496P2498168_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_LDRB_BITS13_16,2
D1511505P2397234_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR_DIFF_GROUPS,2
D1511510P2429984_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1511518P2246648_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM3_E_8,8
D1511520P2242528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_ADD2,3
D1511547P2338346_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__PAGETABLE_UC_ORP_000,3
D1511567P2259008_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_ST_FWD,1
D1511568P2260438_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FAST_STRINGS_MOVS,1
D1511589P2431264_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1511598P2431284_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,4
D1511601P2242958_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CR_0063,1
D1511609P2255288_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_POPA_POPAD_61_ISA_DS_P_01,3
D1511623P2496638_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_31_MT1,3
D1511649P2503008_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_33_MT0,2
D1511650P2501388_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_SASEGARYM_FLASHCOPY_FDS_HIGHBITS_,1
D1511682P2756222_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_010,2
D1511693P2244508_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FSQRT_MARCHING3S,1
D1511702P2448570_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MODPAGD_PAGE_SPLIT_MT_2,2
