PATTERN,COUNT
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,4
D1510421P2254118_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_SAT_ID_REQS_MOVS,2
D1510444P2430824_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_URDR_UWDR_CONFLICTS_JMP,1
D1510453P2249548_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MMFRZEVTS,1
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,3
D1510458P2494708_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_04_MT1,2
D1510470P2477278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MSIMMD_FMASK_ESP_EIP_UOP1,11
D1510492P2401446_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EMON_ACCESS,1
D1510499P2494328_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_00_MT0,1
D1510503P2438186_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BPBTPRTGTAGBS_LTAG_LOGIC,1
D1510507P2467254_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_DATAGM_24_31_1,6
D1510515P2477238_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MSIMMD_CREG_CSTAR_CS_UOP1,2
D1510520P2244798_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX8,1
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,7
D1510532P2251788_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT29,1
D1510535P2244588_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_1,24960
D1510555P2488528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CBP_YTD,6
D1510563P2380500_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CREG_READ_WRITE_WRITE_SELFCHECK,2
D1510572P2255068_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FSINCOSPTAN,2
D1510576P2326458_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_T3THR_NB4220_MEM_WRITE,1
D1510578P2467274_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,17
D1510597P2430504_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,4
D1510617P2434176_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_1_04,1
D1510621P2434246_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_SPLIT_0_,1
D1510633P2474178_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MITE_MT_CALL_RET_SMC,2
D1510636P2247478_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_APIC_PRI4_FIXED,1
D1510659P2244308_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_SNOOP,1
D1510670P2452520_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CREG_SCP2_PLA_EXERCISE1,44
D1510671P2254998_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_PROT_PF_CPL1_CPL2_CR0WP_PDESR,1
D1510672P2434836_014444_PH07DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339927,1
D1510677P2243998_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FDIV_FPCONST,1
D1510685P2434266_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_SPLIT_1_,1
D1510692P2245758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HIT32,6
D1510698P2434016_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_LOTSA_INSTR_FETCH_0,1
D1510716P2445100_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,26
D1510718P2397124_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_FIX_LVL_HI,1
D1510735P2471578_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_1CALLRET_00FF_LOGIC,1
D1510736P2430874_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1510737P2436926_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_TPRUPDATE,1
D1510744P2434146_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_0_24,3
D1510754P2251758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MAXSD_F20F5F_REAL_OPCOV,1
D1510764P2244198_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH7,1
D1510792P2502508_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_20_MT1,6
D1510800P2430964_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1510809P2430004_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1510811P2326888_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_FILLQ_NOINITS_REV2,1
D1510812P2431114_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,5
D1510819P2429574_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FP_FST_856398888,1
D1510832P2431054_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1510839P2501638_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_08_MT1,2
D1510842P2498188_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_LDRB_BITS21_24,1
D1510844P2326378_014444_PH07DF_FUXXX_US1XM1X0XXXHXXXXX_T3THR_NB4224_PSUBQ,1
D1510862P2503088_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_35_MT0,1
D1510867P2430584_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1510876P2252838_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_TAG_SNPHITLD,1
D1510878P2254388_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BRKPT_MISC_CASES,1
D1510891P2431024_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1510897P2326608_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_DEBUGREG,1
D1510902P2247318_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_HAYSTACK_NWDB3_17,1
D1510905P2252988_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEA_ADV_G_CR3_LD_ITLB_SPLIT,1
D1510916P2258928_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PROT_BASIC_MODIFY_LDT,1
D1510922P2430574_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1510924P2429934_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BUS1_PREFQTUNE1,3
D1510925P2244748_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX5,2
D1510928P2466074_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1,68
D1510938P2502658_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_24_MT0,1
D1510942P2474738_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGE_MEMORY_TYPE,12
D1510952P2503298_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_39_MT1,1
D1510969P2246278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM1_E_1,1
