PATTERN,COUNT
G1273553P2475688_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_4_FIX0,1
G1276810P2468524_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_1_ORIG,1
G1276865P2466144_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0,8
G1327979P2473478_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMDIVCTLS_FAULTS,1
G1346670P2345172_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_ISMATCHN_PATTERN_MASK_1,1
G1346697P2241378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,1
G1346774P2435216_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SB_BTBPRED_GLT0,1
G1346816P2235538_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_FIXED_MTRR_MISS_8,2
G1346824P2236828_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_ITLB_SMC0,1
G1346836P2234608_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FIRM_QWORD_SHIFT_5_SBFT,1
G1346931P2389108_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FAX_TOGGLES,1
G1346942P2388888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_3,1
G1347049P2388868_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_ALL_MON2_T1_FRITS_ORPHAN_1,3
G1347136P2468654_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MOB_MT2_LDSTR_ORIG_1,1
G1347161P2475588_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FGIQBINDN2_MT_FIX0,2
G1347179P2235668_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_SBFT_STAGING_OPCODE_2,1
G1347186P2452260_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TC_STALL_ULT1,1
G1347194P2338926_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_0,1
G1347218P2446850_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_AGL0CNTLD_ST_16X128,1
G1347295P2238168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE7,1
G1347307P2505678_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,1
G1347317P2236108_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_LIMIT_LITTLE_VIOL,1
G1347351P2229848_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRANCH_ORP_003,1
