PATTERN,COUNT
D1505534P2412022_014040_PH05DB_FBXXX_US1XM1X0XXXIXXXXX_REALMODE_EVTDATFREQ24,1
G1273553P2475688_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_4_FIX0,1
G1275165P2475618_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_7_FIX0,1
G1276865P2466144_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0,4
G1312524P2384648_014040_PH03DM_FBXXX_UX1XB1X0XXXIXXXXX_PLA_ATPGPAT,1
G1321431P2364730_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_FACTLS_EMON_VI,3
G1346624P2236998_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_ITULSBREQD1,2
G1346642P2256368_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_DAC_FILL_ORDQ_MORE_T1,1
G1346643P2233308_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DIVSS_PI_MARCHING1S_SBFT,1
G1346650P2472238_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_SELUPD,1
G1346653P2232078_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SQRTSS_MARCHING7S_SBFT,1
G1346656P2435206_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FG_BPTBITNLIP,1
G1346694P2241518_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,2
G1346695P2233998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,1
G1346697P2241378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,9
G1346701P2241568_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,1
G1346702P2385142_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_ALFALLOCEMONTEST,15
G1346733P2449510_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_SB_BTBPRED_T1,3
G1346746P2238158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE6,3
G1346759P2238178_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_ISPLATEST1,1
G1346774P2435216_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SB_BTBPRED_GLT0,4
G1346789P2385472_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_SPLIT_INCREMENTER_T0,1
G1346795P2345030_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_REALMODE_TBITS3,1
G1346812P2416968_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IS_MASK_BIT_11_P213,1
G1346815P2234778_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_ULL0_FILL_CONFLICT_T0,1
G1346837P2238588_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXENTRY1,1
G1346857P2457630_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBPU_GL,4
G1346861P2385162_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_REAL_PRED0PRED1,1
G1346875P2235458_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_4,1
G1346890P2385792_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_IQBINDN_OD1NW0_MT,1
G1346896P2237838_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_FLPUBDTHRDSLCT,1
G1346902P2443558_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRNKCTLS_ALDTRD,2
G1346917P2239068_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINST2V2_9OF10,1
G1346926P2236138_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_ITULSBREQD2,1
G1346930P2236158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FLT_LIP_TEST,1
G1346933P2234738_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_MASSIVE_LOADS_T0,1
G1346941P2468554_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SISBFT_MT_ORIG_1,2
G1346942P2388888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_3,1
G1346954P2237368_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_CALL_RET_3,1
G1346955P2435146_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_ALF_FAULTGRADE_INT_THEMPTY,1
G1346964P2472718_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBITRDD_JMP_FAULT121,1
G1346968P2449620_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,1
G1346982P2240778_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_LIMIT_LITTLE_VIOL2,1
