PATTERN,COUNT
G1284892P2421952_012020_PH01DG_FTXXX_UX1XB1X0S12XXXXXX_BUS1_PH2_STATPG,1
G1284895P2403880_012020_PH01DG_FTXXX_UX1XB1X0SR4XXXXXX_CRUROB_PH1_STATPG,196
G1284897P2347582_012020_PH01DG_FTXXX_UX1XB1X0SK4XXXXXX_CRUCHK_PH1_STATPG,291
G1284900P2421942_012020_PH01DG_FTXXX_UX1XB1X0S14XXXXXX_BUS1_PH1_STATPG,292
G1284901P2363730_012020_PH01DG_FTXXX_UX1XB1X0SB4XXXXXX_BPI_PH1_STATPG,185
G1284909P2347562_012020_PH01DG_FTXXX_UX1XB1X0SF2XXXXXX_IEF_PH2_STATPG,39
G1284910P2347552_012020_PH01DG_FTXXX_UX1XB1X0SF4XXXXXX_IEF_PH1_STATPG,84
G1284912P2363562_012020_PH01DG_FTXXX_UX1XB1X0SD4XXXXXX_FMXD_PH1_STATPG,89
G1284913P2347632_012020_PH01DG_FTXXX_UX1XB1X0SU2XXXXXX_DPU_PH2_STATPG,5
G1284917P2365730_012020_PH01DG_FTXXX_UX1XB1X0SM4XXXXXX_FARM_PH1_STATPG,280
G1284919P2365740_012020_PH01DG_FTXXX_UX1XB1X0SM2XXXXXX_FARM_PH2_STATPG,121
G1284926P2347542_012020_PH01DG_FTXXX_UX1XB1X0SU4XXXXXX_DPU_PH1_STATPG,356
G1284942P2347622_012020_PH01DG_FTXXX_UX1XB1X0SO2XXXXXX_MOS_PH2_ISO_STATPG,9
G1284943P2349112_012020_PH01DG_FTXXX_UX1XB1X0SI4XXXXXX_IEX_PH1_STATPG,131
G1284944P2363552_012020_PH01DG_FTXXX_UX1XB1X0SS2XXXXXX_MS_PH2_STATPG,4
G1284950P2363472_012020_PH01DG_FTXXX_UX1XB1X0SS4XXXXXX_MS_PH1_STATPG,279
G1284951P2347612_012020_PH01DG_FTXXX_UX1XB1X0SO4XXXXXX_MOS_PH1_ISO_STATPG,331
G1284953P2349142_012020_PH01DG_FTXXX_UX1XB1X0SI2XXXXXX_IEX_PH2_STATPG,11
G1284959P2366084_012020_PH01DG_FTXXX_UX1XB1X0SP4XXXXXX_PIX_PH1_STATPG,128
G1284962P2385132_012020_PH01DG_FTXXX_UX1XB1X0SC2XXXXXX_TC_PH2_STATPG,218
G1284969P2384940_012020_PH01DG_FTXXX_UX1XB1X0SE2XXXXXX_TBPU_PH2_STATPG,31
G1284975P2466764_012020_PH01DG_FTXXX_UX1XB1X0SM0XXXXXX_FARM_PH1PH2_STATPG,13
G1284978P2345844_012020_PH01DG_FTXXX_UX1XB1X0ST2XXXXXX_RALF_PH2_STATPG,241
G1284979P2384930_012020_PH01DG_FTXXX_UX1XB1X0SE4XXXXXX_TBPU_PH1_STATPG,286
G1284985P2466344_012020_PH01DG_FTXXX_UX1XB1X0SB0XXXXXX_BPI_PH1PH2_STATPG,17
G1285005P2470066_012020_PH01DG_FTXXX_UX1XB1X0SS0XXXXXX_MS_PH1PH2_STATPG,10
G1285007P2469024_012020_PH01DG_FTXXX_UX1XB1X0SO0XXXXXX_MOS_PH1PH2_ISO_STATPG,10
G1285012P2532660_012020_PH01DG_FTXXX_UX1XB1X0SS0XXXXXX_MS_PH1PH2_AZTEC_STATPG,1284
G1285016P2466864_012020_PH01DG_FTXXX_UX1XB1X0SP0XXXXXX_PIX_PH1PH2_STATPG,120
G1285021P2532670_012020_PH01DG_FTXXX_UX1XB1X0SB0XXXXXX_BPI_PH1PH2_AZTEC_STATPG,17
G1285023P2505888_012020_PH01DG_FTXXX_UX1XB1X0SB0XXXXXX_BPI_PH1PH2_STATPG_BRIDGE,16
G1285026P2532820_012020_PH01DG_FTXXX_UX1XB1X0SU0XXXXXX_DPU_PH1PH2_AZTEC_STATPG,30
G1285037P2520888_012020_PH01DG_FTXXX_UX1XB1X0SP0XXXXXX_PIX_PH1PH2_AZTEC_STATPG,55
G1285044P2517528_012020_PH01DG_FTXXX_UX1XB1X0SR2XXXXXX_CRUROB_PH2_BRIDGE,2
G1285142P2519618_012020_PH01DG_FTXXX_UX1XB1X0SE4XXXXXX_TBPU_PH1_NDET_3_STATPG,8
G1285207P2517358_012020_PH01DG_FTXXX_UX1XB1X0S14XXXXXX_BUS1_PH1_NDET_3_STATPG,19
G1285213P2517368_012020_PH01DG_FTXXX_UX1XB1X0S14XXXXXX_BUS1_PH1_NDET_4_STATPG,18
G1285269P2520518_012020_PH01DG_FTXXX_UX1XB1X0SP0XXXXXX_PIX_PH1PH2_NDET_3_STATPG,8
G1355227P2403890_012020_PH03DG_FTXXX_UX1XB1X0SR2XXXXXX_CRUROB_PH2_STATPG,22
G1355229P2466454_012020_PH03DG_FTXXX_UX1XB1X0SR0XXXXXX_CRUROB_PH1PH2_STATPG,36
G1355231P2345834_012020_PH03DG_FTXXX_UX1XB1X0ST4XXXXXX_RALF_PH1_STATPG,63
G1355248P2506008_012020_PH03DG_FTXXX_UX1XB1X0SR0XXXXXX_CRUROB_PH1PH2_STATPG_BRIDGE,14
G1355267P2466874_012020_PH03DG_FTXXX_UX1XB1X0ST0XXXXXX_RALF_PH1PH2_STATPG,15
G1355272P2347592_012020_PH03DG_FTXXX_UX1XB1X0SK2XXXXXX_CRUCHK_PH2_STATPG,38
G1355273P2532810_012020_PH03DG_FTXXX_UX1XB1X0ST0XXXXXX_RALF_PH1PH2_AZTEC_STATPG,18
G1364176P2516878_012020_PH03DG_FTXXX_UX1XB1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_2_STATPG,4
G1364183P2482252_012020_PH03DG_FTXXX_UX1XB1X0SQ2XXXXXX_IQSSU_PH2_STATPG_BRIDGE,1
G1364186P2513378_012020_PH03DG_FTXXX_UX1XB1X0SQ0XXXXXX_IQSSU_PH1PH2_STATPG_BRIDGE,6
G1364187P2424332_012020_PH03DG_FTXXX_UX1XB1X0SQ2XXXXXX_IQSSU_PH2_STATPG,31
G1364189P2469846_012020_PH03DG_FTXXX_UX1XB1X0SQ0XXXXXX_IQSSU_PH1PH2_STATPG,12
G1364190P2468964_012020_PH03DG_FTXXX_UX1XB1X0SK0XXXXXX_CRUCHK_PH1PH2_STATPG,6
G1364192P2424322_012020_PH03DG_FTXXX_UX1XB1X0SQ4XXXXXX_IQSSU_PH1_STATPG,193
G1364673P2504968_012020_PH03DG_FTXXX_UX1XB1X0SC4XXXXXX_TC_PH1_NDET_5_STATPG,1135
G1364675P2504998_012020_PH03DG_FTXXX_UX1XB1X0SC4XXXXXX_TC_PH1_NDET_6_STATPG,1978
G1364679P2385122_012020_PH03DG_FTXXX_UX1XB1X0SC4XXXXXX_TC_PH1_STATPG,45
G1365512P2517198_012020_PH03DG_FTXXX_UX1XB1X0SC4XXXXXX_TC_PH1_STATPG_BRIDGE,8
