PATTERN,COUNT
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,3
D1510444P2430824_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_URDR_UWDR_CONFLICTS_JMP,1
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,9
D1510470P2477278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FG_MSIMMD_FMASK_ESP_EIP_UOP1,18
D1510492P2401446_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EMON_ACCESS,4
D1510495P2429514_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_SAMELINE_FC_MT_784878519,1
D1510499P2494328_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_00_MT0,1
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,9
D1510535P2244588_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_1,14
D1510555P2488528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CBP_YTD,2
D1510578P2467274_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,17
D1510610P2434106_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_0_08,1
D1510660P2400680_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_PART_LOCK_STPCLK,6
D1510670P2452520_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CREG_SCP2_PLA_EXERCISE1,30
D1510672P2434836_014444_PH07DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339927,2
D1510695P2430414_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
D1510716P2445100_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,11
D1510735P2471578_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_1CALLRET_00FF_LOGIC,1
D1510752P2398954_014444_PH07DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_0340140,2
D1510754P2251758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MAXSD_F20F5F_REAL_OPCOV,2
D1510813P2428694_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FSB_CREG_POC,1
D1510817P2242798_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_T3_0037_TC,1
D1510832P2431054_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
