PATTERN,COUNT
G1321487P2452300_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_BIT_FLIP_VX_DBL_ORP_000,42
G1346865P2339116_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_INT_MON2_EFLAG_T1_FRITS_ORPHAN_5,39
G1347194P2338926_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_0,4
G1347250P2240328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IF_BYP_TOGGLE_SBFT,72
G1347254P2470296_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMMWTREE42D_PMUL_RANDOM_1,1
G1347307P2505678_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,1
G1347323P2389148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MIXED5_SBFT,1
G1347349P2388828_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_RND_R2I_EXTENDED_SBFT,2
G1347382P2389118_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_OPS_GEN_SBFT,1
G1347412P2372660_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,4
G1347423P2473168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FM_VX_ARITH_SCALAR_SINGLE_DAZ_SBFT,1
G1347509P2235758_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_CHUNKHIT,1
G1347515P2468694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST2,23
G1347678P2485968_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_002,2
G1347714P2231838_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_INT4_SBFT,2
G1347731P2442798_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MUL_IMUL_YT_ORP_001,112
G1347814P2344566_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1347815P2442808_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MUL_IMUL_YT_ORP_002,59
G1347853P2232708_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_S2_FRITS_ORPHAN,140
G1347868P2241258_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RATPERF_SHARKY007,2
G1347880P2230638_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPUMMX_PAGING_ORP_000,8
G1347952P2388848_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_EFLAG_T1_FRITS_ORPHAN_0,1
G1348000P2496698_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_IPLENDEC3A_ORP_008,41
G1348119P2480368_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_FRITS_T1_IQSSU_MEM_PDST_DEPCY_ORP_001,1
G1348140P2338866_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_INT_MON2_T1_FRITS_ORPHAN_5,1
G1348198P2480248_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_FRITS_T1_IQSSU_FILLFIFO_LIMITALLSCHLR,2
G1348213P2233048_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MIXED3_SBFT,6
G1348235P2330212_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WNI_PRELOAD_LM3_ORP_000,5
G1348251P2389328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_BASIC_BOOTSTRAP_S01_O112,18
G1348285P2229978_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_001,3
G1348351P2233628_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_DIRECTED_SUBD_VD_SBFT,1
G1348364P2345622_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1348464P2468704_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST1,1
G1348469P2232888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_FRITS_NEW_EXP_S77,11
G1348484P2477868_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_5,1
G1348485P2230798_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WNI_PAGING_ORP_001,1
G1348498P2229998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_003,10
G1348635P2232638_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_FRITS_ALL_IMEM_T2S97,1
G1348663P2232868_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_FRITS_NEW_EXP_S59,2
G1348749P2231858_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_INT6_SBFT,102
G1348750P2222278_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_LDST_ORP_000,1
G1348766P2485948_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_001,34
G1348794P2330242_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_MMX_NOPRELOAD_LM0_ORP_000,2
G1348800P2338886_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_OPS_GEN_SBFT,1
G1348837P2310108_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MMX_NOPRELOAD_LM0_ORP_002,1
G1348852P2473448_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FM_VX_ARITH_PACKED_SINGLE_DAZ_SBFT,2
