PATTERN,COUNT
G1271695P2223208_012323_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,1
G1271846P2223198_011717_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT6_POC_IOQ1D,1
G1272257P2247078_011717_PH00DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_WRITE_RESV3,1
G1272524P2223158_012020_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT3_POC_IOQ1D,1
G1277103P2223208_011515_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,1
G1277103P2223208_011515_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,2
G1277112P2223208_011616_PH00DY_FTAXX_UX1XM1X0XXXMXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,3
G1277113P2251248_012424_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_APIC_MP_INIT_POC_1,1
G1277121P2223208_012424_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT8_POC_IOQ1D,1
G1277645P2251108_011717_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,3
G1277645P2251108_011717_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,1
G1277683P2251108_011919_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,2
G1277683P2251108_011919_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,1
G1308903P2222748_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WRONG_RESP,1
G1308909P2222598_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_CRIT_ORDER_READ6,2
G1308914P2223068_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_STALL_HITM3,1
G1308918P2223028_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT2,1
G1308918P2223028_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT2,1
G1308919P2222588_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_STREAM_EXEC_BUG,1
G1308922P2222778_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER2,1
G1308923P2222628_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_REQ_BNR_WS6,2
G1308928P2222608_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_SNOOP_HITM2,3
G1308930P2222898_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HITM,1
G1308932P2222868_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_CACHE_LOCK,1
G1308936P2222648_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,1
