PATTERN,COUNT
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,2
D1510432P2324078_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_FUNC_MCA,1
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,10
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,1
D1510578P2467274_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,2
D1510671P2254998_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_PROT_PF_CPL1_CPL2_CR0WP_PDESR,1
D1510676P2252708_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_STHITLD_BITS15_6,1
D1510684P2443048_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_SINGLE_FIXED,2
D1510732P2244118_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH1,3
D1510772P2246818_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM2_E_4,1
D1510786P2400980_014444_PH07DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_SMI4,1
D1510848P2246438_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM3_E_10,3
D1510856P2260428_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND1,3
D1510911P2243098_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_TRAVEL14,2
D1510969P2246278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM1_E_1,1
D1511028P2756302_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_017,3
D1511077P2434096_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_0_04,1
D1511182P2463434_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BUS_BAV_NO_APIC_INTR_RW_IRR0,1
D1511185P2430814_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1511264P2480878_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UPPER_MEM_LIP_MATCH,2
D1511311P2247218_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTC_0FBB_MODRM_00_P,2
D1511346P2756262_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_IPD_GENERIC,1
D1511450P2214978_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BF_M4_LDDQU_BP,1
D1511505P2397234_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR_DIFF_GROUPS,1
D1511518P2246648_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM3_E_8,1
D1511520P2242528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_ADD2,1
D1511578P2248278_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_XOR_80_MODRM_01_110_P,1
D1511589P2431264_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1511598P2431284_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
D1511623P2496638_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_31_MT1,2
D1511682P2756222_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_010,2
D1511752P2251918_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITLOW32,1
D1511764P2246198_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_NONLINEAR_NP_PF_PDE_A_ID_ASSI,1
D1511854P2495168_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_11_MT1,1
D1511861P2314778_014444_PH07DF_FTXXX_UX1XM1X2XXXHXXXXX_PM_DRX,4
