PATTERN,COUNT
D1445912P2483278_014444_PH03DF_FTXXX_US1XB1X2XXXHXXXXX_FC_RANDOM_MT_882975232,8
D1510411P2259848_014444_PH07DF_FTXXX_UX1XM1X0XXXHXXXXX_FP_FCMOVB_NB,1
D1510414P2411442_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_TBPU_CR_MISC_T1,1
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,14
D1510417P2326228_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_RSQRTPS,31
D1510429P2463334_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_MITE_CREG_PATCH3_13,1
D1510445P2258238_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_ISA_INT_OPCOV_40_7F_CS16_R,2
D1510452P2244668_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX1,2
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,43
D1510455P2255828_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_RRRR_CPRED_MPRED2_RRRR_STALL_MISP_MT,1
D1510461P2417298_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_BINIT_WRITE,2
D1510467P2448270_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_CRIT_CHNK_FWD_ORP_000,1
D1510471P2756272_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_MIN_PIPEBOMB_FP_SSE2,1
D1510473P2495148_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_11_MT1,3
D1510481P2452100_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_FG_MSIMMD_CS_HI,2
D1510489P2496608_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_31_MT0,1
D1510492P2401446_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EMON_ACCESS,53
D1510497P2252798_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_STHITST_BITS15_6,1
D1510499P2494328_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_00_MT0,1
D1510500P2245198_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_AU21103714,1
D1510517P2471198_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IS_PREFIX_REX_66_F3_F2,8
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,5
D1510531P2430064_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BUS1_PREFQTUNE3,1
D1510533P2495008_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_10_MT1,2
D1510534P2463524_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_0,2
D1510535P2244588_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_1,3
D1510537P2248348_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_ADC_LOCK_81_MODRM_10_010_P,2
D1510542P2495448_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_18_MT0,3
D1510549P2249778_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_DFP_WOX_MMX,1
D1510553P2247088_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_SBB_83_3_ISA_DS_P_02,2
D1510554P2260078_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FP_FST,1
D1510555P2488528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CBP_YTD,4
D1510557P2467214_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_DATAGM_8_15_1,4
D1510560P2261788_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_SHIFTS16,2
D1510563P2380500_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CREG_READ_WRITE_WRITE_SELFCHECK,3
D1510564P2448620_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITS_RNDPCKADDSUB_PACKED,2
D1510570P2246948_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_WNI8,1
D1510572P2255068_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FSINCOSPTAN,1
D1510573P2417308_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_INIT_LO,1
D1510574P2495618_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_20_MT1,2
D1510578P2467274_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,9
D1510590P2246938_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_RRRR_MPRED_REPLAY_FAST,1
D1510597P2430504_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,3
D1510600P2245138_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_MMREGMAP1,2
D1510603P2788532_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64,21
D1510605P2326338_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_SUB_2B_MODRM_10_P,2
