PATTERN,COUNT
D1445912P2483278_014444_PH03DF_FTXXX_US1XB1X2XXXHXXXXX_FC_RANDOM_MT_882975232,4
D1510415P2323998_014444_PH07DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,7
D1510417P2326228_014444_PH07DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_RSQRTPS,28
D1510433P2422622_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_FSB_CREG_SET2_T1,12
D1510452P2244668_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX1,2
D1510454P2245148_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_WCB,39
D1510462P2438996_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_GPTRAPT1,1
D1510471P2756272_014444_PH07DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_MIN_PIPEBOMB_FP_SSE2,4
D1510492P2401446_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EMON_ACCESS,26
D1510493P2448180_014444_PH07DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_UL1_REF_NEW_ORP_000,1
D1510517P2471198_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_IS_PREFIX_REX_66_F3_F2,4
D1510525P2249758_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_COMB_MMX_DFP_WOX,1
D1510531P2430064_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_BUS1_PREFQTUNE3,2
D1510533P2495008_014444_PH07DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_10_MT1,1
D1510534P2463524_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_0,1
D1510537P2248348_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_ADC_LOCK_81_MODRM_10_010_P,1
D1510555P2488528_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_CBP_YTD,17
D1510557P2467214_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_DATAGM_8_15_1,1
D1510564P2448620_014444_PH07DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITS_RNDPCKADDSUB_PACKED,1
D1510569P2260258_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND5,2
D1510573P2417308_014444_PH07DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_INIT_LO,7
D1510581P2260248_014444_PH07DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND4,1
