PATTERN,COUNT
G1273553P2475688_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_4_FIX0,1
G1275165P2475618_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_7_FIX0,2
G1321487P2452300_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_BIT_FLIP_VX_DBL_ORP_000,8
G1346675P2238738_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_ITULSBREQD0,1
G1346865P2339116_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_INT_MON2_EFLAG_T1_FRITS_ORPHAN_5,8
G1346874P2338676_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TCFBCNTRLSQUEUE,3
G1347182P2229968_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_000,3
G1347194P2338926_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_0,2
G1347209P2344536_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1
G1347217P2233808_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_FIMRC_ROT_SSDB_FRD_LDC_SBFT,1
G1347250P2240328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IF_BYP_TOGGLE_SBFT,34
G1347272P2468734_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST5,2
G1347273P2476118_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_CALLRETS1_6,1
G1347275P2485888_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_IMMED_MOV43,2
G1347302P2338986_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_10,2
G1347307P2505678_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,4
G1347321P2233068_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MIXED5_SBFT,1
G1347349P2388828_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_RND_R2I_EXTENDED_SBFT,1
G1347354P2470356_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMMWTREE42D_PMUL_RANDOM_7,1
G1347412P2372660_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,1
G1347515P2468694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST2,9
G1347516P2232968_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_WMT_BRAZOS3006635_EQU_SBFT,1
G1347559P2236348_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_MSEMONS_BASIC,2
G1347571P2505668_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,2
G1347678P2485968_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_002,1
G1347714P2231838_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_INT4_SBFT,3
G1347731P2442798_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MUL_IMUL_YT_ORP_001,36
G1347756P2375100_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_BYPASS_P2_TO_STA_PORT2_DPDAT,1
G1347771P2505708_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_003,1
G1347815P2442808_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MUL_IMUL_YT_ORP_002,61
