PATTERN,COUNT
G1346733P2449510_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_SB_BTBPRED_T1,1
G1347374P2234528_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FISSDBM_3_SBFT,1
G1347583P2446860_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_FG_BPBTPRED_PRTRGT_PRTGMATMUX,1
G1347756P2375100_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_BYPASS_P2_TO_STA_PORT2_DPDAT,1
G1347872P2220338_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_XMM_ORP_003,2
G1347880P2230638_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPUMMX_PAGING_ORP_000,1
G1348016P2385322_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_ISBRINSTMKS_1,1
G1348430P2457610_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBPU_TG,1
G1348750P2222278_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_LDST_ORP_000,1
G1348800P2338886_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_OPS_GEN_SBFT,1
G1348944P2232948_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_FRITS_NEW_EXP_S50,2
G1348949P2233878_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMREXPD_SIMPLE_SBFT,2
G1348980P2230688_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_PAGING_ORP_000,1
G1349131P2232788_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_FRITS_NEW_EXP_S11,26
G1349715P2364540_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FACTLS_CNTRL_SIGS_PS_SS,1
G1349793P2234408_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMRNDC_TEST1_SBFT,1
G1350111P2527208_014040_PH05DC_FBXXX_US1XB1X0XXXIXXXXX_FRITS_FPU,1
G1350117P2527188_014040_PH05DC_FBXXX_US1XB1X0XXXIXXXXX_FRITS_ALL,6
G1350121P2527248_014040_PH05DC_FBXXX_US1XB1X0XXXIXXXXX_FRITS_MMXWNI,1
G1350429P2528768_014040_PH05DC_FBXXX_US1XB1X1XXXIXXXXX_FRITS_CACHE_LINE_SPLIT,4
G1350534P2528778_014040_PH05DC_FBXXX_US1XB1X1XXXIXXXXX_FRITS_CRUCHK_LIVELOCK_XMM_DEFT_FORCEQ,2
G1350682P2345722_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPU_COMP_BOOTSTRAP_S07_O149,1
G1350749P2527198_014040_PH05DC_FBXXX_US1XB1X0XXXIXXXXX_FRITS_BRANCH,2
G1351149P2266598_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_PRELOAD_LM3_ORP_000,2
G1352042P2266398_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPU_NOPRELOAD_LM0_ORP_001,1
G1352375P2266168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_NOPRELOAD_LM0_UNALIGNED_ORP_000,2
G1353504P2266568_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_PRELOAD_LM0_UNALIGNED_ORP_000,3
G1355212P2266638_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MMX_PRELOAD_LM0_ORP_003,1
G1356720P2233888_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMDIVC1_SBFT,1
G1408758P2385672_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_1,1
G1495706P2773222_014040_PH05DQ_FBXXX_US1XM1X0XXXIXXXXX_SHORT_TEST_LOOPED_AND_PARAMETERIZED_D,1
