PATTERN,COUNT
G1273282P2475308_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_3_FIX1,3
G1273566P2475508_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_14_FIX0,2
G1273668P2475668_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_8_FIX0,1
G1274892P2475538_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_3_FIX0,1
G1275269P2474488_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_12_FIX0,1
G1275950P2468514_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_ORIG,2
G1276775P2475658_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_6_FIX0,2
G1276810P2468524_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_1_ORIG,1
G1276865P2466144_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0,5
G1277922P2475638_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_2_FIX0,1
G1277926P2466304_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_1,4
G1346695P2233998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,2
G1346721P2472858_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBITRDD_JMP_FAULT20,1
G1346733P2449510_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_SB_BTBPRED_T1,2
G1346741P2241608_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FA_RND_FP_ADD_SUB_EXT_ITL_ALG_64_RC_S,1
G1346774P2435216_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SB_BTBPRED_GLT0,3
G1346836P2234608_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FIRM_QWORD_SHIFT_5_SBFT,1
G1346847P2233188_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_FIXRC_ALLOPS_SBFT,1
G1346859P2232838_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IFALU_ADD0_SBFT,1
G1346934P2233178_014040_PH05DB_FBXXX_UX1XB1X1XXXIXXXXX_WMT_SBFT_EIP_SUBTRACTER,1
G1346942P2388888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_3,2
G1346946P2235998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_BPPMPERFS,2
G1346991P2416918_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IS_MASK_BIT_6_P213,2
G1346997P2457450_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_MODEC_SBFT_TEST_4,2
G1347035P2384290_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_REALMODE_CCB2,1
G1347037P2384490_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS4_6,1
G1347086P2385452_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_IQPUBDTHRDSLCT_KS,2
G1347102P2266148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CALLRET_NOPRELOAD_LM0_ORP_002,2
G1347136P2468654_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MOB_MT2_LDSTR_ORIG_1,1
G1347142P2338996_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_REGDEP_DAISY_T0_FRITS_ORPHAN_0,1
G1347174P2344506_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,3
G1347177P2233008_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IFALU_ADD12_SBFT,1
G1347179P2235668_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_SBFT_STAGING_OPCODE_2,1
G1347185P2473328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FM_VX_ARITH_PACKED_DOUBLE_DAZ_SBFT,2
G1347186P2452260_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TC_STALL_ULT1,1
G1347207P2242188_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_ITLRUINCLD2,1
G1347218P2446850_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_AGL0CNTLD_ST_16X128,2
G1347238P2476198_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CREVDETD_EVENTS_MULT_REAL_MT_FIX1,1
G1347248P2235248_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_SBFT_PDECCH3F_SBFT_PROT_PAGE_T0,2
G1347250P2240328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IF_BYP_TOGGLE_SBFT,1
G1347269P2234908_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FIRM_QWORD_SHIFT_21_SBFT,1
G1347295P2238168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE7,3
G1347298P2376630_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_LD_FSFBHIT_15_PORT2_DPDAT,2
G1347299P2240598_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FARNEARCALL,1
G1347307P2505678_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,2
G1347325P2239508_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TD_TB_PERF_PRED0GPU_PRED0BTL_T1,1
G1347334P2235178_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_ABC_FP_R2I_INT64RNDTOZERO_SBFT,1
G1347350P2437446_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TC_CR_MISC,1
G1347351P2229848_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRANCH_ORP_003,2
G1347371P2234728_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_FIRM_QWORD_SHIFT_11_SBFT,2
G1347379P2234318_014040_PH05DB_FBXXX_UX1XB1X0XXXIXXXXX_MOB_UPDOWNLDST6,3
G1347409P2372690_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_13_PORT2_DPDAT,2
G1347412P2372660_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,1
G1347416P2423012_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_PSC_4R_CRU_SLOW_FAST_D2_IAQDAT,6
G1347467P2345412_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,2
G1347490P2435056_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_T3_NWD_MSSEQS_EVNT_WC_VX,2
G1347510P2433706_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_HE_ALU_SEQUENCED_UOPS_ROL_MERGE_7_DPD,3
G1347515P2468694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST2,2
G1347516P2232968_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_WMT_BRAZOS3006635_EQU_SBFT,4
G1347583P2446860_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_FG_BPBTPRED_PRTRGT_PRTGMATMUX,1
G1347598P2239778_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_CREVDETD_UNWIND_MT,1
G1347655P2376690_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_LD_FSFBHIT_20_PORT2_DPDAT,1
G1347664P2233708_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_JCC_BLIP_NLIP_LOOP1_SBFT,2
G1347678P2485968_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_002,3
G1347705P2232878_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IFALU_ADD2_SBFT,1
G1347725P2230268_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPU_OVRFL_FMUL_ORP_000,3
G1347731P2442798_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MUL_IMUL_YT_ORP_001,1
G1347737P2235268_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_MTRR_PAT2_T1,3
G1347778P2388378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_FPDIV_EXT80_WALK0,1
G1347796P2234328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_EXPONENT_ADJD_4_SBFT,1
G1347805P2344990_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_EMONRRRRSHARKY_005_SBFT,2
G1347817P2388768_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PSLLD_PATTERNS_BYPASS_SBFT,2
G1347828P2386000_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_IAQDAT_INPUT_ST0_IAQDAT,8
G1347837P2338976_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_6,1
G1347857P2375010_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_BYPASS_P0_TO_STA_PORT2_DPDAT,1
