PATTERN,COUNT
G1278460P2473768_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_6_FIX0,1
G1346720P2385832_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_REALMODE_PRED_MT2,5
G1346721P2472858_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBITRDD_JMP_FAULT20,1
G1346914P2387010_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_REALMODE_LBR,1
G1347177P2233008_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IFALU_ADD12_SBFT,1
G1347295P2238168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE7,1
G1347350P2437446_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TC_CR_MISC,2
G1347351P2229848_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRANCH_ORP_003,1
G1347412P2372660_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,1
G1347515P2468694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST2,2
G1347516P2232968_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_WMT_BRAZOS3006635_EQU_SBFT,1
G1347680P2231658_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_KNI2_SBFT,1
G1347762P2235418_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRKPT2_SBFT,2
G1348006P2235788_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_SETCONFLICT_32SETS_4WAYS,1
G1348032P2345752_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRANCH_ORP_065,2
G1348038P2231228_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_NINT_CALLRET_ORP_002,1
G1348177P2473268_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TBITRDD_BPUSTEW_TRAP_1,1
G1348238P2239918_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IFALU_TRAVEL0_SBFT,1
G1348446P2388758_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PSLLD_PATTERNS_SBFT,1
G1348470P2233898_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMDIVC2_SBFT,1
G1348534P2384618_014040_PH05DM_FBXXX_UX1XB1X0XXXIXXXXX_PLA_ATPGPAT,1
G1348631P2515438_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_FLAG_MOV_PRT0_HI_RAND0_DPDAT,1
