PATTERN,COUNT
G1275165P2475618_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_THREAD_MAX_FP_MEM_7_FIX0,1
G1282536P2475528_014040_PH02DB_FBXXX_US1XM1X0XXXIXXXXX_IQSCHED_ALU0_4_FIX0,1
G1321431P2364730_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_FACTLS_EMON_VI,2
G1321487P2452300_014040_PH03DB_FBXXX_US1XB1X0XXXIXXXXX_BIT_FLIP_VX_DBL_ORP_000,1
G1346675P2238738_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_ITULSBREQD0,8
G1346697P2241378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,9
G1346720P2385832_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_REALMODE_PRED_MT2,13
G1346746P2238158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE6,2
G1346774P2435216_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SB_BTBPRED_GLT0,10
G1346861P2385162_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_REAL_PRED0PRED1,1
G1346865P2339116_014040_PH05DB_FBXXX_UX1PB1X1XXXIXXXXX_INT_MON2_EFLAG_T1_FRITS_ORPHAN_5,2
G1346902P2443558_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRNKCTLS_ALDTRD,8
G1346912P2241158_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TD_TB_NLIP_OLDLIPI_T1,4
G1346914P2387010_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_REALMODE_LBR,2
G1347002P2480578_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CREG_RAT_REST_ORP_003,2
G1347007P2238348_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXPLA3TEST00,1
G1347014P2238518_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IPD_P66P67_DEC6,1
G1347016P2388948_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_CREVDETD_TMPDR6_MT,1
G1347030P2235158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FSQRT_FPROM_SBFT,1
G1347034P2240758_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_VI_FP_MMX_INTER_1_SBFT,1
G1347074P2234108_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_FIGBPD_TOP_N_SBFT,1
G1347078P2233698_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_VI_FP_MMX_INTER_1_SBFT,1
G1347086P2385452_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_IQPUBDTHRDSLCT_KS,4
G1347093P2237408_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_CALL_RET_5,1
G1347101P2473658_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_CALL_RET00,1
G1347102P2266148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CALLRET_NOPRELOAD_LM0_ORP_002,2
G1347133P2238878_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINST2V2_2OF10,1
G1347147P2437476_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTPRED_EMON_GLOBAL_AW_SET2,1
G1347153P2418592_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IS_MASK_BIT_15_P234,1
G1347171P2473008_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DASPCFTR1S_AVTB_MCA_SBFT,15
G1347186P2452260_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TC_STALL_ULT1,1
G1347208P2237338_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_PERF_TBTB_LIMIT_T0,16
G1347214P2386510_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FAX_CR_RW,2
G1347233P2472368_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TBTACD_TARGET_ALLOC2,1
G1347261P2237548_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_CALL_RET_4,1
G1347272P2468734_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST5,1
