PATTERN,COUNT
G1346624P2236998_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_ITULSBREQD1,1
G1346626P2234558_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SVFLA1_T1,1
G1346631P2237258_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_PERF_RETBRB_RETBRCOND_T0,1
G1346695P2233998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,10
G1346697P2241378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,14
G1346705P2447760_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,2
G1346720P2385832_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_REALMODE_PRED_MT2,8
G1346746P2238158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE6,4
G1346795P2345030_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_REALMODE_TBITS3,1
G1346815P2234778_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_ULL0_FILL_CONFLICT_T0,1
G1346851P2437216_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_SAAT_PAGE_AD_ASSIST,1
G1346870P2385172_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_REALMODE_TBITS,2
G1346875P2235458_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_4,171
G1346902P2443558_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRNKCTLS_ALDTRD,1
G1346933P2234738_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DAC_MASSIVE_LOADS_T0,1
G1346936P2384480_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS4_5,1
G1346942P2388888_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_3,2
G1346966P2235608_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_FIXED_MTRR_MISS_WP_6,1
G1347009P2385242_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_ESCR0,1
G1347012P2233108_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MIXED7_SBFT,1
G1347014P2238518_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IPD_P66P67_DEC6,3
G1347037P2384490_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS4_6,1
G1347044P2241088_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_014_E_FLIP,1
G1347054P2237488_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_CALL_RET_3,2
G1347056P2232258_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MMX4_SBFT,1
G1347059P2238468_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IPD_P66P67_DEC3,1
G1347077P2237218_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TD_TB_PERF_PRED0GPU_PRED0BTL_T0,1
