PATTERN,COUNT
G1346675P2238738_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WMT_SBFT_ITULSBREQD0,1
G1346695P2233998_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,15
G1346697P2241378_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,4
G1346700P2447750_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,1
G1346705P2447760_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,2
G1346720P2385832_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_REALMODE_PRED_MT2,1
G1346875P2235458_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_4,1
G1346897P2449570_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,1
G1346902P2443558_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRNKCTLS_ALDTRD,7
G1346940P2467694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_SEGMISS,1
G1346968P2449620_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,2
G1347007P2238348_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXPLA3TEST00,1
G1347038P2384440_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS3_3_SHORT,1
G1347071P2468574_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_BPPUBDMT_ORIG,1
G1347086P2385452_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_IQPUBDTHRDSLCT_KS,2
G1347102P2266148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CALLRET_NOPRELOAD_LM0_ORP_002,3
G1347142P2338996_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_REGDEP_DAISY_T0_FRITS_ORPHAN_0,6
G1347179P2235668_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_SBFT_STAGING_OPCODE_2,1
G1347182P2229968_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_000,2
G1347186P2452260_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TC_STALL_ULT1,4
G1347194P2338926_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_0,5
G1347198P2443448_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_ALFFPREADSTALL_ST_3UOP_PATCH,1
G1347205P2477848_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_3,1
G1347218P2446850_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_AGL0CNTLD_ST_16X128,3
G1347254P2470296_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMMWTREE42D_PMUL_RANDOM_1,1
G1347275P2485888_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PIX_FRITS_IMMED_MOV43,1
G1347277P2432094_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_EXECCREGTEST,8
G1347278P2240638_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTPRED_TARGET_SET,5
G1347295P2238168_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_RANDOMINSTBYTE7,1
G1347307P2505678_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,1
G1347320P2446840_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_AGCNTLD_STORE_LOAD_FRZ,1
G1347321P2233068_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_MIXED5_SBFT,1
G1347325P2239508_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_TD_TB_PERF_PRED0GPU_PRED0BTL_T1,21
G1347334P2235178_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_ABC_FP_R2I_INT64RNDTOZERO_SBFT,1
G1347337P2384450_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WRAPPERS4_2,1
G1347349P2388828_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_RND_R2I_EXTENDED_SBFT,66
G1347363P2256778_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_EMON_SBFT,1
G1347370P2388328_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_REGDEP_DAISY_T0_FRITS_ORPHAN_1,2
G1347382P2389118_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FEC_OPS_GEN_SBFT,1
G1347398P2234098_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_DIV_TEST_SBFT,15
G1347406P2345272_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PSLLD_PATTERNS_BYPASS_SBFT,58
G1347409P2372690_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_13_PORT2_DPDAT,1
G1347412P2372660_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,93
G1347451P2345422_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_IXBABRANCH,12
G1347515P2468694_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_TEST2,2
G1347516P2232968_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_WMT_BRAZOS3006635_EQU_SBFT,5
G1347571P2505668_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,1
G1347572P2236448_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_TC_SCAVENGE,1
G1347575P2339006_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_FMRNDC_MANTISSA_LOGIC_VARIOUS,2
G1347655P2376690_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_LD_FSFBHIT_20_PORT2_DPDAT,4
G1347656P2449560_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FIRM_EMON_SBFT,1
G1347678P2485968_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_002,1
G1347681P2237328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_CALL_RET_6,1
G1347713P2231708_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_KNI7_SBFT,1
G1347726P2234388_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FA_FAP2D_1_SBFT,2
G1347733P2231148_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_NINT_BRANCH_INSTRLOOP_ORP_001,1
G1347737P2235268_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_MTRR_PAT2_T1,1
G1347744P2344156_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1347762P2235418_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRKPT2_SBFT,1
G1347767P2339036_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_REGDEP_DAISY_T0_FRITS_ORPHAN_2,2
G1347795P2233828_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMM_MIXED_SBFT,1
G1347817P2388768_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PSLLD_PATTERNS_BYPASS_SBFT,1
G1347828P2386000_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_IAQDAT_INPUT_ST0_IAQDAT,11
G1347837P2338976_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_6,3
G1347853P2232708_014040_PH05DB_FBXXX_US1PB1X0XXXIXXXXX_INT_S2_FRITS_ORPHAN,1
G1347872P2220338_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_XMM_ORP_003,1
G1347880P2230638_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPUMMX_PAGING_ORP_000,2
G1347884P2240158_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FMXD_ARITH6_SBFT,1
G1347898P2374650_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_ALU_WALK_CARRY_P0_6_PORT2_DPDAT,1
G1347956P2374370_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_ALIGN6C_PORT2_DPDAT,1
G1348009P2235398_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T0,1
G1348010P2515428_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_FLAG_MOV_PRT0_LO_RAND0_DPDAT,2
G1348013P2473138_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_AGL0_FIGBPD_SBFT,1
G1348032P2345752_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BRANCH_ORP_065,1
G1348036P2485988_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_003,2
G1348038P2231228_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_NINT_CALLRET_ORP_002,1
G1348052P2344166_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,12
G1348072P2485958_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_001,1
G1348091P2220258_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WNI_ORP_000,1
G1348150P2330202_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_PAGE_SPLIT_ORP_004,9
G1348212P2423132_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_PSC_4R_CRU_SLOW_MEM_D2_IAQDAT,2
G1348235P2330212_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_WNI_PRELOAD_LM3_ORP_000,2
G1348241P2344096_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1
G1348251P2389328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_BASIC_BOOTSTRAP_S01_O112,48
G1348285P2229978_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_INT_ORP_001,8
G1348307P2374630_014040_PH05DQ_FBXXX_US1XB1X0XXXIXXXXX_ALU_WALK_CARRY_P0_5_PORT2_DPDAT,4
G1348332P2229928_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_FPUMMX_ORP_001,2
G1348340P2236848_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_PCOUNT_INSERTFLOW,4
G1348357P2505608_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_DEFT_FORCEQ_ORP_0,1
G1348409P2238328_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_IXPLA3TEST0,1
G1348414P2266608_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MMX_PRELOAD_LM0_ORP_000,5
G1348428P2230068_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_WNI_ORP_000,4
G1348432P2487088_014040_PH05DB_FBXXX_US1XB1X1XXXIXXXXX_FRITS_T1_IQSSU_PWROVR_RANDOM_ORP_001,1
G1348434P2235468_014040_PH05DB_FBXXX_US1XB1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_5,1
G1348443P2233298_014040_PH05DB_FBXXX_US1XB1X2XXXIXXXXX_CREVDETD_EVENTS_REALMODE_MT,4
