PATTERN,COUNT
G1271399P2223138_011414_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT1_POC_IOQ1D,1
G1272257P2247078_011717_PH00DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_WRITE_RESV3,2
G1272257P2247078_011717_PH00DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_WRITE_RESV3,1
G1277126P2223128_011717_PH00DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_POC_ARB_DEFER1_1D,1
G1277645P2251108_011717_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,1
G1277683P2251108_011919_PH00DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_SMI_INIT,2
G1308913P2222988_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_RETRY_FEW_READ_TRANS,1
G1308923P2222628_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_REQ_BNR_WS6,1
G1308926P2222718_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_WMT_INVALID2,1
G1308932P2222868_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_CACHE_LOCK,1
G1308932P2222868_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_CACHE_LOCK,1
G1308933P2222998_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_RETRY_FEW_SPLIT_READ_TRANS,1
G1308936P2222648_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,1
G1308948P2222678_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_WR,1
G1308956P2222648_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,1
G1308959P2222798_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_LCK_RMW_X1,1
G1308961P2222568_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_JNZ_BUG,6
G1308966P2223018_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_DEFERED_SPLIT_READ_TRANS,1
G1308970P2223048_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT6,1
G1308977P2222658_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_IMPLICIT_WB5,1
G1308982P2246408_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_LCK_PART_COMB_4,1
G1308986P2222738_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_UC_DRD2,1
G1308987P2222568_011616_PH03DY_FTAXX_UX1XB1X0XXXMXXXXX_JNZ_BUG,2
G1308988P2223108_011414_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_XUNIT_36_BIT_ADDRESS,1
G1308991P2222578_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_CHECK_REG,1
G1308993P2223048_011616_PH03DY_FTAXX_UX1XB1X0XXXMXXXXX_BAV_SNOOP_HIT6,1
G1308994P2222668_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_PARTIAL_WRITE,1
G1309005P2246528_011414_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_BRANCH_TRACE_MESSAGE,1
G1309007P2222748_011515_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_WRONG_RESP,1
G1309022P2222718_011717_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_WMT_INVALID2,1
G1309023P2222798_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_LCK_RMW_X1,1
G1309038P2222618_011818_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_INVD_S,1
G1309039P2223088_011818_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1309045P2222738_011717_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SPLIT_UC_DRD2,1
G1309047P2222698_011616_PH03DY_FTBXX_UX1XB1X0XXXMXXXXX_BAV_WMT_WS_UC,1
G1309053P2222768_011717_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER,1
G1309059P2222778_011717_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER2,1
G1309063P2222608_011717_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_SNOOP_HITM2,1
G1309073P2222898_011717_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HITM,2
G1309076P2246448_011515_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_IO_READ_PIPE_5,1
G1309079P2222908_011717_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HITM_DEFER,1
G1309080P2223018_011818_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_DEFERED_SPLIT_READ_TRANS,1
G1309081P2222878_011818_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_CACHE_LOCK,1
G1309086P2223068_011717_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_STALL_HITM3,1
G1309100P2222958_011818_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SSNOOP_BUG,1
G1309111P2222918_011919_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_SNOOPED_HITM,1
G1309112P2223028_011919_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT2,1
G1309115P2222808_011616_PH03DY_FTAXX_UX1XB1X0XXXMXXXXX_BAV_PARTIAL1,1
G1309126P2223038_011919_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_DEFERED_SPLIT_READ_TRANS1,1
G1309127P2222818_011818_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT,2
G1309130P2223048_011818_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_SNOOP_HIT6,1
G1309132P2222568_012020_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_JNZ_BUG,7
G1309134P2222788_011919_PH03DY_FTBXX_UX1XB1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER3,1
G1309137P2222648_012020_PH03DY_FTAXX_UX1XB1X0XXXFXXXXX_BAV_PART_RD_BE3,2
