PATTERN,COUNT,TESTNAME
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,2,BF_014444_MINMIN_733200_1037
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,2,BF_014444_MINMIN_773400_0925
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,2,BF_014444_MINMIN_823600_0815
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,2,BF_014444_MINMIN_642800_1039
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,2,BF_014444_MINMIN_683000_0927
G1677264P2498638_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_SATAGARYM_THREAD_VALID_CLEAR_2,1,BF_014444_MINMIN_642800_1039
G1677354P2502688_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_25_MT1,1,BF_014444_MINMIN_642800_1039
G1678284P2808851_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,2,BF_014444_MINMIN_642800_1039
G1678284P2808851_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,2,BF_014444_MINMIN_683000_0927
G1678284P2808851_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,2,BF_014444_MINMIN_733200_0815
G1679540P2500058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BOGBR_9A_1,1,BF_014444_MINMIN_642800_1039
G1680203P2478708_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL0_RHINE_RAND_011,1,BF_014444_MINMIN_642800_1039
G1680270P2801757_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_642800_1039
G1681339P2430384_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1,BF_014444_MINMIN_642800_1039
G1681339P2430384_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1,BF_014444_MINMIN_683000_0927
G1681778P2429974_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1,BF_014444_MINMIN_642800_1039
G1681778P2429974_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1,BF_014444_MINMIN_683000_0927
G1682203P2756262_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_IPD_GENERIC,1,BF_014444_MINMIN_642800_1039
G1682203P2756262_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_IPD_GENERIC,1,BF_014444_MINMIN_683000_0927
G1682663P2447250_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_FUNC_DATAERR,1,BF_014444_MINMIN_642800_1039
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_642800_1039
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_683000_0927
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_733200_0815
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_733200_1037
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_773400_0925
