PATTERN,COUN,TESTNAME
G1403377P2231968_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_UL1_ADRM503L_SBFT,1,SBFT_SIGON_1800_NOM
G1403388P2232148_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_SAAT_SAUOPDECS_TEST_SBFT_T1,1,SBFT_SIGON_1800_NOM
G1403388P2232148_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_SAAT_SAUOPDECS_TEST_SBFT_T1,3,SBFT_SIGON_2000_NOM
G1403427P2232168_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSBUSTOGGLE_SBFT,2,SBFT_SIGON_1000_NOM_FF
G1403427P2232168_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSBUSTOGGLE_SBFT,2,SBFT_SIGON_1500_NOM
G1403427P2232168_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSBUSTOGGLE_SBFT,1,SBFT_SIGON_2000_NOM
G1403438P2232278_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_MMX5_SBFT,1,SBFT_SIGON_1800_NOM
G1403445P2236678_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_ITREQCTRLS,2,SBFT_SIGON_1800_NOM
G1403448P2233708_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_JCC_BLIP_NLIP_LOOP1_SBFT,1,SBFT_SIGON_1500_NOM
G1403468P2235388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T1,18,SBFT_SIGON_1800_NOM
G1403468P2235388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T1,457,SBFT_SIGON_2000_NOM
G1403470P2241418_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FEC_EMON_SBFT,1,SBFT_SIGON_2000_NOM
G1403481P2240428_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MULTI_SBFT,1,SBFT_SIGON_2000_NOM
G1403490P2236528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSPUBD_BUS_SEL,3,SBFT_SIGON_1500_NOM
G1403490P2236528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSPUBD_BUS_SEL,3,SBFT_SIGON_1800_NOM
G1403510P2437066_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPU_BPSBC_DT_THRSW_CONTROL_REGISTERS,1,SBFT_SIGON_1000_NOM_FF
G1403510P2437066_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPU_BPSBC_DT_THRSW_CONTROL_REGISTERS,1,SBFT_SIGON_1500_NOM
G1403510P2437066_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPU_BPSBC_DT_THRSW_CONTROL_REGISTERS,1,SBFT_SIGON_1800_NOM
G1403510P2437066_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPU_BPSBC_DT_THRSW_CONTROL_REGISTERS,1,SBFT_SIGON_2000_NOM
G1403525P2240188_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IFALU_TRAVEL8_SBFT,1,SBFT_SIGON_1800_NOM
G1403530P2232778_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FAX_ARITH6_SBFT,1,SBFT_SIGON_1500_NOM
G1403547P2239228_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RANDOMINST_5OF10,1,SBFT_SIGON_1800_NOM
G1403577P2344930_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CR_LOOKUP_PMH_FAULT,1,SBFT_SIGON_2000_NOM
G1403678P2241438_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FEC_EMON_SBFT,1,SBFT_SIGON_2000_NOM
G1403688P2237018_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_014_F,1,SBFT_SIGON_1800_NOM
G1403688P2237018_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_014_F,1,SBFT_SIGON_2000_NOM
G1403704P2240548_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_6,2,SBFT_SIGON_2000_NOM
G1403707P2339026_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LONGINST,1,SBFT_SIGON_1800_NOM
G1403739P2240908_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_014_5_FLIP,1,SBFT_SIGON_2000_NOM
G1403796P2237558_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_PERF_WRITEUTG_WRITED_T0,1,SBFT_SIGON_2000_NOM
G1403806P2241068_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_014_D_FLIP,1,SBFT_SIGON_2000_NOM
G1403810P2232368_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SISBFT_FPREG,2,SBFT_SIGON_1000_NOM_FF
G1403810P2232368_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SISBFT_FPREG,2,SBFT_SIGON_1500_NOM
G1403810P2232368_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SISBFT_FPREG,2,SBFT_SIGON_1800_NOM
G1403810P2232368_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SISBFT_FPREG,2,SBFT_SIGON_2000_NOM
G1403857P2231908_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DAC_CHIT_NO_RBHIT_SBFT,2,SBFT_SIGON_2000_NOM
G1403917P2231648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI1_SBFT,4,SBFT_SIGON_1000_NOM_FF
G1403917P2231648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI1_SBFT,5,SBFT_SIGON_1500_NOM
G1403917P2231648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI1_SBFT,2,SBFT_SIGON_1800_NOM
G1403917P2231648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI1_SBFT,5,SBFT_SIGON_2000_NOM
G1403941P2242188_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_ITLRUINCLD2,1,SBFT_SIGON_1500_NOM
G1403950P2345612_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1,SBFT_SIGON_2000_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1000_NOM_FF
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1500_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1800_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_2000_NOM
G1403965P2234098_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DIV_TEST_SBFT,1,SBFT_SIGON_2000_NOM
G1403966P2338936_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_1,1,SBFT_SIGON_2000_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,12,SBFT_SIGON_1000_NOM_FF
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,15,SBFT_SIGON_1500_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,15,SBFT_SIGON_1800_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,11,SBFT_SIGON_2000_NOM
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1000_NOM_FF
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1500_NOM
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1800_NOM
