PATTERN,COUN,TESTNAME
D1499417P2347552_012020_PK04DG_FTXXX_UX1XM1X0SF4XXXXXX_IEF_PH1_STATPG,2,SCANATPG_0120_NOM_1000
D1499417P2347552_012020_PK04DG_FTXXX_UX1XM1X0SF4XXXXXX_IEF_PH1_STATPG,2,SCANATPG_0120_NOM_1200
D1499417P2347552_012020_PK04DG_FTXXX_UX1XM1X0SF4XXXXXX_IEF_PH1_STATPG,2,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499418P2347562_012020_PK04DG_FTXXX_UX1XM1X0SF2XXXXXX_IEF_PH2_STATPG,2,SCANATPG_0120_NOM_1000
D1499418P2347562_012020_PK04DG_FTXXX_UX1XM1X0SF2XXXXXX_IEF_PH2_STATPG,2,SCANATPG_0120_NOM_1200
D1499418P2347562_012020_PK04DG_FTXXX_UX1XM1X0SF2XXXXXX_IEF_PH2_STATPG,2,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499420P2349112_012020_PK04DG_FTXXX_UX1XM1X0SI4XXXXXX_IEX_PH1_STATPG,7,SCANATPG_0120_NOM_1000
D1499420P2349112_012020_PK04DG_FTXXX_UX1XM1X0SI4XXXXXX_IEX_PH1_STATPG,9,SCANATPG_0120_NOM_1200
D1499420P2349112_012020_PK04DG_FTXXX_UX1XM1X0SI4XXXXXX_IEX_PH1_STATPG,7,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499421P2347592_012020_PK04DG_FTXXX_UX1XM1X0SK2XXXXXX_CRUCHK_PH2_STATPG,8,SCANATPG_0120_NOM_1200
D1499422P2385122_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_STATPG,18,SCANATPG_0120_NOM_1000
D1499422P2385122_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_STATPG,19,SCANATPG_0120_NOM_1200
D1499422P2385122_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_STATPG,18,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499423P2347542_012020_PK04DG_FTXXX_UX1XM1X0SU4XXXXXX_DPU_PH1_STATPG,18,SCANATPG_0120_NOM_1000
D1499423P2347542_012020_PK04DG_FTXXX_UX1XM1X0SU4XXXXXX_DPU_PH1_STATPG,17,SCANATPG_0120_NOM_1200
D1499423P2347542_012020_PK04DG_FTXXX_UX1XM1X0SU4XXXXXX_DPU_PH1_STATPG,18,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499424P2363730_012020_PK04DG_FTXXX_UX1XM1X0SB4XXXXXX_BPI_PH1_STATPG,17,SCANATPG_0120_NOM_1000
D1499424P2363730_012020_PK04DG_FTXXX_UX1XM1X0SB4XXXXXX_BPI_PH1_STATPG,18,SCANATPG_0120_NOM_1200
