PATTERN,COUNT
G1648388P2467254_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_DATAGM_24_31_1,2
G1648624P2481168_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_ITLB_FAULT_LIP,1
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,1
G1649827P2252528_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITMOREBIT33,1
G1650157P2222638_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_WMT_PW_CHECK_ALL_BE,1
G1650265P2255088_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SHRD_0FAD_AFLAGS_MEM_OSIZE16_P,1
G1650433P2251288_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_NO_APIC_INTA,1
G1650773P2503098_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_35_MT1,1
G1653164P2449070_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_GEN_EXT_ORP_000,1
G1653351P2513198_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TC_FLUSH_ALL_WAYS_MT_1,1
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,1
G1671193P2244608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_8,1
G1671521P2256198_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEB4K_MIXED_AVL,1
G1671578P2254058_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEGWRAP_PM_CODE16_CALL,1
G1671692P2259028_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_FP_INT_LDST,1
G1671719P2471528_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_1CALLRET_FFFF_LOGIC,1
G1672353P2433886_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPBTPRGLMRGBS_LOGIC_TAKEN,1
G1672551P2260378_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_RM_CMPS,1
G1673029P2252338_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_APIC_PRI10_FIXED,1
G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,1
G1673418P2329458_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_IRRHIPRI,1
G1673979P2411302_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TBPU_CR_LBR,1
G1674248P2509358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_FLUSH_ALL_WAYS_SETS128_159,1
G1674294P2497288_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOGBR_2_0,1
G1674361P2430454_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1674488P2244348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_SET_EVICT64_T0,1
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,1
G1674913P2326508_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_VAR_MTRR_TEST,1
G1674921P2260358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_PM_MOVS,2
G1675195P2248948_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_LFS_0FB4_MODRM_01_R,1
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,1
G1675387P2477288_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_FG_MSIMMD_STAR_CS_SS_UOP1,1
G1675468P2324608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_000,1
G1675631P2244698_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FIXED_MTRR_MISS_UC_3,2
G1675724P2503238_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_38_MT0,1
G1675993P2571022_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2_8,1
G1676030P2404540_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_EXTINT_HI,1
G1676057P2448280_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_EMON_UL1_REF_NEW_ORP_000,1
G1676148P2253888_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CLD_STD_FC_FD_ISA_FN_P_01,1
G1676164P2434986_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_BSQSNOOPHIT,1
G1676366P2502398_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_18_MT0,1
G1676380P2463234_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_MITE_CREG_PATCH3_03,1
G1676527P2466114_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1,1
G1676530P2338346_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__PAGETABLE_UC_ORP_000,1
G1676626P2255688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_TYPE_VIOLATION__STACK_SWITCH_RET_,1
G1676712P2470076_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_STEW_TEST,1
G1676907P2324668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__B4M_AD_EMON_ORP_003,1
G1677177P2449080_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_GEN_EXT_ORP_001,1
G1677291P2326038_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_WPTAG_14,1
G1677295P2474208_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MITE_MT_CALL_RET_SMC,2
G1677528P2501218_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_ALL_WAYS,1
G1677590P2418682_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_FIX_LVL_LO,1
G1677796P2465314_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BTB_LOFFM_DEALLOCATION_LOGIC_1,4
G1678115P2494888_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_08_MT0,1
G1678405P2324278_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FUNC_CACHE_MISC,1
G1678487P2430644_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1678567P2501378_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_SATAGARYM_THREAD_VALID_CLEAR_3,1
G1678780P2244548_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_LOAD_L0,1
G1678916P2324738_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__ACE_4M_PW_PWUW_EVENTS_ORP_,1
G1678945P2479838_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOB_EMON_BASIC_07,1
G1678956P2509368_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TC_FLUSH_ALL_WAYS_SETS128_159,1
G1679063P2479998_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_SAAT_EMON_BASIC_03,1
G1679184P2437746_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TMR_CLEAR_G1,1
G1679216P2808868_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1679230P2247508_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOUND_62_MODRM_10_R,1
G1679239P2261578_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DXXDUM,1
G1679314P2801770_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_DOUBLEBITECC_PBIST_DATA,1
G1679542P2448750_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_UNDFL_FMUL_ORP_0,1
G1679552P2446260_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MMDBG_ONE,1
G1679704P2259848_014444_PL01DF_FTXXX_UX1XM1X0XXXHXXXXX_FP_FCMOVB_NB,1
G1679745P2253138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TBT_NON_BRANCH,1
G1679886P2261038_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_KXXXZU_I,2
G1679899P2325168_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__FRITS_B4M_PWE_DATASIZE_ORP,1
G1679997P2429564_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MEMORY_EXECUTION_480980566,1
G1680021P2500138_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BOGBR_9A_5,1
G1680044P2494748_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_05_MT1,1
G1680065P2471738_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BTB_1CALLRET_AAAA_LOGIC,1
G1680131P2252898_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_PDECCH_TOGGLE_ATR,1
G1680134P2496858_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_36_MT0,2
G1680203P2478708_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL0_RHINE_RAND_011,1
G1680270P2801757_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,1
G1680291P2246288_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MMREGMAP0,1
G1680393P2262888_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PROT_LOC_SDPL_SZ16_REWR_NOFLT,1
G1680562P2801780_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_DOUBLEBITECC_PBIST_CODE,2
G1680910P2252368_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_APIC_PRI11_FIXED,1
G1681015P2246678_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ISA_INT_OPCOV_81_83_CS16_R,1
G1681068P2246668_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_READ_RSP_STPCLK,1
G1681071P2243388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ENTER_C8_PROT_OPCOV_SHORT,1
G1681098P2802228_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_EACHBIT_PBIST_DATA,1
G1681138P2430284_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1681294P2447510_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_CRRPLQCTRD_ISIDE_CTL2,1
G1681412P2434876_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339935,1
G1681458P2571072_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_9,1
G1681632P2243848_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MC_STATUS,1
G1681718P2324958_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_EMON_ENABLE_E12_ORP_000,1
G1681766P2502578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_22_MT0,1
G1681872P2258878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_RAND_FP_INT_BR,1
G1681897P2501518_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_05_MT1,1
G1682021P2496508_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_28_MT0,1
G1682066P2422442_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SNPQ_DEFEATURE_ENTRIES2,1
G1682130P2253108_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_NESTED_LOOPS_MT,1
G1682142P2463524_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_0,1
