LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
T522A398,7721,4GWREVL,PSCDTNEL0MCA5BC,341,327,56,132,149,123,,
T522A493,7721,4GAREVL,PSCDTNEL0MCA5BC,325,312,179,74,51,32,,
T522A782,7721,4GWREVL,PSCDTNEL0MCA5BC,1258,1188,318,524,568,450,8,5
T522A791,7721,4GWREVL,PSCDTNEL0MCA5BC,1260,1195,33,38,17,17,,
T522A843,7721,4GWREVL,PSCDTNEL0MCA5BC,1260,1206,375,475,470,401,,5
T522A889,7721,4GAREVL,PSCDTNEL0MCA5BC,1255,1209,561,458,321,130,9,5
T522A922,7721,4GAREVL,PSCDTNEL0MCA5BC,1680,1628,825,461,403,184,15,5
T522A933,7721,4GAREVL,PSCDTNEL0MCA5BC,1260,1215,500,556,268,137,12,
T522A943,7721,4GAREVL,PSCDTNEL0MCA5BC,1680,1636,701,583,453,299,4,
T522A956,7721,4GAREVL,PSCDTNEL0MCA5BC,1676,1629,730,679,441,219,4,5
T523A354,7721,4GARFVL,PSCDTNEL0MCA5BC,699,578,,,40,1845,618,149
T524A16K,7721,8PARDVL,PSCDTJML0MCA5BE,240,239,129,43,4,9,,
T524A17K,7721,8PARDVL,PSCDTJML0MCA5BE,156,153,86,39,21,,,
T524A19K,7721,8PAREVL,PSCDTJML0MCA55BG,51,48,,41,42,49,,
T524A20K,7721,8PAREVL,PSCDTJML0MCA55BG,41,37,,10,38,53,17,
T524A21K,7721,8PARDVL,PSCDTJML0MCA55BG,59,55,44,8,4,,,
T524A706,7721,8PARFVL,PSCDTJML0MCA5BD,214,188,,,,171,427,363
T525A03K,7721,8PARDVL,PSCDTJML0MCA5BD,617,609,308,98,10,9,10,
T525A06K,7721,8PAREVL,PSCDTJML0MCA5BE,182,180,6,40,181,301,,
T525A08K,7721,8PAREVL,PSCDTJML0MCA55BG,55,52,,29,54,32,,
T525A128,7721,8PARFVL,PSCDTJML0MCA5BD,340,310,,,2,632,586,350
T525A155,7721,8PARDVL,PSCDTJML0MCA5BD,1534,1493,778,232,73,9,,5
T525A177,7721,8PARDVL,PSCDTJML0MCA5BD,1151,1122,581,166,55,12,,
T525A180,7721,8PARDVL,PSCDTJML0MCA5BD,777,755,397,103,20,3,4,
T525A195,7721,8PAREVL,PSCDTJML0MCA5BD,1204,1123,59,397,769,1318,112,5
T525A228,7721,8PARFVL,PSCDTJML0MCA5BD,1098,953,,,,2183,1903,784
T525A251,7721,8PARDVL,PSCDTJML0MCA5BD,1211,1177,567,204,63,9,,
T525A259,7721,8PAREVL,PSCDTJML0MCA5BD,1199,1147,20,415,975,1296,27,
T525A261,7721,8PARDVL,PSCDTJML0MCA5BD,1085,1067,553,151,12,,,
T525A262,7721,8PARDVL,PSCDTJML0MCA5BD,642,614,383,58,29,12,4,
T525A401,7721,8PARDVL,PSCDTJML0MCA5BD,1176,1147,488,365,98,12,,5
T525A435,7721,8PAREVL,PSCDTJML0MCA5BD,1202,1177,74,762,1057,609,8,5
T525A450,7721,8PAREVL,PSCDTJML0MCA55BF,1235,1194,45,580,1093,1318,28,5
T525A450,7721,8PAREVL,PSCDTJML0MCA5BD,1235,1194,85,473,916,1090,30,
T525A451,7721,8PAREVL,PSCDTJML0MCA5BD,1067,1034,37,337,896,1079,23,5
T525A453,7721,8PARDVL,PSCDTJML0MCA55BF,1052,1030,525,277,16,3,,
T525A453,7721,8PARDVL,PSCDTJML0MCA5BD,1052,1030,519,249,24,3,,
T525A454,7721,8PARDVL,PSCDTJML0MCA5BD,1036,1004,484,231,68,25,,
T525A455,7721,8PARDVL,PSCDTJML0MCA5BD,1058,1025,533,212,74,12,4,
T526A294,7721,8PARFVL,PSCDTJML0MCA55BF,839,785,,,,1582,1700,1096
T526A294,7721,8PARFVL,PSCDTJML0MCA5BD,839,785,,,,1195,1551,952
T526A361,7721,8PARFVL,PSCDTJML0MCA55BF,420,395,,,,752,918,587
T526A361,7721,8PARFVL,PSCDTJML0MCA5BD,420,395,,,,589,854,551
T530A586,7721,8PAREVL,PSCDTJML0MCA55B1,1258,1234,109,816,879,961,90,20
T530A679,7721,8PARFVL,PSCDTJML0MCA55B1,1257,1194,,,,3296,2544,828
T530A680,7721,8PARDVL,PSCDTJML0MCA55B1,1223,1207,419,681,222,9,,
