PATTERN,COUNT
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,41
G1652945P2244318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_FAX_ARITH4,1
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,2
G1673078P2502628_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_23_MT1,1
G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,2
G1673955P2398064_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_AGL0_CMV_4_0339610,1
G1674043P2245618_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SETHIT_BIT2,1
G1674420P2247448_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTC_LOCK_0FBB_MODRM_10_P,1
G1674768P2254768_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEB4M_NONLINEAR_A_ASSIST_SPLIT,1
G1675818P2324598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_SNOOP_EVICTIONS_ORP_001,4
G1676030P2404540_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_EXTINT_HI,1
G1676222P2808871_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1676357P2487038_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_00_MT,1
G1676448P2808864_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,4
G1677412P2430484_014444_PL01DW_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1677705P2449030_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MODPAGD_UC_USWC_FIX4K_C0000_1,1
G1678001P2448720_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_OVRFL_FADD_ORP_0,1
G1678245P2418642_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_SMI_ACKNOWLEDGE,1
G1678746P2255418_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MASKMOVQ_SPECIAL_01,1
G1679301P2430494_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,6
G1679407P2479388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL1_RHINE_RAND_015,1
G1679745P2253138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TBT_NON_BRANCH,1
G1679762P2430004_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1679857P2440746_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UPPER_MEM_CALL_RET,2
G1680203P2478708_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL0_RHINE_RAND_011,1
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,1
G1680747P2468064_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_000,1
G1681316P2259308_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FC_STPCLK_NOP_T0,5
G1681645P2490538_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_ST_STRB_BITS0,1
G1681766P2502578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_22_MT0,1
G1681962P2396084_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_4,1
G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825,2
G1682230P2242828_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_TRAVEL1,1
G1682443P2449350_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_STEW_BPBTBIM_EVENENTRIES_COUNTERS,2
G1682557P2429884_014444_PL01DW_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,4
G1682682P2246318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSTP,1
G1682714P2400660_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_LOCKED_PARTIAL_STPCLK,1
G1682723P2244138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH3,1
G1682839P2474898_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGE_TLB_FLUSHING,1
G1682960P2244398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_WAY_EVICT,1
G1683215P2434666_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_CR_LIP_MATCH,1
G1683303P2437046_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT4A,2
G1683307P2801754_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,3
G1683367P2430164_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1683451P2259428_014444_PL01DF_FTXXX_US1PM1X0XXXHXXXXX_JCC_BLIP_NLIP_LOOP1,6
