PATTERN,COUNT
G1403357P2234448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_FAP2D_3_SBFT,1
G1403363P2236408_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_TCTAGD_PRECEV2,1
G1403392P2241618_014040_PK03DB_LBXXX_UX1XM1X0XXXIXXXXX_FA_RND_FP_ADD_SUB_EXT_ITL_ALG_67_TZ_S,1
G1403410P2237618_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_WMT_SBFT_CALL_RET_DISABLE,1
G1403451P2238208_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_ISPLATEST2,1
G1403459P2237178_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_PERF_FLUSH0_FLUSH1_T0,8
G1403474P2231868_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_INT7_SBFT,1
G1403490P2236528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSPUBD_BUS_SEL,6
G1403506P2231698_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI6_SBFT,1
G1403544P2234318_014040_PK03DB_LBXXX_UX1XM1X0XXXIXXXXX_MOB_UPDOWNLDST6,1
G1403565P2472388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSFDBM_SSDB_128,1
G1403579P2231818_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_INT2_SBFT,1
G1403586P2241548_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FEC_EMON_SBFT,1
G1403638P2237998_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_ITULSBREQD0,2
G1403700P2344546_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1403727P2235958_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_SAAT_SADPD_STOREADD_SBFT_T1,1
G1403802P2339126_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_REGDEP_DAISY_T0_FRITS_ORPHAN_1,1
G1403857P2231908_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DAC_CHIT_NO_RBHIT_SBFT,3
G1403861P2236808_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IPDBRKPNT2,1
G1403867P2385322_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_ISBRINSTMKS_1,1
G1403875P2338926_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_0,1
G1403917P2231648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI1_SBFT,1
G1403921P2242178_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_ITLRUINCLD1,1
G1403930P2345302_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_ISMATCHN_PATTERN_MASK_0,1
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,1
