PATTERN,COUNT
D1499417P2347552_012020_PK04DG_FTXXX_UX1XM1X0SF4XXXXXX_IEF_PH1_STATPG,13
D1499418P2347562_012020_PK04DG_FTXXX_UX1XM1X0SF2XXXXXX_IEF_PH2_STATPG,3
D1499420P2349112_012020_PK04DG_FTXXX_UX1XM1X0SI4XXXXXX_IEX_PH1_STATPG,115
D1499421P2347592_012020_PK04DG_FTXXX_UX1XM1X0SK2XXXXXX_CRUCHK_PH2_STATPG,14
D1499422P2385122_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_STATPG,83
D1499423P2347542_012020_PK04DG_FTXXX_UX1XM1X0SU4XXXXXX_DPU_PH1_STATPG,198
D1499424P2363730_012020_PK04DG_FTXXX_UX1XM1X0SB4XXXXXX_BPI_PH1_STATPG,124
D1499425P2363740_012020_PK04DG_FTXXX_UX1XM1X0SB2XXXXXX_BPI_PH2_STATPG,1
D1499427P2365730_012020_PK04DG_FTXXX_UX1XM1X0SM4XXXXXX_FARM_PH1_STATPG,149
D1499429P2365740_012020_PK04DG_FTXXX_UX1XM1X0SM2XXXXXX_FARM_PH2_STATPG,7
D1499431P2363572_012020_PK04DG_FTXXX_UX1XM1X0SD2XXXXXX_FMXD_PH2_STATPG,2
D1499432P2349142_012020_PK04DG_FTXXX_UX1XM1X0SI2XXXXXX_IEX_PH2_STATPG,5
D1499434P2363552_012020_PK04DG_FTXXX_UX1XM1X0SS2XXXXXX_MS_PH2_STATPG,10
D1499435P2363472_012020_PK04DG_FTXXX_UX1XM1X0SS4XXXXXX_MS_PH1_STATPG,135
D1499438P2363562_012020_PK04DG_FTXXX_UX1XM1X0SD4XXXXXX_FMXD_PH1_STATPG,18
D1499441P2347612_012020_PK04DG_FTXXX_UX1XM1X0SO4XXXXXX_MOS_PH1_ISO_STATPG,149
D1499445P2347622_012020_PK04DG_FTXXX_UX1XM1X0SO2XXXXXX_MOS_PH2_ISO_STATPG,7
