PATTERN,COUNT
G1649008P2245758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HIT32,11
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,45
G1650195P2245388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_LDHITLD_BITS15_6,4
G1650556P2245308_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_RSRV_BIT_MODEC_16_21,1
G1650828P2498198_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_LDRB_BITS25_28,2
G1652604P2395498_014040_PL01DT_FTXXX_UX1XM1X0XXXXXXXXX_TAP_IDCODE_TMS,106
G1652945P2244318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_FAX_ARITH4,1
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,1
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,46
G1671970P2260398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ALF_EMON,1
G1672220P2255508_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_PRIVILEGE__STACK_SWITCH_RET__0000,8
G1672334P2442918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ISMATCHN_PATTERN_MASK_4_5,8
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,113
G1672619P2570892_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2,2
G1672737P2324948_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_EMON_ENABLE_E6_ORP_000,1
G1672831P2434256_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_SPLIT_0_,8
G1673050P2449210_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSB_EMON_IOQ_ADDRMATCH_ALL,8
G1673317P2253858_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_DESC_FETCH_LIMIT_LDT,6
G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,13
G1673418P2329458_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_IRRHIPRI,16
G1673454P2404040_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_BUS_PHY_FIXED,4
G1673918P2422102_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_GLOBAL_CT,1
G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,53
G1674009P2497078_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOGBR_1,4
G1674547P2244688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX2,1
G1674578P2448070_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_TBTACD_MATCH_TAG,4
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,1
G1674742P2260078_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FP_FST,2
G1674749P2396164_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_3,1
G1674885P2466374_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_LTAGM_BIM_CONDTAKEN_LOGIC,6
G1674921P2260358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_PM_MOVS,12
G1675051P2246128_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT17,1
G1675058P2399940_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_RAND_BSU_CYCLES,1
G1675119P2448830_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_RND_EXCEP_ORP_00,2
G1675121P2397234_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR_DIFF_GROUPS,1
G1675165P2480868_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UPPER_MEM_LIP_MATCH,2
G1675390P2430244_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1675456P2756232_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_CVT_GENERIC,1
G1675466P2211598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BP_8BYTE_LE,4
G1675468P2324608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_000,1
G1675469P2259128_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_RRRR_DYN_DEALLOC_NUKE_MT,4
G1675475P2399980_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_BINIT_EOI,282
G1675613P2756312_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_020,2
G1675665P2465244_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_ROFFM_DEALLOCATION_LOGIC_1,6
G1675818P2324598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_SNOOP_EVICTIONS_ORP_001,5
G1675864P2429944_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,8
G1675887P2452070_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_LTAGLOFF_STEW_BPBTBIM_ODDENTRIES_COUN,5
G1675976P2433966_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_MS_FG_SYSENTER,2
G1676030P2404540_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_LOC_EXTINT_HI,2
G1676072P2465294_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BTB_LOFFM_DEALLOCATION_LOGIC,15
G1676103P2324238_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BSQ_SPLITS,1
G1676112P2247598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_CR_DUMP,3
G1676222P2808871_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,10
G1676240P2430154_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1676273P2463454_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BUS_BAV_NO_APIC_INTR_RW_IRR6,6
G1676283P2214978_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BF_M4_LDDQU_BP,86
G1676302P2244588_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_1,2
G1676305P2326608_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_T3THR_DEBUGREG,11
G1676357P2487038_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_00_MT,6
G1676389P2249338_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMOVE_Z_0F44_MEM_AFLAGS_P,4
G1676536P2314818_014444_PL01DF_FTXXX_UX1XM1X2XXXHXXXXX_PM_SEGREG_WR_CS_SS,164
G1676595P2446920_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_CREVMUXD_BTM,8
G1676894P2808852_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1676945P2217578_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAT_SPLIT_L2M,1
G1676946P2445110_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_RAND_STORE_DATA_1,8
G1677162P2244868_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_HIT_LD3_FT_T0,3
G1677177P2449080_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_GEN_EXT_ORP_001,5
G1677215P2422612_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSB_CREG_SET2_T0,21
G1677240P2801755_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,16
G1677248P2430054_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
