PATTERN,COUNT
G1649008P2245758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HIT32,15
G1650556P2245308_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_RSRV_BIT_MODEC_16_21,2
G1650558P2411352_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TBPU_CR_LBR_T1,3
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,4
G1671885P2416788_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXERCISE_UPPER_MEM,18
G1671970P2260398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ALF_EMON,2
G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,3
G1673532P2259318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_T0_ZT_T0,12
G1673918P2422102_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_GLOBAL_CT,3
G1673921P2244418_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_BIGRM_MT_T0,13
G1673955P2398064_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_AGL0_CMV_4_0339610,1
G1673979P2411302_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TBPU_CR_LBR,12
G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,8161
G1674043P2245618_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SETHIT_BIT2,1
G1674488P2244348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_SET_EVICT64_T0,1
G1674580P2255828_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_RRRR_CPRED_MPRED2_RRRR_STALL_MISP_MT,1
G1674742P2260078_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FP_FST,5
G1675051P2246128_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT17,1
G1675058P2399940_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_RAND_BSU_CYCLES,12
G1675165P2480868_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UPPER_MEM_LIP_MATCH,12
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,15
G1675468P2324608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_000,2
G1675785P2474678_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FIRM_UNALIGNED_LOAD_LDDQU,128
G1675887P2452070_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_LTAGLOFF_STEW_BPBTBIM_ODDENTRIES_COUN,3
