LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M515A56K,7721,4GLADVL,PSCDTJML0MCA5BC,1502,1491,130,,2502,103,8,
M516A67K,7721,8PUADVL,PSCDTJML0MCA5BD,710,699,,,1369,483,48,
M516A68K,7721,8PUAEVL,PSCDTJML0MCA5BD,51,48,,,,39,121,51
M520A96K,7721,8PTABVL,PSCDTJML0MCA5BD,92,92,10,104,,24,4,
M520B179,7721,4GLADVL,PSCDTJML0MCA5BA,1186,1060,94,,1799,146,4,
M520B180,7721,4GLADVL,PSCDTJML0MCA5BA,1211,1094,86,,1821,92,4,
M520B182,7721,4GLADVL,PSCDTJML0MCA5BA,1214,1051,60,,1722,125,15,
M520B183,7721,4GLADVL,PSCDTJML0MCA5BA,1180,1054,126,,1682,80,8,5
M520B184,7721,4GLADVL,PSCDTJML0MCA5BA,1166,1034,61,,1914,76,8,
M520B185,7721,4GLADVL,PSCDTJML0MCA5BA,1187,1063,40,,1945,94,23,
M520B202,7721,4GLADVL,PSCDTJML0MCA5BA,1205,1087,60,,1721,80,4,
M520B203,7721,4GLADVL,PSCDTJML0MCA5BA,1187,1080,141,,1577,57,18,
M520B204,7721,4GLADVL,PSCDTJML0MCA5BA,1177,1070,91,,1604,108,43,
M520B205,7721,4GLADVL,PSCDTJML0MCA5BA,1100,1001,116,,1514,55,19,
M520B218,7721,4GLADVL,PSCDTJML0MCA5BA,1080,994,120,,1475,62,12,
M520B219,7721,4GLADVL,PSCDTJML0MCA5BA,1200,1094,105,,1664,51,8,
M520B220,7721,4GLABVL,PSCDTJML0MCA5BA,586,555,284,,191,56,4,
M520B221,7721,4GLABVL,PSCDTJML0MCA5BA,1205,1090,440,,546,148,4,
M520B644,7721,4GAREVL,PSCDTJML0MCA5BA,1260,1202,533,341,117,66,4,10
M520B645,7721,4GAREVL,PSCDTJML0MCA5BA,1218,1182,487,213,107,55,,
M520B645,7721,4GAREVL,PSCDTJML0MCA5BC,1218,1182,14,28,17,6,,
M520B646,7721,4GAREVL,PSCDTJML0MCA5BA,1256,1215,357,232,139,88,,
M520B646,7721,4GAREVL,PSCDTJML0MCA5BC,1256,1215,16,47,32,3,,
M520B647,7721,4GAREVL,PSCDTJML0MCA5BA,1260,1207,402,259,175,66,,
M520B648,7721,4GAREVL,PSCDTJML0MCA5BA,1260,1222,456,186,154,53,,5
M520B648,7721,4GAREVL,PSCDTJML0MCA5BC,1260,1222,15,38,25,6,,
M520B649,7721,4GAREVL,PSCDTJML0MCA5BB,1259,1210,257,169,93,60,4,
M520B649,7721,4GAREVL,PSCDTJML0MCA5BC,1259,1210,108,81,40,24,,
M520B650,7721,4GAREVL,PSCDTJML0MCA5BA,1259,1219,349,311,207,79,8,
M520B651,7721,4GAREVL,PSCDTJML0MCA5BC,66,57,1,10,10,3,,
M520B652,7721,4GARFVL,PSCDTJML0MCA5BA,507,416,,1,44,1052,297,128
M520B652,7721,4GARFVL,PSCDTJML0MCA5BC,507,416,,,12,253,111,22
M520C625,7721,4GLADVL,PSCDTJML0MCA5BA,886,871,,,99,2,,
M520C625,7721,4GLADVL,PSCDTJML0MCA5BB,886,871,,,202,3,,5
M520C627,7721,4GLADVL,PSCDTJML0MCA5BA,1190,1111,251,,1335,74,,5
M520C628,7721,4GLADVL,PSCDTJML0MCA5BA,1182,1080,208,,1284,86,12,
M520C629,7721,4GLADVL,PSCDTJML0MCA5BA,1192,1110,219,,1283,103,12,
M520C630,7721,4GLADVL,PSCDTJML0MCA5BA,1168,1067,224,,1261,32,,5
M520C631,7721,4GLADVL,PSCDTJML0MCA5BA,1188,1076,182,,1329,55,4,
M520C632,7721,4GLADVL,PSCDTJML0MCA5BA,1193,1109,290,,1175,42,8,10
M520C633,7721,4GLADVL,PSCDTJML0MCA5BA,668,646,50,,1117,46,4,5
M520C633,7721,4GLADVL,PSCDTJML0MCA5BB,668,646,,,88,,,
M520C634,7721,4GLADVL,PSCDTJML0MCA5BA,752,740,12,,907,9,4,
M520C634,7721,4GLADVL,PSCDTJML0MCA5BB,752,740,6,,478,12,,
M520E205,7721,4GLADVL,PSCDTJML0MCA5BA,100,88,5,,159,6,,
M521C013,7721,4GLAEVL,PSCDTJML0MCA5BC,499,445,,,358,704,422,51
M521C015,7721,4GLABVL,PSCDTJML0MCA5BC,885,855,467,,104,9,4,
M521C016,7721,4GLAEVL,PSCDTJML0MCA5BC,1256,1175,,,972,1505,1364,240
M521C017,7721,4GLADVL,PSCDTJML0MCA5BC,1147,1113,18,,2283,93,12,5
