PATTERN,COUNT
G1403368P2232578_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_ARITH1_SBFT,1
G1403390P2233388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IF_ALU_TOGGLE1_SBFT,6
G1403405P2233268_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DIVSS_MARCHINGBS_SBFT,1
G1403409P2233258_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DIVSS_MARCHING9S_SBFT,1
G1403490P2236528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSPUBD_BUS_SEL,1
G1403500P2231688_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI5_SBFT,632
G1403506P2231698_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI6_SBFT,1
G1403533P2238528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,26
G1403545P2234628_014040_PK03DB_LBXXX_UX1XM1X0XXXIXXXXX_FIRM_QWORD_SHIFT_6_SBFT,1
G1403564P2234528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FISSDBM_3_SBFT,1
G1403596P2231678_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI4_SBFT,1
G1403673P2389188_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RRRRSHARKY_005_SBFT,1
G1403741P2233568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_DIRECTED_NORMD_VD_SBFT,157
G1403760P2230138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_ORP_002,81
G1403780P2388738_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_EFLAG_T0_FRITS_ORPHAN_6,2
G1403807P2230088_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_ORP_002,492
G1403867P2385322_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_ISBRINSTMKS_1,17
G1403942P2229968_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_ORP_000,2
G1403977P2230048_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_ORP_003,6
G1403989P2235138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FDIV_FPROM_SBFT,1
G1403995P2339216_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DENOMINATOR_ESCR1_FIRST4_ORP_000,1
G1404022P2345602_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_ISBRINSTMKS_1,20
G1404027P2345202_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1404077P2238798_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,39
G1404083P2234108_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FIRM_FIGBPD_TOP_N_SBFT,1
G1404087P2477878_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_6,12
G1404088P2230968_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BYPASS2_ORP_003,34
G1404149P2231828_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_INT3_SBFT,1
G1404156P2236698_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_BPPMPERFSESCR,42
G1404173P2238818_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,38
G1404175P2338986_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_10,20
G1404194P2477898_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_8,1
G1404202P2221758_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_PAGING_ORP_002,242
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,5925
G1404254P2344720_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1404272P2472768_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSFDBM_SSDB,227
G1404277P2241678_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FP_ROM_SBFT,22
G1404331P2240368_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_MULSD_SBFT,1
G1404339P2231008_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CACHE_LINE_SPLIT_ORP_002,23
G1404422P2238508_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,26
G1404427P2485938_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_000,111
G1404433P2237598_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_015,1
G1404438P2233648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_GEN8WMT_J_SBFT,1
G1404453P2338896_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_EFLAG_T0_FRITS_ORPHAN_3,14
G1404476P2338906_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_EFLAG_T0_FRITS_ORPHAN_6,21
G1404491P2240088_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI9_SBFT,32
G1404497P2230668_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FPUMMX_PAGING_ORP_003,17
G1404502P2238548_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,15
G1404524P2475488_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_EVENTS_REALMODE_MT_FIX0,1
G1404526P2388928_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RRRRSHARKY_005_SBFT_2,2
G1404534P2339206_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_NUMERATOR_ESCR2_LAST5_ORP_000,3
G1404555P2240628_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RRRRSHARKY_007_SBFT,124
G1404567P2446860_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_FG_BPBTPRED_PRTRGT_PRTGMATMUX,1
G1404582P2222298_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_002,1
G1404590P2231748_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_WNI3_SBFT,2
G1404591P2505578_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_DEFT_FORCEQ_ORP_0,48
G1404634P2468714_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TEST0,80
G1404643P2238778_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,24
G1404651P2235158_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FSQRT_FPROM_SBFT,1
G1404681P2389268_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_ALL_MON2_T1_EFLAG_FRITS_ORPHAN_1,8183
G1404691P2505668_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,7
G1404709P2239878_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PERFSHARKY007,20
G1404728P2388778_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_BASIC_BOOTSTRAP_S01_O013,1
G1404763P2241268_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_RRRRSHARKY_007_SBFT,88
G1404768P2238838_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,31
G1404770P2485888_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_IMMED_MOV43,2691
G1404780P2240398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_JUMPS_SBFT,1
G1404826P2364730_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_EMON_VI,1
G1404869P2388688_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_EFLAG_T0_FRITS_ORPHAN_2,1
G1404880P2452290_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BIT_FLIP_VX_SGL_ORP_000,1
G1404888P2236338_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_BPPUBDUSEL,4
G1404908P2230728_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_PAGING_ORP_004,3
G1404915P2230878_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_PAGING_ORP_004,4
G1404941P2443098_014040_PK03DB_LBXXX_US1XM1X2XXXIXXXXX_IQCNTRD_MT_SCHEDULER_1,1
G1404978P2233598_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_RND_RENORM_ALL_UOPS_SBFT,130
G1405002P2489348_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_IMMED_ARTH_SEQ_04,1
G1405020P2388828_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_RND_R2I_EXTENDED_SBFT,21
G1405027P2344186_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1
G1405049P2485958_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_001,3
G1405054P2266608_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_PRELOAD_LM0_ORP_000,3
G1405074P2505678_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_001,3
G1405083P2485908_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_IMMED_OTHERS11,4
G1405107P2485948_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_POWER_DEFT_FPU_NOPRELOAD_LM0_ORP_001,2
G1405123P2230808_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_PAGING_ORP_002,2
G1405151P2505568_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_DEFT_FORCEQ_ORP_0,42
G1405156P2345422_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_IXBABRANCH,19
G1405164P2372660_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,122
G1405189P2230978_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BYPASS2_ORP_004,3
G1405197P2485868_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_IMMED_MOV07,6
G1405245P2389138_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_10,13
G1405248P2385342_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXLAT_BABRANCH_AGGRESS_IXBABRANCH,11
G1405249P2468724_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TEST6,1
G1405322P2266398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FPU_NOPRELOAD_LM0_ORP_001,1
G1405348P2493878_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_FRITS_T1_SSU_CRSBLKFIFO_NUKE_INTFPDEP,1
G1405353P2477868_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_5,1
G1405366P2230758_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_PAGING_ORP_002,137
G1405440P2389288_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_1,1
G1405473P2364710_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_EMON_RFRD,5
G1405494P2468614_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST4_ORP_000,1
G1405505P2338976_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_6,2
G1405508P2364680_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_EMON_MMX,1
G1405540P2222288_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_001,15
G1405566P2344830_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,4
G1405573P2266668_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_PRELOAD_LM2_ORP_000,12
G1405622P2345492_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_036,1
G1405663P2345262_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,2
G1405667P2343966_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1
