PATTERN,COUNT
G1403344P2233558_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_TCTAGD_PRECEV2,1
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,2
G1404019P2241138_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_TD_TB_EV_UBR_FIP_T1,1
G1404081P2473748_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALL_RET14,1
G1404147P2237858_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_FLPUBDUSEL_2,4
G1404310P2345752_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BRANCH_ORP_065,1
G1404446P2475748_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IQIQCREGS_DAT0_FIX0,1
G1404806P2345662_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_REALMODE_TBITS,2
G1404867P2384440_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WRAPPERS3_3_SHORT,1
G1404931P2376580_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_LD_FSFBHIT_10_PORT2_DPDAT,16
G1405164P2372660_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,3
G1405541P2502268_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_REPLAY_WHACK_SPLIT_STORE_ORP_002,1
G1405846P2449290_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST1_ORP_000,3
G1406214P2444770_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_FACTLS_EMON_AST_SAT,1
G1406398P2505718_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_003,1
G1407004P2266228_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_NOPRELOAD_LM3_ORP_000,1
G1410738P2310078_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_NOPRELOAD_LM1_ORP_000,1
G1411235P2527188_014040_PK03DC_LBXXX_US1XM1X0XXXIXXXXX_FRITS_ALL,2
G1413376P2310138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_NOPRELOAD_LM3_ORP_000,1
