PATTERN,COUNT
G1403353P2233698_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_VI_FP_MMX_INTER_1_SBFT,2
G1403381P2234498_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SVFLA2,8
G1403388P2232148_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_SAAT_SAUOPDECS_TEST_SBFT_T1,15
G1403397P2234138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MOB1,16
G1403419P2232608_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_ARITH4_SBFT,17
G1403425P2233998_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,1
G1403426P2232518_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FDIV_PI_MARCHING1S_SBFT,1
G1403427P2232168_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MSBUSTOGGLE_SBFT,1
G1403433P2233488_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SS_TESTS_EMPTYCOUNT,1
G1403435P2233508_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_TORNADO_BREAKER,1
G1403438P2232278_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_MMX5_SBFT,1
G1403459P2237178_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_PERF_FLUSH0_FLUSH1_T0,1
G1403468P2235388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T1,110
G1403469P2234058_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FMRCTLS_SBFT,1
G1403475P2345132_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_ISMATCHN_PATTERN_MASK_3,4
G1403530P2232778_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FAX_ARITH6_SBFT,5
G1403595P2256398_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_WMT_SBFT_MTRR_PAT_NEW_T1,3
G1403605P2229858_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BRANCH_ORP_004,1
G1403609P2236358_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SELROW,1
G1403648P2240378_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_MIXED_2_SBFT,9
