PATTERN,COUNT,TESTNAME
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,2,BF_014444_NOMNOM_452000_0545
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,2,BF_SIGEN1000_014444_NOMNOM_231000_0745
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,2,BF_SIGEN1000_VID_014444_NOMNOM_231000_0748
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,2,BF_SIGEN1500_014444_NOMNOM_341500_0645
G1677738P2396104_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_5,1,BF_014444_NOMNOM_452000_0521
G1677738P2396104_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_5,1,BF_SIGEN1000_014444_NOMNOM_231000_0745
G1677738P2396104_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_5,1,BF_SIGEN1000_VID_014444_NOMNOM_231000_0748
G1677738P2396104_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T0_5,1,BF_SIGEN1500_014444_NOMNOM_341500_0645
G1678775P2244818_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX9,1,BF_014444_NOMNOM_452000_0521
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,1,BF_014444_NOMNOM_452000_0521
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,1,BF_SIGEN1000_014444_NOMNOM_231000_0745
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,1,BF_SIGEN1000_VID_014444_NOMNOM_231000_0748
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,1,BF_SIGEN1500_014444_NOMNOM_341500_0645
G1680747P2468064_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_000,1,BF_014444_NOMNOM_452000_0521
G1684160P2478688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL2_RHINE_RAND_019,1,BF_014444_NOMNOM_452000_0531
G1685253P2299578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_VEGA_SHREMP_332506615,1,BF_014444_NOMNOM_452000_0531
G1685253P2299578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_VEGA_SHREMP_332506615,1,BF_SIGEN1000_014444_NOMNOM_231000_0743
G1685253P2299578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_VEGA_SHREMP_332506615,1,BF_SIGEN1000_VID_014444_NOMNOM_231000_0746
G1685253P2299578_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_VEGA_SHREMP_332506615,1,BF_SIGEN1500_014444_NOMNOM_341500_0643
G1693903P2430564_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1,BF_014444_NOMNOM_452000_0543
G1694590P2478668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_017,1,BF_014444_NOMNOM_452000_0533
G1694590P2478668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_017,1,BF_SIGEN1000_014444_NOMNOM_231000_0745
G1694590P2478668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_017,1,BF_SIGEN1000_VID_014444_NOMNOM_231000_0748
G1694590P2478668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL1_RHINE_RAND_017,1,BF_SIGEN1500_014444_NOMNOM_341500_0645
G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1,3,BF_014444_NOMNOM_452000_0529
