PATTERN,COUNT
G1641414P2254068_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXC_DB_TF_PROT,1
G1649008P2245758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HIT32,2
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,14
G1649972P2222578_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_CHECK_REG,1
G1649993P2222938_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_RETRY_READ_TRANS,1
G1650057P2222748_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_WRONG_RESP,1
G1650105P2222668_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_SPLIT_PARTIAL_WRITE,1
G1650195P2245388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_LDHITLD_BITS15_6,1
G1650265P2255088_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SHRD_0FAD_AFLAGS_MEM_OSIZE16_P,1
G1650433P2251288_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_NO_APIC_INTA,1
G1650533P2246368_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_PART_SPLIT_WT1,1
G1650556P2245308_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_RSRV_BIT_MODEC_16_21,1
G1650558P2411352_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TBPU_CR_LBR_T1,1
G1652604P2395498_014040_PL01DT_FTXXX_UX1XM1X0XXXXXXXXX_TAP_IDCODE_TMS,17
G1653043P2430424_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,3
G1653337P2479428_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL2_RHINE_RAND_019,2
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,13
G1671360P2325918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_USWC_MASSIVE_LD,1
G1671403P2243398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_T3_0590_MXCSR_CVTPS2PI,1
G1671422P2243878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_THR_A20M,10
G1671542P2433976_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MS_FG_SYSENTER,12
G1671668P2254988_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEC4K_PROT_CPL1_CPL2_PDESW_PTESR_SP,1
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,41
G1672707P2471458_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOGBR_JZJC_NLIPB_0,2
G1672727P2248768_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOVDQU_F30F6F_REAL_OPCOV,1
G1673052P2242848_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IFALU_TRAVEL2,1
G1673680P2431264_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1673893P2496738_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_34_MT0,1
G1673909P2256758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FP_OPCODE_PREFIX_PROT_MODE,7
G1673918P2422102_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_GLOBAL_CT,1
G1673955P2398064_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_AGL0_CMV_4_0339610,1
G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,1
G1674060P2247408_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ADC_10_MODRM_10_R,1
G1674062P2262738_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_LSLCHECK_GLOB_CPL2_DPL2_RPL2,1
G1674294P2497288_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOGBR_2_0,1
G1674298P2248168_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMPXCHG_LOCK_0FB0_MODRM_01_P,1
G1674458P2502518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_21_MT0,1
G1674578P2448070_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_TBTACD_MATCH_TAG,9
G1674665P2251698_014444_PL01DV_FTXXX_US1XM1X1XXXQXXXXX_BAV_APIC_PRI14_FIXED,1
G1674766P2260238_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND2,2
G1674885P2466374_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_LTAGM_BIM_CONDTAKEN_LOGIC,14
G1674921P2260358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_PM_MOVS,2
G1675006P2252588_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITMOREBIT35,1
G1675058P2399940_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_RAND_BSU_CYCLES,4
G1675087P2262858_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CALLGATECS_GLOB_CPL2_DPL2_RPL3,1
G1675119P2448830_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_RND_EXCEP_ORP_00,1
G1675121P2397234_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR_DIFF_GROUPS,11
G1675165P2480868_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UPPER_MEM_LIP_MATCH,1
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,17
G1675292P2255778_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_CALL_OVERFLOW_MT,8
G1675389P2495438_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_18_MT1,1
