PATTERN,COUNT
G1650564P2501408_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_02_MT1,1
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,1
G1671387P2211428_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_64BIT_SEQUENTIAL_FETCH_LIMIT__G0D,1
G1671763P2381300_014444_PL01DF_FTXXX_US1XM1X0XXXGXXXXX_CREG_SLEEP_WRITE_READ_SELFCHECK,1
G1672334P2442918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ISMATCHN_PATTERN_MASK_4_5,1
G1672737P2324948_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_EMON_ENABLE_E6_ORP_000,1
G1673315P2430364_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1673418P2329458_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_IRRHIPRI,27
G1673680P2431264_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1673723P2251918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITLOW32,1
G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,4630
G1674216P2248398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_XCHG_LOCK_86_MODRM_00_P,1
G1674518P2261488_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SC_FCOM_SSXZNR,1
G1674547P2244688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX2,1
G1674926P2253848_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MULTI_CNT_MT,1
G1675058P2399940_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_RAND_BSU_CYCLES,15
G1675087P2262858_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CALLGATECS_GLOB_CPL2_DPL2_RPL3,1
G1675232P2430754_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPI_YTADDRESS_LOGIC_T0,14
G1675392P2471728_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_BTB_1CALLRET_FFFF_LOGIC,1
G1675488P2438186_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPBTPRTGTAGBS_LTAG_LOGIC,2
G1675785P2474678_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FIRM_UNALIGNED_LOAD_LDDQU,97
G1675994P2502418_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_18_MT0,1
G1676154P2252738_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_STHITLD_BITS31_24,1
G1676186P2474928_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGE_TLB_FLUSHING,1
G1676214P2262808_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_LARCHECK_GLOB_CPL2_DPL2_RPL1,1
G1676283P2214978_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BF_M4_LDDQU_BP,1
G1676298P2499878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_SASEGARYM_FLASHCOPY_FDS_HIGHBITS_,1
