PATTERN,COUNT
G1403387P2239618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WRAPPERS_5OF6,1
G1403425P2233998_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FMRNDC_SBFT,1
G1403485P2338956_014040_PK03DB_LBXXX_UX1PM1X1XXXIXXXXX_INT_MON2_T1_FRITS_ORPHAN_0,1
G1403499P2240598_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FARNEARCALL,1
G1403511P2234288_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_EXPONENT_ADJD_2_SBFT,1
G1403554P2436806_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_REALMODE_TBITS2,1
G1403647P2345052_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_REALMODE_TBITS,1
G1403684P2240748_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_NLIP_ADDIPDBASE_0,1
G1403700P2344546_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1
G1403704P2240548_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_6,1
G1403708P2472218_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_MODEC_SBFT,1
G1403723P2237438_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_PERF_TCRBCALL_TCRBR_T0,2
G1403760P2230138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_ORP_002,1
G1403887P2476178_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_CREVDETD_EVENTS_REALMODE_MT_FIX2,1
G1403897P2231138_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_NINT_BRANCH_INSTRLOOP_ORP_000,1
G1403942P2229968_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_ORP_000,1
G1403994P2241448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FEC_EMON_SBFT,1
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,7
G1404304P2437136_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TC_EMON,1
G1404325P2345010_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IQPUBD_CCCR_READ_WRITE_SBFT,1
G1404360P2239388_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_MSPUBD_THRD_SI,1
G1404369P2417168_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IS_MASK_BIT_30_P213,1
G1404400P2237408_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_CALL_RET_5,1
G1404440P2345242_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_ISMATCHN_PATTERN_MASK_2,1
G1404468P2343976_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1
G1404478P2505648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CRUCHK_LIVELOCK_XMM_ORP_000,1
G1404495P2472968_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MOB_MODPAEXTDEC_5,1
