PATTERN,COUNT
G1414074P2222578_011818_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_CHECK_REG,1
G1414203P2222808_011818_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_PARTIAL1,1
G1414255P2222918_011919_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_SNOOPED_HITM,1
G1414269P2222978_012020_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_RETRY_SPLIT_READ_TRANS,1
G1414351P2222808_011919_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_PARTIAL1,1
G1414359P2222998_012121_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_RETRY_FEW_SPLIT_READ_TRANS,1
G1414400P2246748_012121_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_HLT_STPCLK_HIT,2
G1414406P2246828_011919_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,3
G1414445P2223058_012121_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_TEST_WRITE_TO_MLINE_IWB,1
G1414457P2246828_012020_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,3
G1414484P2222658_012323_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_IMPLICIT_WB5,1
G1414516P2222988_012323_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_RETRY_FEW_READ_TRANS,1
G1414604P2246828_012323_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,1
G1414669P2251288_012424_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_NO_APIC_INTA,1
G1414682P2246828_012424_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,1
G1414800P2222808_012424_PK03DY_LTAXX_UX1XM1X0XXXFXXXXX_BAV_PARTIAL1,1
G1429366P2251068_012121_PK03DY_LTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_EOI,2
G1429378P2246368_011919_PK03DY_LTBXX_UX1XM1X0XXXFXXXXX_BAV_PART_SPLIT_WT1,1
G1647573P2222608_011414_PL01DY_FTBXX_UX1XM1X0XXXFXXXXX_SNOOP_HITM2,1
G1647616P2222638_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_WMT_PW_CHECK_ALL_BE,1
G1647655P2223088_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_STORE_SPLIT_MTRR_1,1
G1647663P2223048_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT6,1
G1647747P2246708_011414_PL01DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_HIT_STPCLK,1
G1647854P2246828_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,8
G1647898P2223158_011515_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT3_POC_IOQ1D,1
G1647992P2222928_011616_PL01DY_FTBXX_UX1XM1X0XXXMXXXXX_BAV_SNOOPED_HITM_DEFER,1
G1647997P2222598_011616_PL01DY_FTAXX_UX1XM1X0XXXMXXXXX_CRIT_ORDER_READ6,1
G1648081P2246528_011515_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_BRANCH_TRACE_MESSAGE,5
G1648109P2222828_011616_PL01DY_FTBXX_UX1XM1X0XXXMXXXXX_BAV_PARTIAL_WRITE_1,1
G1648125P2246828_011616_PL01DY_FTAXX_UX1XM1X0XXXMXXXXX_BAV_HALT_STPCLK_INIT,5
G1648133P2222798_011616_PL01DY_FTAXX_UX1XM1X0XXXMXXXXX_BAV_LCK_RMW_X1,1
G1648137P2246668_011616_PL01DY_FTAXX_UX1XM1X0XXXMXXXXX_BAV_READ_RSP_STPCLK,1
G1648147P2222988_011717_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_RETRY_FEW_READ_TRANS,1
G1648154P2222618_011717_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_INVD_S,1
G1648306P2223048_011717_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_SNOOP_HIT6,1
G1648323P2223128_011717_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_POC_ARB_DEFER1_1D,2
G1648378P2246708_011717_PL01DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_HIT_STPCLK,1
G1648422P2246828_011717_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,1
G1648425P2222718_011717_PL01DY_FTBXX_UX1XM1X0XXXFXXXXX_BAV_WMT_INVALID2,1
G1648680P2246958_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_LOCK,17
G1648680P2246958_011717_PL01DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_LOCK,1
G1649477P2251158_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_TPR,9
G1649618P2251338_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_REG_3,5
G1649618P2251338_011717_PL01DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_REG_3,2
G1649680P2251068_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_EOI,54
G1649680P2251068_011717_PL01DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_EOI,3
G1711368P2246828_012222_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,2
