PATTERN,COUNT
G1649008P2245758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HIT32,1
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,7
G1650404P2246828_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_HALT_STPCLK_INIT,11
G1653337P2479428_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL2_RHINE_RAND_019,5
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,227
G1671473P2246578_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_STR_ODATA,1
G1671827P2212178_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CVTPS2PI_CVTSS2SI,3
G1672551P2260378_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_RM_CMPS,1
G1672619P2570892_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2,1
G1673044P2495608_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_20_MT0,1
G1674298P2248168_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMPXCHG_LOCK_0FB0_MODRM_01_P,1
G1674367P2501668_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_08_MT0,3
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,2
G1674766P2260238_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND2,1
G1674840P2501768_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_09_MT0,1
G1675305P2495228_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_13_MT0,1
G1675468P2324608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_000,2
G1675613P2756312_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_020,1
