PATTERN,COUNT
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,26
G1674367P2501668_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_08_MT0,1
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,8
G1674840P2501768_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_09_MT0,2
G1675793P2243498_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_ULL0FILL,1
G1675818P2324598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_SNOOP_EVICTIONS_ORP_001,2
G1675850P2243378_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_CHIT_NO_RBHIT,2
G1675979P2571112_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2_13,2
G1676894P2808852_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1677573P2434056_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_LDHIHALF,8
G1677726P2434076_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_STHIHALF,12
G1677993P2449470_014444_PL01DF_FTXXX_US1XM1X1XXXHXXXXX_YT3_PREFQ_T1,4
G1678034P2430584_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1678728P2434036_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_1,2
G1678818P2478678_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL2_RHINE_RAND_018,1
G1678900P2479358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL0_RHINE_RAND_012,1
G1678926P2431194_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,4
G1679590P2430524_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,16
G1679668P2247848_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ADC_11_MODRM_01_R,1
G1679795P2452670_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_YT7_PREFQ_T0,1
G1680311P2247438_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_APIC_PRI1_FIXED,20
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,11
G1681031P2436926_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_TPRUPDATE,1
G1681138P2430284_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,3
G1681339P2430384_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1681412P2434876_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339935,5
G1681458P2571072_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_9,1
G1681461P2434046_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_LDHIHALF,5
G1681480P2452700_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_SYSCALL_MT_812389931,1
G1681500P2445150_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_RAND_STORE_DATA_5,1
G1681571P2808874_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,41
G1681621P2254108_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXC_PRIO_CALL,2
G1682019P2808855_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,7
G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825,1503
G1682218P2260728_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_SMC1,4
G1682631P2440766_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TD_PROT_MODE_BRANCH_FAULT_976117272,4
G1682891P2430904_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,7
G1682907P2756302_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_PDE0_017,211
G1682919P2494938_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_09_MT1,2
G1682991P2496668_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_32_MT0,1
G1683005P2255938_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMOVL_NGE_0F4C_MODRM_10_P,14
G1683279P2468224_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_RHINE_RAND_008,1
G1683450P2434066_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_STHIHALF,2
G1683653P2430264_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1684245P2254138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOV_0F20_ISA_DS_P_01,2
G1684835P2434776_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339899,38
G1685167P2479518_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_FT_PL2_RHINE_RAND_018,1
G1685248P2570902_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_3,26
G1685382P2808856_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,2
G1685516P2242738_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_KNICVT,2
G1685668P2437036_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT2A,1
G1685738P2443358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_RLB_R_W_ACCESS_ORP_004,1
G1686020P2247368_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SHLD_0FA5_MODRM_10_P,10
G1686244P2244108_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FDIV_PI_MARCHING1S,8
G1686338P2434956_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_340199,5
G1686449P2261928_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_VME1_IASM,31
G1686480P2242858_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1DAK_FKV2,1
G1686493P2259438_014444_PL01DF_FTXXX_US1PM1X0XXXHXXXXX_GEN8WMT_J,2
G1686576P2387948_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_QUICK,14
G1686621P2249248_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOV_8E_MODRM_10_011_R,1
G1686704P2251758_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MAXSD_F20F5F_REAL_OPCOV,1
G1687687P2493388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IND_PRED5B,2
G1687747P2478778_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL2_RHINE_RAND_018,1
G1687778P2430724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1688045P2244908_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FAST_STR_EVENT1,2
G1688139P2436906_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_RLB_R_W_ACCESS_ORP_000,1
G1689420P2248588_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_RCPPS_0F53_REAL_OPCOV,2
G1689463P2442528_014444_PL01DW_FTXXX_US1XM1X2XXXHXXXXX_DPU_UL1_WAYPART_101,2
G1689920P2249118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMOVNB_AE_NC_0F43_MODRM_00_R,9
G1690100P2213228_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF,42
G1690150P2262298_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_T_L2P_IN_1,1
G1690437P2437666_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT5,1
G1690814P2261548_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PXXNUM,1
