LOT,OPER,DEVREVSTEP,TTEST
T522A398,7721,4GWREVL,341
T522A493,7721,4GAREVL,325
T522A782,7721,4GWREVL,1258
T522A791,7721,4GWREVL,1260
T522A843,7721,4GWREVL,1260
T522A889,7721,4GAREVL,1255
T522A922,7721,4GAREVL,1680
T522A933,7721,4GAREVL,1260
T522A943,7721,4GAREVL,1680
T522A956,7721,4GAREVL,1676
T523A354,7721,4GARFVL,699
T524A16K,7721,8PARDVL,240
T524A17K,7721,8PARDVL,156
T524A19K,7721,8PAREVL,51
T524A20K,7721,8PAREVL,41
T524A21K,7721,8PARDVL,59
T524A706,7721,8PARFVL,214
T525A03K,7721,8PARDVL,617
T525A06K,7721,8PAREVL,182
T525A08K,7721,8PAREVL,55
T525A128,7721,8PARFVL,340
T525A155,7721,8PARDVL,1534
T525A177,7721,8PARDVL,1151
T525A180,7721,8PARDVL,777
T525A195,7721,8PAREVL,1204
T525A228,7721,8PARFVL,1098
T525A251,7721,8PARDVL,1211
T525A259,7721,8PAREVL,1199
T525A261,7721,8PARDVL,1085
T525A262,7721,8PARDVL,642
T525A401,7721,8PARDVL,1176
T525A435,7721,8PAREVL,1202
T525A450,7721,8PAREVL,1235
T525A451,7721,8PAREVL,1067
T525A453,7721,8PARDVL,1052
T525A454,7721,8PARDVL,1036
T525A455,7721,8PARDVL,1058
T526A294,7721,8PARFVL,839
T526A361,7721,8PARFVL,420
T530A586,7721,8PAREVL,1258
T530A679,7721,8PARFVL,1257
T530A680,7721,8PARDVL,1223
T534A941,7721,8PARFVL,991
T534A944,7721,8PAREVL,1038
T534A946,7721,8PARDVL,1025
