PATTERN,COUNT
G1641414P2254068_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXC_DB_TF_PROT,1
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,6
G1650195P2245388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_LDHITLD_BITS15_6,2
G1653337P2479428_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL2_RHINE_RAND_019,1
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,90
G1671542P2433976_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MS_FG_SYSENTER,1
G1671827P2212178_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CVTPS2PI_CVTSS2SI,1
G1672551P2260378_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_RM_CMPS,1
G1672619P2570892_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2,1
G1673315P2430364_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1673853P2246968_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SHL_SAL_D2_6_AFLAGS_REG_OSIZE8LH_P,1
G1674216P2248398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_XCHG_LOCK_86_MODRM_00_P,1
G1674578P2448070_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_TBTACD_MATCH_TAG,1
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,109
G1675121P2397234_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR_DIFF_GROUPS,5
G1675320P2509328_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TC_FLUSH_ALL_WAYS_SETS64_95,1
G1675390P2430244_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1675468P2324608_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_000,1
G1675818P2324598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_SNOOP_EVICTIONS_ORP_001,7
G1675979P2571112_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2_13,9
G1676240P2430154_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,3
G1676280P2434766_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339896,9
G1676357P2487038_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LB_CAM_MISS_00_MT,1
G1676448P2808864_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,2
G1676763P2434796_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339907,1
G1676894P2808852_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1677459P2570912_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_4,1
G1677573P2434056_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_LDHIHALF,11
G1677684P2430704_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1677726P2434076_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_STHIHALF,36
G1677769P2430034_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,32
G1677771P2398954_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_0340140,3
G1677993P2449470_014444_PL01DF_FTXXX_US1XM1X1XXXHXXXXX_YT3_PREFQ_T1,7
G1678284P2808851_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1678451P2430634_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,6
G1678487P2430644_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
G1678728P2434036_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_LA_CAM_HIGHBITS_1,20
G1678777P2324998_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FLSF1,2
G1678780P2244548_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_LOAD_L0,1
G1678900P2479358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL0_RHINE_RAND_012,1
G1678926P2431194_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,4
G1679184P2437746_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TMR_CLEAR_G1,6
G1679216P2808868_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
G1679334P2808870_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,4
G1679407P2479388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_PL1_RHINE_RAND_015,1
G1679513P2464034_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BOGBR_JC_JZ_0,1
G1679590P2430524_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,57
G1679638P2430594_014444_PL01DW_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1679674P2443288_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_NON_64BYTE_FETCH_0,5
G1679762P2430004_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
G1679781P2246388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MIXED2,1
G1679795P2452670_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_YT7_PREFQ_T0,11
G1679997P2429564_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MEMORY_EXECUTION_480980566,3
G1680311P2247438_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_APIC_PRI1_FIXED,94
G1680456P2325058_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__B4K_ACFG_ORP_000,33
G1680707P2260278_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_FP_PHE_MT_RAND7,1
G1681064P2466384_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RTAGM_BIM_CONDNT_GLOBAL_OFF_LOGIC,1
G1681132P2324938_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_UL1_FT_T1_EMON_ENABLE_E6_ORP_000,1
