PATTERN,COUNT
D0586723U0090402_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_TAGINQUIRE_904,4
D0586944U0000701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_BUTTERFLY_FY_S_007,4
D0586945U0000801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_BUTTERFLYWR_FX_S_008,3
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,36
D0586950U0004701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALDIAG_FY_S_047,7
D0586953U0004601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALROW_FY_S_046,14
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,78
D0586957U0004901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECROW_FY_S_049,6
D0586961U0003501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_HAMMER10_FX_S_035,6
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,66
D0586964U0019101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_CS_191,6
D0586966U0018901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_S_189,1
D0586967U0018701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_C_187,4
D0586968U0019301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_CS_193,2
D0586969U0019401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_RS_194,2
D0586970U0019201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_S_192,3
D0586975U0001701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FY_C_017,2
D0586981U0002001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_GC_FX_S_020,1
D0586982U0003001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FX_S_030,1
D0586983U0003101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FY_S_031,8
D0586984U0006901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_C_069,6
D0586985U0006701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_CS_067,5
D0586986U0006801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_RS_068,7
D0586987U0006601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_S_066,1
D0586988U0008901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_C_089,8
D0586989U0008701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_CS_087,7
D0586990U0008801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_RS_088,3
D0586991U0008601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_S_086,4
D0586994U0001301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MATSP_DW_FX_S_013,3
D0586998U0004101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MOVIFULL_FY_S_041,16
D0587003U0002201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FY_C_022,2
D0587004U0002801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FY_CS_028,1
D0587014U0017501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_RAFTERW_FY_RS_175,2
D0587015U0017301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_RAFTERW_FY_S_173,1
D0587020U0038601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CF_FX_S_386,2
D0587027U0037801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CFTR_FX_S_378,2
D0587041U0038201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_LONG_FX_S_382,1
D0587048U0003401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SLIDEDIAG_FY_S_034,10
D0587049U0018301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_STATIC_FX_C_183,13
D0587058U0019501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_STATIC_FY_S_195,1
