PATTERN,COUNT
D0586945U0000801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_BUTTERFLYWR_FX_S_008,1
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,3
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,3
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,6
D0586969U0019401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_RS_194,1
D0586985U0006701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_CS_067,1
D0586998U0004101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MOVIFULL_FY_S_041,2
D0587000U0002401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FX_CS_024,1
D0587062U0004001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_TOWALK2_FY_S_040,1
D0587065U0004301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKCOL_FX_S_043,1
D0587066U0004401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKDIAG_FY_S_044,1
D0587340U0018402_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_LINKED_FX_C_184,3
D1242174U0091501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_3C_915,21
